"times","open","high","low","close","volume","symbol","market"
2019-05-30,24.5,24.58,24.499,24.58,32400,"ACGLO","NASDAQ"
2019-05-31,24.58,24.5905,24.41,24.46,38800,"ACGLO","NASDAQ"
2019-06-03,24.5688,24.58,24.464,24.57,13100,"ACGLO","NASDAQ"
2019-06-04,24.5583,24.68,24.5,24.64,35800,"ACGLO","NASDAQ"
2019-06-05,24.68,24.681,24.59,24.61,54100,"ACGLO","NASDAQ"
2019-06-06,24.67,24.703,24.61,24.61,18400,"ACGLO","NASDAQ"
2019-06-07,24.63,24.8,24.61,24.77,84300,"ACGLO","NASDAQ"
2019-06-10,24.77,24.89,24.7693,24.81,31400,"ACGLO","NASDAQ"
2019-06-11,24.93,24.9301,24.824,24.9,12000,"ACGLO","NASDAQ"
2019-06-12,24.94,24.9698,24.83,24.92,20700,"ACGLO","NASDAQ"
2019-06-13,24.59,24.76,24.51,24.741,44300,"ACGLO","NASDAQ"
2019-06-14,24.722,24.8,24.69,24.8,22500,"ACGLO","NASDAQ"
2019-06-17,24.8,25,24.673,24.991,34000,"ACGLO","NASDAQ"
2019-06-18,25,25.07,24.957,25.07,43600,"ACGLO","NASDAQ"
2019-06-19,25.05,25.115,24.91,25.1,21400,"ACGLO","NASDAQ"
2019-06-20,25.19,25.2,25.02,25.095,51700,"ACGLO","NASDAQ"
2019-06-21,25.19,25.21,25.09,25.134,20500,"ACGLO","NASDAQ"
2019-06-24,25.13,25.1514,25.038,25.126,27000,"ACGLO","NASDAQ"
2019-06-25,25.13,25.2,25.05,25.14,79700,"ACGLO","NASDAQ"
2019-06-26,25.15,25.15,25.083,25.11,27000,"ACGLO","NASDAQ"
2019-06-27,25.08,25.18,25.079,25.16,102600,"ACGLO","NASDAQ"
2019-06-28,25.19,25.19,24.78,24.78,107200,"ACGLO","NASDAQ"
2019-07-01,24.85,24.96,24.85,24.92,32800,"ACGLO","NASDAQ"
2019-07-02,24.9094,25.09,24.849,25.05,36400,"ACGLO","NASDAQ"
2019-07-03,25.05,25.05,24.971,25.04,16000,"ACGLO","NASDAQ"
2019-07-05,25.04,25.08,25.02,25.03,9700,"ACGLO","NASDAQ"
2019-07-08,25.01,25.11,25.01,25.07,10300,"ACGLO","NASDAQ"
2019-07-09,25,25.093,24.95,25.01,42500,"ACGLO","NASDAQ"
2019-07-10,25.03,25.09,25,25,34800,"ACGLO","NASDAQ"
2019-07-11,25,25.17,25.0024,25.06,27300,"ACGLO","NASDAQ"
2019-07-12,25.06,25.07,25.0391,25.06,5300,"ACGLO","NASDAQ"
2019-07-15,25.0688,25.12,25.04,25.12,33500,"ACGLO","NASDAQ"
2019-07-16,25.07,25.14,25.05,25.1,22400,"ACGLO","NASDAQ"
2019-07-17,25.12,25.29,25.11,25.17,48700,"ACGLO","NASDAQ"
2019-07-18,25.19,25.259,25.177,25.24,13200,"ACGLO","NASDAQ"
2019-07-19,25.19,25.316,25.19,25.28,22100,"ACGLO","NASDAQ"
2019-07-22,25.28,25.33,25.21,25.27,12400,"ACGLO","NASDAQ"
2019-07-23,25.24,25.39,25.19,25.37,21000,"ACGLO","NASDAQ"
2019-07-24,25.38,25.45,25.29,25.33,28400,"ACGLO","NASDAQ"
2019-07-25,25.41,25.41,25.2,25.2,29900,"ACGLO","NASDAQ"
2019-07-26,25.3,25.31,25.211,25.29,17700,"ACGLO","NASDAQ"
2019-07-29,25.33,25.57,25.291,25.57,50500,"ACGLO","NASDAQ"
2019-07-30,25.46,25.62,25.45,25.61,29100,"ACGLO","NASDAQ"
2019-07-31,25.6,25.7497,25.51,25.75,59900,"ACGLO","NASDAQ"
2019-08-01,25.71,25.79,25.64,25.71,34100,"ACGLO","NASDAQ"
2019-08-02,25.7,25.7,25.52,25.65,42400,"ACGLO","NASDAQ"
2019-08-05,25.618,25.618,25.37,25.48,19300,"ACGLO","NASDAQ"
2019-08-06,25.26,25.471,25.26,25.41,36000,"ACGLO","NASDAQ"
2019-08-07,25.39,25.41,25.287,25.31,21700,"ACGLO","NASDAQ"
2019-08-08,25.32,25.44,25.306,25.41,13700,"ACGLO","NASDAQ"
2019-08-09,25.4,25.51,25.334,25.48,11500,"ACGLO","NASDAQ"
2019-08-12,25.48,25.5,25.37,25.44,17800,"ACGLO","NASDAQ"
2019-08-13,25.44,25.65,25.44,25.65,21200,"ACGLO","NASDAQ"
2019-08-14,25.6,25.71,25.5,25.67,16600,"ACGLO","NASDAQ"
2019-08-15,25.67,25.89,25.665,25.85,17200,"ACGLO","NASDAQ"
2019-08-16,25.89,25.94,25.74,25.82,15400,"ACGLO","NASDAQ"
2019-08-19,25.82,25.92,25.67,25.68,41400,"ACGLO","NASDAQ"
2019-08-20,25.75,25.911,25.75,25.81,11000,"ACGLO","NASDAQ"
2019-08-21,25.89,25.92,25.835,25.87,12600,"ACGLO","NASDAQ"
2019-08-22,25.9,25.99,25.9,25.96,10700,"ACGLO","NASDAQ"
2019-08-23,25.98,25.99,25.84,25.85,37000,"ACGLO","NASDAQ"
2019-08-26,25.84,25.891,25.7,25.71,34700,"ACGLO","NASDAQ"
2019-08-27,25.74,25.82,25.71,25.73,23600,"ACGLO","NASDAQ"
2019-08-28,25.8,25.87,25.76,25.77,10600,"ACGLO","NASDAQ"
2019-08-29,25.8,25.849,25.58,25.58,24900,"ACGLO","NASDAQ"
2019-08-30,25.74,25.74,25.35,25.35,133100,"ACGLO","NASDAQ"
2019-09-03,25.45,25.542,25.4,25.54,44800,"ACGLO","NASDAQ"
2019-09-04,25.58,25.75,25.58,25.75,46500,"ACGLO","NASDAQ"
2019-09-05,25.75,25.83,25.69,25.8,42900,"ACGLO","NASDAQ"
2019-09-06,25.84,25.93,25.812,25.93,15200,"ACGLO","NASDAQ"
2019-09-09,25.94,25.965,25.81,25.85,30300,"ACGLO","NASDAQ"
2019-09-10,25.97,25.97,25.8,25.85,29700,"ACGLO","NASDAQ"
2019-09-11,25.94,25.94,25.81,25.94,25500,"ACGLO","NASDAQ"
2019-09-12,25.71,25.71,25.618,25.65,18700,"ACGLO","NASDAQ"
2019-09-13,25.65,25.668,25.301,25.4,26400,"ACGLO","NASDAQ"
2019-09-16,25.59,25.59,25.4,25.56,21500,"ACGLO","NASDAQ"
2019-09-17,25.55,25.65,25.521,25.65,12500,"ACGLO","NASDAQ"
2019-09-18,25.66,25.72,25.63,25.7,30800,"ACGLO","NASDAQ"
2019-09-19,25.75,25.75,25.64,25.7,12400,"ACGLO","NASDAQ"
2019-09-20,25.74,25.75,25.7,25.73,7500,"ACGLO","NASDAQ"
2019-09-23,25.75,25.8,25.693,25.72,13900,"ACGLO","NASDAQ"
2019-09-24,25.83,25.83,25.73,25.73,15500,"ACGLO","NASDAQ"
2019-09-25,25.79,25.79,25.73,25.74,12900,"ACGLO","NASDAQ"
