"times","open","high","low","close","volume","symbol","market"
2019-05-30,23.58,23.63,23.58,23.6,27500,"ACGLP","NASDAQ"
2019-05-31,23.6,23.6,23.44,23.44,83800,"ACGLP","NASDAQ"
2019-06-03,23.36,23.58,23.36,23.55,50400,"ACGLP","NASDAQ"
2019-06-04,23.5,23.686,23.497,23.65,73400,"ACGLP","NASDAQ"
2019-06-05,23.68,23.75,23.6,23.69,76500,"ACGLP","NASDAQ"
2019-06-06,23.69,23.69,23.66,23.67,48500,"ACGLP","NASDAQ"
2019-06-07,23.7,23.93,23.685,23.88,41800,"ACGLP","NASDAQ"
2019-06-10,23.85,23.94,23.76,23.92,59200,"ACGLP","NASDAQ"
2019-06-11,24,24.0887,23.99,24.09,37700,"ACGLP","NASDAQ"
2019-06-12,24.1,24.16,24.01,24.16,40500,"ACGLP","NASDAQ"
2019-06-13,23.95,23.95,23.83,23.93,57200,"ACGLP","NASDAQ"
2019-06-14,23.99,23.9975,23.93,24,68800,"ACGLP","NASDAQ"
2019-06-17,23.9194,24.03,23.92,23.97,91400,"ACGLP","NASDAQ"
2019-06-18,23.98,24.15,23.97,24.15,44900,"ACGLP","NASDAQ"
2019-06-19,24,24.09,23.9,24.02,76800,"ACGLP","NASDAQ"
2019-06-20,24.05,24.134,24.05,24.09,57900,"ACGLP","NASDAQ"
2019-06-21,24.1,24.16,24.099,24.15,37900,"ACGLP","NASDAQ"
2019-06-24,24.15,24.18,24.12,24.15,68800,"ACGLP","NASDAQ"
2019-06-25,24.15,24.2,24.0722,24.2,261700,"ACGLP","NASDAQ"
2019-06-26,24.1,24.3,24.08,24.14,110400,"ACGLP","NASDAQ"
2019-06-27,24.3,24.3,24.24,24.25,79200,"ACGLP","NASDAQ"
2019-06-28,24.2,24.24,23.95,23.95,183300,"ACGLP","NASDAQ"
2019-07-01,24,24.1,23.99,23.99,43500,"ACGLP","NASDAQ"
2019-07-02,24.06,24.225,24.0624,24.21,35900,"ACGLP","NASDAQ"
2019-07-03,24.16,24.16,24.1,24.1,20200,"ACGLP","NASDAQ"
2019-07-05,24.15,24.19,24.07,24.14,63400,"ACGLP","NASDAQ"
2019-07-08,24.16,24.19,24.15,24.15,18200,"ACGLP","NASDAQ"
2019-07-09,24.1413,24.169,24.11,24.12,42300,"ACGLP","NASDAQ"
2019-07-10,24.11,24.18,24.11,24.15,53100,"ACGLP","NASDAQ"
2019-07-11,24.15,24.16,24.13,24.16,21600,"ACGLP","NASDAQ"
2019-07-12,24.14,24.15,24.13,24.13,29900,"ACGLP","NASDAQ"
2019-07-15,24.29,24.29,24.1489,24.24,36900,"ACGLP","NASDAQ"
2019-07-16,24.21,24.24,24.207,24.24,36900,"ACGLP","NASDAQ"
2019-07-17,24.24,24.4,24.21,24.36,67100,"ACGLP","NASDAQ"
2019-07-18,24.35,24.4399,24.35,24.43,34500,"ACGLP","NASDAQ"
2019-07-19,24.44,24.48,24.4,24.48,49500,"ACGLP","NASDAQ"
2019-07-22,24.48,24.58,24.48,24.49,61000,"ACGLP","NASDAQ"
2019-07-23,24.49,24.64,24.49,24.64,42400,"ACGLP","NASDAQ"
2019-07-24,24.6,24.638,24.5,24.637,78200,"ACGLP","NASDAQ"
2019-07-25,24.6,24.6,24.3705,24.42,48000,"ACGLP","NASDAQ"
2019-07-26,24.36,24.48,24.36,24.45,33700,"ACGLP","NASDAQ"
2019-07-29,24.445,24.62,24.399,24.62,60700,"ACGLP","NASDAQ"
2019-07-30,24.56,24.64,24.52,24.61,50400,"ACGLP","NASDAQ"
2019-07-31,24.59,24.64,24.4602,24.62,134200,"ACGLP","NASDAQ"
2019-08-01,24.58,24.65,24.55,24.64,67300,"ACGLP","NASDAQ"
2019-08-02,24.62,24.7,24.49,24.64,101600,"ACGLP","NASDAQ"
2019-08-05,24.5994,24.6,24.501,24.56,55000,"ACGLP","NASDAQ"
2019-08-06,24.5,24.56,24.359,24.56,65000,"ACGLP","NASDAQ"
2019-08-07,24.56,24.58,24.47,24.55,88700,"ACGLP","NASDAQ"
2019-08-08,24.55,24.62,24.535,24.62,64900,"ACGLP","NASDAQ"
2019-08-09,24.54,24.68,24.54,24.67,54300,"ACGLP","NASDAQ"
2019-08-12,24.6,24.7,24.58,24.69,37700,"ACGLP","NASDAQ"
2019-08-13,24.69,24.79,24.67,24.79,73000,"ACGLP","NASDAQ"
2019-08-14,24.69,24.84,24.673,24.84,68700,"ACGLP","NASDAQ"
2019-08-15,24.81,24.95,24.81,24.95,73100,"ACGLP","NASDAQ"
2019-08-16,24.89,24.974,24.88,24.96,31000,"ACGLP","NASDAQ"
2019-08-19,24.9,24.96,24.87,24.93,37500,"ACGLP","NASDAQ"
2019-08-20,24.93,24.95,24.9,24.92,55900,"ACGLP","NASDAQ"
2019-08-21,24.9,24.98,24.88,24.94,84600,"ACGLP","NASDAQ"
2019-08-22,24.94,25,24.94,25,46200,"ACGLP","NASDAQ"
2019-08-23,24.96,25.04,24.96,24.99,47100,"ACGLP","NASDAQ"
2019-08-26,25,25.04,24.99,25,43800,"ACGLP","NASDAQ"
2019-08-27,25.03,25.1,25,25.08,273800,"ACGLP","NASDAQ"
2019-08-28,25.08,25.17,25.06,25.17,102500,"ACGLP","NASDAQ"
2019-08-29,25.1,25.14,25.04,25.04,49100,"ACGLP","NASDAQ"
2019-08-30,25.04,25.09,24.95,25,141900,"ACGLP","NASDAQ"
2019-09-03,25,25.1,24.98,25.1,64600,"ACGLP","NASDAQ"
2019-09-04,25.1,25.19,25.07,25.19,47500,"ACGLP","NASDAQ"
2019-09-05,25.19,25.2,25.11,25.14,43300,"ACGLP","NASDAQ"
2019-09-06,25.14,25.25,25.14,25.22,48600,"ACGLP","NASDAQ"
2019-09-09,25.18,25.3,25.18,25.3,41200,"ACGLP","NASDAQ"
2019-09-10,25.16,25.29,25.16,25.22,78900,"ACGLP","NASDAQ"
2019-09-11,25.18,25.34,25.14,25.31,75600,"ACGLP","NASDAQ"
2019-09-12,25.11,25.11,25.02,25.05,65200,"ACGLP","NASDAQ"
2019-09-13,25.05,25.051,24.86,25,199800,"ACGLP","NASDAQ"
2019-09-16,25,25.06,24.9,25,96700,"ACGLP","NASDAQ"
2019-09-17,25,25.12,24.99,25.115,60700,"ACGLP","NASDAQ"
2019-09-18,25.11,25.19,25.07,25.19,57000,"ACGLP","NASDAQ"
2019-09-19,25.15,25.2,25.08,25.15,39700,"ACGLP","NASDAQ"
2019-09-20,25.19,25.23,25.15,25.23,62400,"ACGLP","NASDAQ"
2019-09-23,25.19,25.35,25.19,25.29,103000,"ACGLP","NASDAQ"
2019-09-24,25.25,25.34,25.22,25.24,44100,"ACGLP","NASDAQ"
2019-09-25,25.29,25.3,25.2,25.28,33100,"ACGLP","NASDAQ"
2019-09-26,25.24,25.39,25.22,25.39,56100,"ACGLP","NASDAQ"
2019-09-27,25.37,25.39,25.25,25.39,37200,"ACGLP","NASDAQ"
2019-09-30,25.39,25.39,25.24,25.36,92600,"ACGLP","NASDAQ"
2019-10-01,25.25,25.36,25.25,25.36,38800,"ACGLP","NASDAQ"
2019-10-02,25.36,25.36,25.07,25.35,34300,"ACGLP","NASDAQ"
2019-10-03,25.25,25.32,25.18,25.32,23300,"ACGLP","NASDAQ"
2019-10-04,25.27,25.32,25.24,25.31,42300,"ACGLP","NASDAQ"
2019-10-07,25.26,25.294,25.2,25.27,24300,"ACGLP","NASDAQ"
2019-10-08,25.25,25.35,25.25,25.3,45200,"ACGLP","NASDAQ"
2019-10-09,25.28,25.36,25.27,25.31,51000,"ACGLP","NASDAQ"
2019-10-10,25.36,25.4,25.3,25.4,37600,"ACGLP","NASDAQ"
2019-10-11,25.43,25.677,25.39,25.66,34500,"ACGLP","NASDAQ"
2019-10-14,25.65,25.65,25.48,25.65,46000,"ACGLP","NASDAQ"
2019-10-15,25.59,25.6,25.51,25.51,38400,"ACGLP","NASDAQ"
2019-10-16,25.43,25.59,25.43,25.58,49100,"ACGLP","NASDAQ"
2019-10-17,25.5,25.58,25.47,25.57,31800,"ACGLP","NASDAQ"
2019-10-18,25.55,25.58,25.5,25.57,32572,"ACGLP","NASDAQ"
