"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.2,4.27,3.9,4.23,190100,"ACHV","NASDAQ"
2019-05-31,4.2,4.294,3.98,4.21,194700,"ACHV","NASDAQ"
2019-06-03,4.23,4.43,4,4.08,261700,"ACHV","NASDAQ"
2019-06-04,4.04,4.14,3.8,3.86,81100,"ACHV","NASDAQ"
2019-06-05,3.86,3.98,3.745,3.82,59800,"ACHV","NASDAQ"
2019-06-06,3.72,3.95,3.55,3.55,168300,"ACHV","NASDAQ"
2019-06-07,3.58,3.862,3.57,3.66,134300,"ACHV","NASDAQ"
2019-06-10,3.67,3.95,3.67,3.88,108300,"ACHV","NASDAQ"
2019-06-11,3.56,3.68,2.45,2.9,3309000,"ACHV","NASDAQ"
2019-06-12,2.89,2.89,2.53,2.65,407000,"ACHV","NASDAQ"
2019-06-13,2.66,2.77,2.64,2.67,177600,"ACHV","NASDAQ"
2019-06-14,2.72,2.75,2.47,2.5,333600,"ACHV","NASDAQ"
2019-06-17,2.5,2.641,2.41,2.53,275900,"ACHV","NASDAQ"
2019-06-18,2.56,2.648,2.51,2.59,182500,"ACHV","NASDAQ"
2019-06-19,2.52,2.57,2.42,2.42,194200,"ACHV","NASDAQ"
2019-06-20,2.45,2.54,2.405,2.41,99900,"ACHV","NASDAQ"
2019-06-21,2.4597,2.5,2.27,2.32,299600,"ACHV","NASDAQ"
2019-06-24,2.31,2.312,1.91,2.11,372800,"ACHV","NASDAQ"
2019-06-25,2.13,2.22,2.05,2.07,120500,"ACHV","NASDAQ"
2019-06-26,2.05,2.1,1.92,2.02,168500,"ACHV","NASDAQ"
2019-06-27,2.03,2.13,2,2.03,118900,"ACHV","NASDAQ"
2019-06-28,2.02,2.06,1.84,1.93,212700,"ACHV","NASDAQ"
2019-07-01,1.9899,2.24,1.91,2.12,588400,"ACHV","NASDAQ"
2019-07-02,2.12,2.15,1.98,2.04,117400,"ACHV","NASDAQ"
2019-07-03,2.04,2.04,1.92,2,87400,"ACHV","NASDAQ"
2019-07-05,2,2.03,1.97,2.01,53500,"ACHV","NASDAQ"
2019-07-08,2,2.03,1.88,1.89,111300,"ACHV","NASDAQ"
2019-07-09,1.8999,1.93,1.78,1.8,154300,"ACHV","NASDAQ"
2019-07-10,1.8,1.85,1.7,1.73,157900,"ACHV","NASDAQ"
2019-07-11,1.75,1.8,1.66,1.77,78300,"ACHV","NASDAQ"
2019-07-12,1.76,1.9,1.76,1.76,95400,"ACHV","NASDAQ"
2019-07-15,1.76,1.87,1.76,1.85,37200,"ACHV","NASDAQ"
2019-07-16,1.84,2,1.81,1.95,144200,"ACHV","NASDAQ"
2019-07-17,1.96,2.1,1.93,1.93,152800,"ACHV","NASDAQ"
2019-07-18,1.94,1.95,1.86,1.93,42700,"ACHV","NASDAQ"
2019-07-19,1.91,1.9699,1.89,1.89,9300,"ACHV","NASDAQ"
2019-07-22,1.83,1.94,1.77,1.86,110900,"ACHV","NASDAQ"
2019-07-23,1.9,1.91,1.8,1.85,281100,"ACHV","NASDAQ"
2019-07-24,1.84,1.94,1.84,1.89,91200,"ACHV","NASDAQ"
2019-07-25,1.9,1.91,1.82,1.84,67500,"ACHV","NASDAQ"
2019-07-26,1.85,1.96,1.83,1.85,99800,"ACHV","NASDAQ"
2019-07-29,1.87,1.94,1.8,1.9,143200,"ACHV","NASDAQ"
2019-07-30,1.89,1.91,1.82,1.83,33700,"ACHV","NASDAQ"
2019-07-31,1.85,1.88,1.82,1.83,74500,"ACHV","NASDAQ"
2019-08-01,1.82,1.84,1.81,1.82,33600,"ACHV","NASDAQ"
2019-08-02,1.83,1.85,1.77,1.79,91400,"ACHV","NASDAQ"
2019-08-05,1.79,1.79,1.61,1.68,97200,"ACHV","NASDAQ"
2019-08-06,1.67,1.83,1.66,1.75,62100,"ACHV","NASDAQ"
2019-08-07,1.76,1.81,1.62,1.75,99800,"ACHV","NASDAQ"
2019-08-08,1.74,1.93,1.74,1.85,109900,"ACHV","NASDAQ"
2019-08-09,1.81,1.95,1.7,1.75,159700,"ACHV","NASDAQ"
2019-08-12,1.76,1.8,1.75,1.79,29000,"ACHV","NASDAQ"
2019-08-13,1.78,1.94,1.78,1.9,155200,"ACHV","NASDAQ"
2019-08-14,1.9,1.9,1.7101,1.79,77900,"ACHV","NASDAQ"
2019-08-15,1.7801,1.84,1.75,1.77,62600,"ACHV","NASDAQ"
2019-08-16,1.8,1.94,1.71,1.81,95200,"ACHV","NASDAQ"
2019-08-19,1.85,1.94,1.82,1.88,50600,"ACHV","NASDAQ"
2019-08-20,1.89,1.94,1.8,1.86,36100,"ACHV","NASDAQ"
2019-08-21,1.85,1.93,1.83,1.86,55300,"ACHV","NASDAQ"
2019-08-22,1.9,2.03,1.89,1.98,104600,"ACHV","NASDAQ"
2019-08-23,2.01,2.17,1.88,1.94,167200,"ACHV","NASDAQ"
2019-08-26,2,2.07,1.82,1.95,175200,"ACHV","NASDAQ"
2019-08-27,2.02,2.08,1.97,2.02,66100,"ACHV","NASDAQ"
2019-08-28,2,2.05,1.95,1.96,130000,"ACHV","NASDAQ"
2019-08-29,2,2.03,1.98,2.02,34700,"ACHV","NASDAQ"
2019-08-30,2.03,2.11,1.96,1.99,92700,"ACHV","NASDAQ"
2019-09-03,1.97,2.11,1.97,1.99,95500,"ACHV","NASDAQ"
2019-09-04,2.03,2.24,2.02,2.1,218100,"ACHV","NASDAQ"
2019-09-05,2.15,2.24,2.09,2.22,210500,"ACHV","NASDAQ"
2019-09-06,2.24,2.39,2.24,2.3,287300,"ACHV","NASDAQ"
2019-09-09,2.34,2.45,2.3,2.39,271000,"ACHV","NASDAQ"
2019-09-10,2.4,2.51,2.3,2.42,143100,"ACHV","NASDAQ"
2019-09-11,2.42,2.43,2.25,2.3,142500,"ACHV","NASDAQ"
2019-09-12,2.33,2.38,2.13,2.18,208200,"ACHV","NASDAQ"
2019-09-13,2.25,2.29,2.07,2.26,151600,"ACHV","NASDAQ"
2019-09-16,2.3,2.38,2.17,2.29,103300,"ACHV","NASDAQ"
2019-09-17,2.25,2.29,2.21,2.22,46500,"ACHV","NASDAQ"
2019-09-18,2.22,2.28,2.11,2.16,44500,"ACHV","NASDAQ"
2019-09-19,2.12,2.22,2.11,2.11,35500,"ACHV","NASDAQ"
2019-09-20,2.09,2.3,2.05,2.24,136100,"ACHV","NASDAQ"
2019-09-23,2.25,2.43,2.25,2.32,234700,"ACHV","NASDAQ"
2019-09-24,2.35,2.39,2.11,2.16,155200,"ACHV","NASDAQ"
