"times","open","high","low","close","volume","symbol","market"
2019-05-30,47.59,48.35,47.31,48.23,525000,"ACIA","NASDAQ"
2019-05-31,47.52,48.01,46.45,46.6,492800,"ACIA","NASDAQ"
2019-06-03,46.29,47.25,45.91,46.5,666100,"ACIA","NASDAQ"
2019-06-04,47.21,47.6,46.16,47.48,1069500,"ACIA","NASDAQ"
2019-06-05,47.75,48.2889,46.91,47.99,1052500,"ACIA","NASDAQ"
2019-06-06,48.57,49.485,46.91,47.42,619000,"ACIA","NASDAQ"
2019-06-07,47.85,48.4597,46.655,47.15,763600,"ACIA","NASDAQ"
2019-06-10,47.57,48.64,47.24,47.27,948100,"ACIA","NASDAQ"
2019-06-11,47.86,48.4,47.4,47.74,832200,"ACIA","NASDAQ"
2019-06-12,47.72,48.33,46.89,46.9,782900,"ACIA","NASDAQ"
2019-06-13,47.15,47.53,46.041,46.59,888500,"ACIA","NASDAQ"
2019-06-14,46.34,46.34,44.82,44.94,609100,"ACIA","NASDAQ"
2019-06-17,45.0929,45.52,44.38,44.79,869800,"ACIA","NASDAQ"
2019-06-18,45.04,47,44.795,46.53,619600,"ACIA","NASDAQ"
2019-06-19,46.77,46.93,46.14,46.72,433700,"ACIA","NASDAQ"
2019-06-20,47.58,47.96,47.0194,47.38,915400,"ACIA","NASDAQ"
2019-06-21,47.13,47.16,46.0163,46.19,831400,"ACIA","NASDAQ"
2019-06-24,46.19,46.474,45.264,46.06,713000,"ACIA","NASDAQ"
2019-06-25,45.9734,46.93,44.85,44.95,651400,"ACIA","NASDAQ"
2019-06-26,45.79,47.95,45.61,45.93,581300,"ACIA","NASDAQ"
2019-06-27,46.3,46.99,46.04,46.58,470500,"ACIA","NASDAQ"
2019-06-28,46.79,47.265,45.6,47.16,2685100,"ACIA","NASDAQ"
2019-07-01,50.71,54.66,50.05,50.44,1852600,"ACIA","NASDAQ"
2019-07-02,50.43,50.575,49.02,49.22,834200,"ACIA","NASDAQ"
2019-07-03,49.46,49.75,48.24,49.59,346000,"ACIA","NASDAQ"
2019-07-05,49.01,49.37,47.89,48.14,451200,"ACIA","NASDAQ"
2019-07-08,47.73,48.41,47.51,48.06,510900,"ACIA","NASDAQ"
2019-07-09,65.58,66.24,64.51,64.91,13188400,"ACIA","NASDAQ"
2019-07-10,65.02,65.84,64.91,65.56,5332900,"ACIA","NASDAQ"
