"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.3,5.333,5.061,5.21,83500,"ACIU","NASDAQ"
2019-05-31,5.16,5.19,5.04,5.06,73100,"ACIU","NASDAQ"
2019-06-03,5.13,5.18,4.945,5.01,88600,"ACIU","NASDAQ"
2019-06-04,5.0502,5.2,4.97,5.14,55800,"ACIU","NASDAQ"
2019-06-05,5.14,5.14,5.01,5.06,45700,"ACIU","NASDAQ"
2019-06-06,5.06,5.11,5,5.02,50700,"ACIU","NASDAQ"
2019-06-07,5.02,5.08,4.94,5.04,91200,"ACIU","NASDAQ"
2019-06-10,5.05,5.05,4.92,4.95,36800,"ACIU","NASDAQ"
2019-06-11,4.98,5.27,4.98,5.25,154300,"ACIU","NASDAQ"
2019-06-12,5.26,5.98,5.26,5.84,503400,"ACIU","NASDAQ"
2019-06-13,5.84,5.9703,5.59,5.71,111300,"ACIU","NASDAQ"
2019-06-14,5.69,6.0001,5.55,5.88,134100,"ACIU","NASDAQ"
2019-06-17,5.95,5.99,5.66,5.8,97800,"ACIU","NASDAQ"
2019-06-18,5.87,5.932,5.62,5.74,80800,"ACIU","NASDAQ"
2019-06-19,5.77,5.79,5.67,5.79,46400,"ACIU","NASDAQ"
2019-06-20,5.85,5.85,5.65,5.72,57200,"ACIU","NASDAQ"
2019-06-21,5.76,5.76,5.42,5.46,111300,"ACIU","NASDAQ"
2019-06-24,5.44,5.47,5.25,5.25,75600,"ACIU","NASDAQ"
2019-06-25,5.25,5.3,5.14,5.26,128900,"ACIU","NASDAQ"
2019-06-26,5.25,5.45,5.21,5.33,64700,"ACIU","NASDAQ"
2019-06-27,5.3703,5.5,5.34,5.44,38600,"ACIU","NASDAQ"
2019-06-28,5.42,5.56,5.37,5.55,51400,"ACIU","NASDAQ"
2019-07-01,5.55,5.66,5.185,5.21,115800,"ACIU","NASDAQ"
2019-07-02,5.21,5.55,5.2101,5.45,74200,"ACIU","NASDAQ"
2019-07-03,5.44,5.48,5.31,5.4,32900,"ACIU","NASDAQ"
2019-07-05,5.43,5.51,5.24,5.37,45300,"ACIU","NASDAQ"
2019-07-08,5.36,5.4205,5.25,5.33,87600,"ACIU","NASDAQ"
2019-07-09,5.35,5.61,5.35,5.47,80700,"ACIU","NASDAQ"
2019-07-10,5.48,5.56,5.4,5.46,54600,"ACIU","NASDAQ"
2019-07-11,5.65,5.6701,5.29,5.29,75100,"ACIU","NASDAQ"
2019-07-12,5.33,5.51,5.27,5.4,197400,"ACIU","NASDAQ"
2019-07-15,5.43,5.54,5.33,5.51,60000,"ACIU","NASDAQ"
2019-07-16,5.52,5.87,5.5204,5.58,77800,"ACIU","NASDAQ"
2019-07-17,5.59,5.95,5.3999,5.89,109200,"ACIU","NASDAQ"
