"times","open","high","low","close","volume","symbol","market"
2019-05-30,31.83,32.15,31.785,32.09,763900,"ACIW","NASDAQ"
2019-05-31,31.68,32.05,31.45,31.46,759600,"ACIW","NASDAQ"
2019-06-03,31.44,32.494,30.505,30.63,1030400,"ACIW","NASDAQ"
2019-06-04,31,32.13,30.7713,32.1,730300,"ACIW","NASDAQ"
2019-06-05,32.35,32.6,31.9,32.26,518200,"ACIW","NASDAQ"
2019-06-06,32.19,32.51,31.89,32.4,451700,"ACIW","NASDAQ"
2019-06-07,32.34,32.9115,32.3,32.34,511700,"ACIW","NASDAQ"
2019-06-10,32.61,32.985,32.4,32.75,572200,"ACIW","NASDAQ"
2019-06-11,33.11,33.25,32.6676,33.01,802800,"ACIW","NASDAQ"
2019-06-12,32.99,33.1109,32.7,32.78,6e+05,"ACIW","NASDAQ"
2019-06-13,32.85,32.92,32.68,32.87,509300,"ACIW","NASDAQ"
2019-06-14,32.84,32.89,32.235,32.41,641300,"ACIW","NASDAQ"
2019-06-17,32.34,32.54,31.96,32.03,742100,"ACIW","NASDAQ"
2019-06-18,32.3,32.51,31.99,32.05,791500,"ACIW","NASDAQ"
2019-06-19,32.09,32.36,31.93,32.25,904600,"ACIW","NASDAQ"
2019-06-20,32.37,32.91,32.37,32.9,695800,"ACIW","NASDAQ"
2019-06-21,32.74,33.14,32.647,32.98,2018700,"ACIW","NASDAQ"
2019-06-24,32.93,33.05,32.37,32.44,521700,"ACIW","NASDAQ"
2019-06-25,32.54,32.72,32.24,32.35,736400,"ACIW","NASDAQ"
2019-06-26,32.51,32.82,32.383,32.61,580300,"ACIW","NASDAQ"
2019-06-27,32.78,33.2,32.76,33.17,430000,"ACIW","NASDAQ"
2019-06-28,33.32,34.41,33.32,34.34,1773500,"ACIW","NASDAQ"
2019-07-01,34.92,35.2,34.48,34.72,736500,"ACIW","NASDAQ"
2019-07-02,34.75,34.995,34.485,34.61,463000,"ACIW","NASDAQ"
2019-07-03,34.83,35.15,34.72,34.88,193700,"ACIW","NASDAQ"
2019-07-05,34.64,35.22,34.21,34.86,452800,"ACIW","NASDAQ"
2019-07-08,34.31,34.48,33.69,33.81,747100,"ACIW","NASDAQ"
2019-07-09,33.62,33.77,33.54,33.61,863900,"ACIW","NASDAQ"
2019-07-10,33.75,34.19,33.62,34.17,787600,"ACIW","NASDAQ"
2019-07-11,34.24,35.21,33.65,34.35,377300,"ACIW","NASDAQ"
2019-07-12,34.39,34.89,34.25,34.81,432700,"ACIW","NASDAQ"
2019-07-15,34.83,35.23,34.37,34.65,289700,"ACIW","NASDAQ"
2019-07-16,34.64,34.7,34.17,34.18,396500,"ACIW","NASDAQ"
2019-07-17,34.25,34.31,33.78,34.03,661400,"ACIW","NASDAQ"
2019-07-18,34.07,34.36,33.99,34.26,230300,"ACIW","NASDAQ"
2019-07-19,34.2,34.9,33.95,33.95,507300,"ACIW","NASDAQ"
2019-07-22,34,34.38,33.69,33.71,434000,"ACIW","NASDAQ"
2019-07-23,33.8893,33.95,33.36,33.67,400900,"ACIW","NASDAQ"
2019-07-24,33.58,33.79,33.36,33.58,823300,"ACIW","NASDAQ"
2019-07-25,33.31,33.36,33.01,33.12,680700,"ACIW","NASDAQ"
2019-07-26,33.17,33.57,33.02,33.51,786300,"ACIW","NASDAQ"
2019-07-29,33.61,33.86,33.35,33.85,503800,"ACIW","NASDAQ"
2019-07-30,33.66,34.04,33.51,34.01,754000,"ACIW","NASDAQ"
2019-07-31,34.15,34.37,33.19,33.56,733200,"ACIW","NASDAQ"
2019-08-01,33.67,34.05,32.67,32.9,879000,"ACIW","NASDAQ"
2019-08-02,32.63,32.63,31.47,31.5,592900,"ACIW","NASDAQ"
2019-08-05,30.69,30.69,29.53,29.93,943300,"ACIW","NASDAQ"
2019-08-06,30.1,30.68,30.03,30.32,855600,"ACIW","NASDAQ"
2019-08-07,29.75,30.3171,29.67,30.15,752900,"ACIW","NASDAQ"
2019-08-08,31.38,31.38,29.68,30.86,1364600,"ACIW","NASDAQ"
2019-08-09,30.42,30.805,29.12,29.16,917500,"ACIW","NASDAQ"
