"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.35,15.55,15.09,15.16,180800,"ACLS","NASDAQ"
2019-05-31,14.92,15.0997,14.73,14.83,252500,"ACLS","NASDAQ"
2019-06-03,14.6617,14.9,14.47,14.6,455200,"ACLS","NASDAQ"
2019-06-04,14.77,15.31,14.5051,15.3,384500,"ACLS","NASDAQ"
2019-06-05,15.39,15.5,14.81,14.95,295000,"ACLS","NASDAQ"
2019-06-06,14.87,15.1491,14.63,14.89,129300,"ACLS","NASDAQ"
2019-06-07,14.89,15.26,14.8,15.03,186900,"ACLS","NASDAQ"
2019-06-10,15.13,15.76,15,15.74,232600,"ACLS","NASDAQ"
2019-06-11,15.59,15.88,15.0395,15.09,213200,"ACLS","NASDAQ"
2019-06-12,14.9,14.91,14.5,14.74,172300,"ACLS","NASDAQ"
2019-06-13,14.8,15.21,14.45,15.13,312800,"ACLS","NASDAQ"
2019-06-14,14.87,14.97,14.59,14.59,266600,"ACLS","NASDAQ"
2019-06-17,14.59,14.66,14.18,14.2,141700,"ACLS","NASDAQ"
2019-06-18,14.29,14.93,14.29,14.68,165600,"ACLS","NASDAQ"
2019-06-19,14.73,14.77,14.56,14.62,83000,"ACLS","NASDAQ"
2019-06-20,14.9,14.9607,14.6,14.64,116900,"ACLS","NASDAQ"
2019-06-21,14.56,14.76,14.46,14.46,189300,"ACLS","NASDAQ"
2019-06-24,14.52,14.64,14.305,14.32,111300,"ACLS","NASDAQ"
2019-06-25,14.2896,14.52,13.99,14.06,121700,"ACLS","NASDAQ"
2019-06-26,14.2607,14.595,14.26,14.44,169900,"ACLS","NASDAQ"
2019-06-27,14.45,15.02,14.45,15.02,221600,"ACLS","NASDAQ"
2019-06-28,15.15,15.4,15,15.05,353700,"ACLS","NASDAQ"
2019-07-01,15.52,15.77,15.24,15.44,223700,"ACLS","NASDAQ"
2019-07-02,15.34,15.42,14.95,15.17,125400,"ACLS","NASDAQ"
2019-07-03,15.15,15.3,15.05,15.15,48200,"ACLS","NASDAQ"
2019-07-05,14.98,15.2,14.89,15.16,72900,"ACLS","NASDAQ"
2019-07-08,15.03,15.03,14.7593,14.93,95200,"ACLS","NASDAQ"
2019-07-09,14.78,14.91,14.56,14.84,137100,"ACLS","NASDAQ"
2019-07-10,15,15.28,14.79,14.99,143200,"ACLS","NASDAQ"
2019-07-11,15.03,15.12,14.68,14.79,114500,"ACLS","NASDAQ"
2019-07-12,14.78,15.21,14.78,15.16,140600,"ACLS","NASDAQ"
2019-07-15,15.16,15.36,14.9506,15.21,192000,"ACLS","NASDAQ"
2019-07-16,15.2,15.21,14.92,15.06,172200,"ACLS","NASDAQ"
2019-07-17,15.1,15.53,14.91,15.35,271600,"ACLS","NASDAQ"
2019-07-18,15.35,15.611,15.34,15.39,162300,"ACLS","NASDAQ"
2019-07-19,15.39,15.6296,15.3,15.33,186100,"ACLS","NASDAQ"
2019-07-22,15.44,16.06,15.44,15.68,192500,"ACLS","NASDAQ"
2019-07-23,15.75,16.04,15.69,15.89,184000,"ACLS","NASDAQ"
2019-07-24,15.86,16.61,15.71,16.33,502700,"ACLS","NASDAQ"
2019-07-25,16.29,16.29,15.61,15.71,289800,"ACLS","NASDAQ"
2019-07-26,15.82,16.05,15.82,15.97,143500,"ACLS","NASDAQ"
2019-07-29,15.83,16.05,15.81,16,124300,"ACLS","NASDAQ"
2019-07-30,15.83,16.32,15.79,16.21,254400,"ACLS","NASDAQ"
2019-07-31,16.18,16.44,15.97,16.05,236400,"ACLS","NASDAQ"
2019-08-01,16.07,16.59,16.07,16.16,391700,"ACLS","NASDAQ"
2019-08-02,16.05,16.24,15.46,15.77,216000,"ACLS","NASDAQ"
2019-08-05,15.35,15.35,14.73,15.09,209800,"ACLS","NASDAQ"
2019-08-06,15.21,15.49,14.86,15.02,229500,"ACLS","NASDAQ"
2019-08-07,16.06,16.06,14.87,14.89,328000,"ACLS","NASDAQ"
2019-08-08,14.81,15.345,14.81,15.22,312900,"ACLS","NASDAQ"
2019-08-09,15.1992,15.24,15,15.04,151200,"ACLS","NASDAQ"
2019-08-12,14.9,15.215,14.9,15.03,140100,"ACLS","NASDAQ"
2019-08-13,15,15.565,15,15.28,117200,"ACLS","NASDAQ"
2019-08-14,15,15.12,14.93,15,250900,"ACLS","NASDAQ"
2019-08-15,14.97,15.24,14.78,14.91,150200,"ACLS","NASDAQ"
2019-08-16,15.07,15.38,15.03,15.33,209000,"ACLS","NASDAQ"
2019-08-19,15.59,15.59,15.15,15.17,121700,"ACLS","NASDAQ"
2019-08-20,15.13,15.22,14.9,14.91,495900,"ACLS","NASDAQ"
2019-08-21,15.12,15.18,14.94,15.07,103500,"ACLS","NASDAQ"
2019-08-22,15.24,15.66,15.24,15.4,212100,"ACLS","NASDAQ"
