"times","open","high","low","close","volume","symbol","market"
2019-05-30,36.58,37.516,35.841,36.63,6000,"ACNB","NASDAQ"
2019-05-31,36.88,36.88,35.7013,35.7,8700,"ACNB","NASDAQ"
2019-06-03,35.87,36.777,34.95,36.47,8500,"ACNB","NASDAQ"
2019-06-04,36.97,36.97,36.167,36.31,13500,"ACNB","NASDAQ"
2019-06-05,36.45,36.476,35.75,35.9,6800,"ACNB","NASDAQ"
2019-06-06,35.73,36.0618,34.05,34.5,13500,"ACNB","NASDAQ"
2019-06-07,34.732,34.732,33.912,34.4,7800,"ACNB","NASDAQ"
2019-06-10,34.45,36.2,34.446,36.2,12300,"ACNB","NASDAQ"
2019-06-11,36.16,37.507,36.16,36.58,5200,"ACNB","NASDAQ"
2019-06-12,36.57,37.012,34.605,36.58,6800,"ACNB","NASDAQ"
2019-06-13,36.58,36.9,36.1,36.32,4000,"ACNB","NASDAQ"
2019-06-14,36.11,36.89,36.11,36.37,3400,"ACNB","NASDAQ"
2019-06-17,36.4,36.78,35.7923,36.76,4600,"ACNB","NASDAQ"
2019-06-18,37,37.36,36.72,37.36,6300,"ACNB","NASDAQ"
2019-06-19,37.04,37.19,37.04,37.19,2000,"ACNB","NASDAQ"
2019-06-20,37.2,37.3,36.799,37.24,3700,"ACNB","NASDAQ"
2019-06-21,36.94,37.51,36.04,37.39,28500,"ACNB","NASDAQ"
2019-06-24,37.39,37.388,36.2,36.35,14200,"ACNB","NASDAQ"
2019-06-25,36.59,37.106,35.41,35.7,8600,"ACNB","NASDAQ"
2019-06-26,35.7,35.8727,35.27,35.27,2500,"ACNB","NASDAQ"
2019-06-27,35.7,36.51,35.542,36.51,7600,"ACNB","NASDAQ"
2019-06-28,36.39,39.57,36.39,39.57,64200,"ACNB","NASDAQ"
2019-07-01,38.95,38.95,37.41,38.59,24400,"ACNB","NASDAQ"
2019-07-02,37.41,37.95,36.88,37.72,12900,"ACNB","NASDAQ"
2019-07-03,38.08,38.19,37.77,38.05,1600,"ACNB","NASDAQ"
2019-07-05,37.96,38.19,37.514,38.1,3100,"ACNB","NASDAQ"
2019-07-08,38.05,38.05,37.12,38.05,4700,"ACNB","NASDAQ"
2019-07-09,38.19,38.49,37.73,38.28,5000,"ACNB","NASDAQ"
2019-07-10,38.36,38.4,37.49,38.15,7100,"ACNB","NASDAQ"
2019-07-11,38.24,38.4,37.66,38.4,5500,"ACNB","NASDAQ"
2019-07-12,38.55,39,37.72,37.77,31000,"ACNB","NASDAQ"
2019-07-15,37.79,37.79,37.5,37.76,2700,"ACNB","NASDAQ"
2019-07-16,37.5604,38.43,37.56,38.08,2200,"ACNB","NASDAQ"
2019-07-17,38.06,38.06,37.23,37.44,6100,"ACNB","NASDAQ"
2019-07-18,37.48,37.6,37.48,37.56,1700,"ACNB","NASDAQ"
2019-07-19,37.41,37.62,37.02,37.2,5100,"ACNB","NASDAQ"
2019-07-22,37.09,37.2,36.23,36.98,9100,"ACNB","NASDAQ"
2019-07-23,36.65,37.5,36.65,37.17,6300,"ACNB","NASDAQ"
2019-07-24,37.23,37.5,37.2,37.2,4600,"ACNB","NASDAQ"
2019-07-25,36.82,37.4,36.82,37.4,1600,"ACNB","NASDAQ"
2019-07-26,37.1814,37.9,36.93,37.6,10800,"ACNB","NASDAQ"
2019-07-29,37.42,37.8,37.18,37.24,5100,"ACNB","NASDAQ"
2019-07-30,37.06,37.71,36.94,37.45,7100,"ACNB","NASDAQ"
2019-07-31,37.5999,37.75,37.2,37.3,11600,"ACNB","NASDAQ"
2019-08-01,37.16,37.9,37.16,37.32,6300,"ACNB","NASDAQ"
2019-08-02,37.65,37.65,37.24,37.24,1700,"ACNB","NASDAQ"
2019-08-05,37.08,37.47,35.6,35.6,9500,"ACNB","NASDAQ"
2019-08-06,35.8703,36.46,35.31,36.39,5500,"ACNB","NASDAQ"
2019-08-07,36.24,36.4,35.848,36.03,3900,"ACNB","NASDAQ"
2019-08-08,36.69,37.0581,35.99,35.99,7100,"ACNB","NASDAQ"
2019-08-09,36.1,36.38,36.03,36.03,5600,"ACNB","NASDAQ"
2019-08-12,35.91,36.41,35.65,35.78,5600,"ACNB","NASDAQ"
2019-08-13,35.765,36.66,35.765,36.57,4800,"ACNB","NASDAQ"
2019-08-14,36.28,36.28,34.26,34.75,10000,"ACNB","NASDAQ"
2019-08-15,34.99,35.17,34.5,34.5,7000,"ACNB","NASDAQ"
2019-08-16,34.87,35.15,34.71,35.05,6400,"ACNB","NASDAQ"
2019-08-19,35.07,35.3,34.81,35.1,7300,"ACNB","NASDAQ"
2019-08-20,35.06,35.18,34.35,34.83,4000,"ACNB","NASDAQ"
2019-08-21,34.5,34.99,34.4,34.47,3000,"ACNB","NASDAQ"
2019-08-22,34.48,34.75,34.4,34.4,5200,"ACNB","NASDAQ"
2019-08-23,34.5,34.57,32.5,32.51,8700,"ACNB","NASDAQ"
2019-08-26,32.86,33.14,32.29,33.14,9300,"ACNB","NASDAQ"
2019-08-27,33.14,34.24,33.14,33.44,8000,"ACNB","NASDAQ"
2019-08-28,33.29,33.53,32.8,33.4,3800,"ACNB","NASDAQ"
2019-08-29,33.5,34.05,33.5,33.63,7100,"ACNB","NASDAQ"
2019-08-30,33.66,33.77,33.38,33.68,5500,"ACNB","NASDAQ"
2019-09-03,33.31,33.72,33.13,33.52,5700,"ACNB","NASDAQ"
2019-09-04,33.53,33.72,33.2,33.6,2600,"ACNB","NASDAQ"
2019-09-05,33.8,33.85,33.03,33.3,6900,"ACNB","NASDAQ"
2019-09-06,33.39,33.62,33.39,33.39,2900,"ACNB","NASDAQ"
2019-09-09,33.56,33.67,33.56,33.67,3400,"ACNB","NASDAQ"
2019-09-10,33.59,34.36,33.58,34.02,7800,"ACNB","NASDAQ"
2019-09-11,34.3,35.21,34,34.47,16300,"ACNB","NASDAQ"
2019-09-12,34.32,35.13,34.27,35,9500,"ACNB","NASDAQ"
2019-09-13,35.24,36.16,34.95,35.7,12500,"ACNB","NASDAQ"
2019-09-16,35.31,36.39,35.13,35.4,10100,"ACNB","NASDAQ"
2019-09-17,35.8,35.8,34.72,35.05,12700,"ACNB","NASDAQ"
2019-09-18,35.24,35.91,34.76,35.18,11300,"ACNB","NASDAQ"
2019-09-19,34.89,35.79,34.82,35.4,7200,"ACNB","NASDAQ"
2019-09-20,35.36,36.25,35.21,36.03,41600,"ACNB","NASDAQ"
