"times","open","high","low","close","volume","symbol","market"
2019-05-30,9.6206,9.8,9.252,9.38,823500,"ACOR","NASDAQ"
2019-05-31,9.24,9.38,9.1,9.29,873900,"ACOR","NASDAQ"
2019-06-03,9.22,9.5,9.18,9.39,774700,"ACOR","NASDAQ"
2019-06-04,9.53,9.66,9.04,9.25,1107900,"ACOR","NASDAQ"
2019-06-05,9.32,9.32,8.32,8.65,1301400,"ACOR","NASDAQ"
2019-06-06,8.67,8.693,7.95,8.02,1448600,"ACOR","NASDAQ"
2019-06-07,7.97,8.083,7.58,7.7,1181300,"ACOR","NASDAQ"
2019-06-10,7.73,7.94,7.58,7.62,872200,"ACOR","NASDAQ"
2019-06-11,7.73,7.76,7.48,7.63,1250000,"ACOR","NASDAQ"
2019-06-12,7.63,7.64,6.96,7.11,1565500,"ACOR","NASDAQ"
2019-06-13,7.1594,7.65,7.14,7.6,941700,"ACOR","NASDAQ"
2019-06-14,7.57,7.8898,7.48,7.53,820600,"ACOR","NASDAQ"
2019-06-17,7.55,7.79,7.53,7.68,763100,"ACOR","NASDAQ"
2019-06-18,7.69,8.04,7.56,7.66,830300,"ACOR","NASDAQ"
2019-06-19,7.7,7.82,7.35,7.54,799400,"ACOR","NASDAQ"
2019-06-20,7.58,7.86,7.26,7.28,683500,"ACOR","NASDAQ"
2019-06-21,7.27,7.66,7.0004,7.49,1629800,"ACOR","NASDAQ"
2019-06-24,7.54,7.86,7.39,7.4,873300,"ACOR","NASDAQ"
2019-06-25,7.43,7.5,7,7.06,1008300,"ACOR","NASDAQ"
2019-06-26,7.1,7.19,6.64,6.93,1048200,"ACOR","NASDAQ"
2019-06-27,6.93,7.43,6.93,7.4,969800,"ACOR","NASDAQ"
2019-06-28,7.48,8.04,7.36,7.67,1798100,"ACOR","NASDAQ"
2019-07-01,7.8202,8.08,7.61,7.69,942100,"ACOR","NASDAQ"
2019-07-02,7.67,7.8,7.46,7.63,505000,"ACOR","NASDAQ"
2019-07-03,7.68,7.68,7.32,7.55,303000,"ACOR","NASDAQ"
2019-07-05,7.55,7.5805,7.26,7.36,451400,"ACOR","NASDAQ"
2019-07-08,7.35,7.35,6.85,7.08,715100,"ACOR","NASDAQ"
2019-07-09,7.02,7.1,6.83,6.85,702400,"ACOR","NASDAQ"
2019-07-10,6.9197,7.15,6.7,7.1,1397200,"ACOR","NASDAQ"
2019-07-11,7.12,7.14,6.9,7,574600,"ACOR","NASDAQ"
2019-07-12,6.95,7.09,6.57,6.62,765200,"ACOR","NASDAQ"
2019-07-15,6.59,6.68,6.43,6.56,781700,"ACOR","NASDAQ"
2019-07-16,6.55,6.97,6.4,6.88,956600,"ACOR","NASDAQ"
2019-07-17,6.89,6.99,6.8,6.9,739500,"ACOR","NASDAQ"
2019-07-18,6.9,6.9,6.73,6.89,625300,"ACOR","NASDAQ"
2019-07-19,6.89,7,6.83,6.9,621900,"ACOR","NASDAQ"
2019-07-22,6.89,7.09,6.52,6.58,819300,"ACOR","NASDAQ"
2019-07-23,6.58,6.86,6.4201,6.76,1144700,"ACOR","NASDAQ"
2019-07-24,6.76,6.87,6.6593,6.82,512900,"ACOR","NASDAQ"
2019-07-25,6.82,6.92,6.76,6.79,1318000,"ACOR","NASDAQ"
2019-07-26,6.87,7.02,6.6,6.78,673000,"ACOR","NASDAQ"
2019-07-29,6.79,6.95,6.71,6.86,732700,"ACOR","NASDAQ"
2019-07-30,6.81,7.02,6.72,7.01,770900,"ACOR","NASDAQ"
2019-07-31,7.03,7.13,6.85,6.93,1182500,"ACOR","NASDAQ"
2019-08-01,6.89,6.9,6.03,6.07,1615300,"ACOR","NASDAQ"
2019-08-02,5.5,5.56,2.87,3.1,8252100,"ACOR","NASDAQ"
2019-08-05,3.12,3.16,2.75,2.92,5144400,"ACOR","NASDAQ"
2019-08-06,3,3.06,2.76,3.01,2453100,"ACOR","NASDAQ"
2019-08-07,2.95,3.2,2.83,3.04,1672100,"ACOR","NASDAQ"
2019-08-08,3.11,3.15,2.93,2.95,1071900,"ACOR","NASDAQ"
2019-08-09,2.95,3.03,2.81,2.92,1371100,"ACOR","NASDAQ"
2019-08-12,2.89,3.04,2.83,2.83,1404800,"ACOR","NASDAQ"
2019-08-13,2.84,2.85,2.61,2.73,1914000,"ACOR","NASDAQ"
2019-08-14,2.6,2.65,2.36,2.39,2398000,"ACOR","NASDAQ"
2019-08-15,2.51,2.64,2.27,2.62,2539600,"ACOR","NASDAQ"
2019-08-16,2.61,2.9,2.6,2.7,2548900,"ACOR","NASDAQ"
2019-08-19,2.76,2.94,2.67,2.93,1351600,"ACOR","NASDAQ"
2019-08-20,2.93,3.26,2.88,3.22,2541000,"ACOR","NASDAQ"
2019-08-21,3.28,3.44,3.04,3.14,2569000,"ACOR","NASDAQ"
