"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.01,5.07,4.82,4.87,474500,"ACRS","NASDAQ"
2019-05-31,4.8,4.81,4.61,4.68,247500,"ACRS","NASDAQ"
2019-06-03,4.67,4.79,4.61,4.63,380600,"ACRS","NASDAQ"
2019-06-04,4.69,4.8195,4.57,4.75,226700,"ACRS","NASDAQ"
2019-06-05,4.78,4.81,4.43,4.45,283600,"ACRS","NASDAQ"
2019-06-06,4.46,4.57,4.269,4.5,486700,"ACRS","NASDAQ"
2019-06-07,4.48,4.85,4.34,4.74,332300,"ACRS","NASDAQ"
2019-06-10,4.7498,4.98,4.715,4.85,364100,"ACRS","NASDAQ"
2019-06-11,4.89,4.94,4.67,4.81,421600,"ACRS","NASDAQ"
2019-06-12,4.79,4.84,4.48,4.65,418600,"ACRS","NASDAQ"
2019-06-13,4.68,4.87,4.55,4.87,312100,"ACRS","NASDAQ"
2019-06-14,4.85,4.86,4.59,4.67,345500,"ACRS","NASDAQ"
2019-06-17,4.8,5.101,4.63,4.89,604600,"ACRS","NASDAQ"
2019-06-18,4.91,5.08,4.8,4.89,438800,"ACRS","NASDAQ"
2019-06-19,4.94,5.19,4.85,5.11,261200,"ACRS","NASDAQ"
2019-06-20,5.13,5.37,4.93,4.99,485500,"ACRS","NASDAQ"
2019-06-21,4.97,4.97,4.49,4.54,746000,"ACRS","NASDAQ"
2019-06-24,4.55,4.67,4.35,4.45,344700,"ACRS","NASDAQ"
2019-06-25,4.46,4.59,4.35,4.4,288700,"ACRS","NASDAQ"
2019-06-26,4.45,4.6,4.32,4.45,308500,"ACRS","NASDAQ"
2019-06-27,2.88,3,2.02,2.13,7967600,"ACRS","NASDAQ"
2019-06-28,2.1,2.19,1.93,2.19,4618600,"ACRS","NASDAQ"
2019-07-01,2.28,2.43,2.21,2.43,2103300,"ACRS","NASDAQ"
2019-07-02,2.41,2.48,2.285,2.34,923600,"ACRS","NASDAQ"
2019-07-03,2.35,2.5,2.316,2.47,384600,"ACRS","NASDAQ"
2019-07-05,2.48,2.49,2.3,2.36,673600,"ACRS","NASDAQ"
2019-07-08,2.35,2.42,2.12,2.15,740100,"ACRS","NASDAQ"
2019-07-09,2.19,2.45,2.17,2.345,1209800,"ACRS","NASDAQ"
2019-07-10,2.33,2.36,2.21,2.33,563500,"ACRS","NASDAQ"
2019-07-11,2.33,2.34,2.18,2.2,371200,"ACRS","NASDAQ"
2019-07-12,2.21,2.21,2.05,2.18,473100,"ACRS","NASDAQ"
2019-07-15,2.2,2.29,2.12,2.23,359300,"ACRS","NASDAQ"
2019-07-16,2.21,2.25,2.17,2.21,437700,"ACRS","NASDAQ"
2019-07-17,2.21,2.21,2.1,2.11,250500,"ACRS","NASDAQ"
2019-07-18,2.1,2.135,2.0099,2.1,280400,"ACRS","NASDAQ"
2019-07-19,2.0902,2.1,1.98,1.99,426600,"ACRS","NASDAQ"
2019-07-22,2,2.06,1.9,1.98,375300,"ACRS","NASDAQ"
2019-07-23,1.97,2.01,1.88,1.92,448800,"ACRS","NASDAQ"
2019-07-24,1.93,1.95,1.89,1.9,595700,"ACRS","NASDAQ"
2019-07-25,1.89,1.91,1.71,1.75,415400,"ACRS","NASDAQ"
2019-07-26,1.75,1.79,1.74,1.75,568600,"ACRS","NASDAQ"
2019-07-29,1.76,1.76,1.65,1.73,358200,"ACRS","NASDAQ"
2019-07-30,1.822,1.822,1.66,1.74,1493400,"ACRS","NASDAQ"
2019-07-31,1.53,1.54,1.25,1.28,3250100,"ACRS","NASDAQ"
2019-08-01,1.28,1.29,1.11,1.21,1888500,"ACRS","NASDAQ"
2019-08-02,1.19,1.19,1.08,1.11,1520000,"ACRS","NASDAQ"
2019-08-05,1.12,1.15,1.05,1.07,467500,"ACRS","NASDAQ"
2019-08-06,1.07,1.1,1.02,1.07,1114800,"ACRS","NASDAQ"
2019-08-07,1.07,1.1,1.02,1.02,1376900,"ACRS","NASDAQ"
2019-08-08,1.04,1.06,0.99,0.99,1157600,"ACRS","NASDAQ"
2019-08-09,0.95,0.97,0.891,0.9,2410700,"ACRS","NASDAQ"
2019-08-12,0.89,0.91,0.842,0.849,2760200,"ACRS","NASDAQ"
2019-08-13,0.85,0.86,0.781,0.828,4865800,"ACRS","NASDAQ"
2019-08-14,0.84,0.868,0.785,0.786,2879100,"ACRS","NASDAQ"
2019-08-15,0.8,0.85,0.74,0.8,2062800,"ACRS","NASDAQ"
2019-08-16,0.8,0.95,0.77,0.873,2729000,"ACRS","NASDAQ"
2019-08-19,0.87,0.945,0.854,0.93,1251000,"ACRS","NASDAQ"
2019-08-20,0.934,0.969,0.91,0.955,468700,"ACRS","NASDAQ"
2019-08-21,0.955,0.99,0.94,0.96,598300,"ACRS","NASDAQ"
2019-08-22,0.969,1.12,0.96,1.09,1446700,"ACRS","NASDAQ"
2019-08-23,1.12,1.123,0.98,1.06,894800,"ACRS","NASDAQ"
2019-08-26,1.06,1.12,0.95,1.01,631400,"ACRS","NASDAQ"
2019-08-27,1.01,1.031,0.95,0.951,439500,"ACRS","NASDAQ"
2019-08-28,0.952,0.988,0.95,0.964,265300,"ACRS","NASDAQ"
2019-08-29,1.01,1.02,0.943,1.01,471200,"ACRS","NASDAQ"
