"times","open","high","low","close","volume","symbol","market"
2019-05-30,24.327,24.327,24.185,24.26,1500,"ACT","NASDAQ"
2019-05-31,24.2,24.2,23.948,23.948,1400,"ACT","NASDAQ"
2019-06-03,23.91,24.045,23.8,24.045,2100,"ACT","NASDAQ"
2019-06-04,24.314,24.41,24.314,24.41,800,"ACT","NASDAQ"
2019-06-05,24.5,24.4998,24.39,24.43,1000,"ACT","NASDAQ"
2019-06-06,24.31,24.79,24.31,24.79,2600,"ACT","NASDAQ"
2019-06-07,24.856,25.046,24.856,25.046,700,"ACT","NASDAQ"
2019-06-10,25.08,25.081,24.95,24.978,4300,"ACT","NASDAQ"
2019-06-11,25,25.18,25,25.125,900,"ACT","NASDAQ"
2019-06-12,25.12,25.12,24.842,24.875,1800,"ACT","NASDAQ"
2019-06-13,24.878,24.9494,24.84,24.949,700,"ACT","NASDAQ"
2019-06-14,24.884,24.884,24.694,24.735,800,"ACT","NASDAQ"
2019-06-17,24.5,24.686,24.5,24.661,1000,"ACT","NASDAQ"
2019-06-18,24.6,24.7911,24.6,24.679,2500,"ACT","NASDAQ"
2019-06-19,24.51,24.69,24.51,24.69,3100,"ACT","NASDAQ"
2019-06-20,24.886,24.983,24.87,24.95,7900,"ACT","NASDAQ"
2019-06-21,25.03,25.03,24.785,24.852,2100,"ACT","NASDAQ"
2019-06-24,24.92,24.92,24.855,24.855,900,"ACT","NASDAQ"
2019-06-25,24.77,24.77,24.709,24.73,4100,"ACT","NASDAQ"
2019-06-26,24.75,24.75,24.51,24.51,2900,"ACT","NASDAQ"
2019-06-27,24.6855,24.802,24.685,24.73,1000,"ACT","NASDAQ"
2019-06-28,24.87,25.085,24.87,25.085,5700,"ACT","NASDAQ"
2019-07-01,25.226,25.24,25.11,25.195,2800,"ACT","NASDAQ"
2019-07-02,25.28,25.33,25.25,25.3,2100,"ACT","NASDAQ"
2019-07-03,25.33,25.643,25.33,25.64,1900,"ACT","NASDAQ"
2019-07-05,25.68,25.68,25.406,25.481,1600,"ACT","NASDAQ"
2019-07-08,25.35,25.5984,25.35,25.6,800,"ACT","NASDAQ"
2019-07-09,25.359,25.359,25.25,25.25,1800,"ACT","NASDAQ"
2019-07-10,25.561,25.59,25.5,25.531,3700,"ACT","NASDAQ"
2019-07-11,25.62,25.62,25.372,25.372,3700,"ACT","NASDAQ"
2019-07-12,25.354,25.43,25.354,25.42,9500,"ACT","NASDAQ"
2019-07-15,25.33,25.33,25.299,25.299,900,"ACT","NASDAQ"
2019-07-16,25.13,25.29,25.1311,25.29,1300,"ACT","NASDAQ"
2019-07-17,25.443,25.443,25.443,25.443,1200,"ACT","NASDAQ"
2019-07-18,25.36,25.79,25.36,25.79,1800,"ACT","NASDAQ"
2019-07-19,25.7994,25.8,25.587,25.587,1000,"ACT","NASDAQ"
2019-07-22,25.41,25.44,25.28,25.29,1200,"ACT","NASDAQ"
2019-07-23,25.291,25.31,25.2,25.255,2500,"ACT","NASDAQ"
2019-07-24,25.06,25.29,25.06,25.29,1300,"ACT","NASDAQ"
2019-07-25,25.2,25.2,25.2,25.2,500,"ACT","NASDAQ"
2019-07-26,25.25,25.4408,25.25,25.423,2300,"ACT","NASDAQ"
2019-07-29,25.29,25.457,25.29,25.36,1500,"ACT","NASDAQ"
2019-07-30,25.148,25.2386,25.13,25.24,700,"ACT","NASDAQ"
2019-07-31,25.012,25.02,24.871,24.88,3300,"ACT","NASDAQ"
2019-08-01,24.69,24.69,24.69,24.69,400,"ACT","NASDAQ"
2019-08-02,24.568,24.6,24.55,24.55,1900,"ACT","NASDAQ"
2019-08-05,24.49,24.4904,23.75,23.772,2800,"ACT","NASDAQ"
2019-08-06,23.94,24.01,23.94,24,1000,"ACT","NASDAQ"
2019-08-07,23.79,24.16,23.79,24.16,2000,"ACT","NASDAQ"
2019-08-08,24.38,24.513,24.38,24.49,2700,"ACT","NASDAQ"
2019-08-09,24.449,24.48,24.39,24.48,900,"ACT","NASDAQ"
2019-08-12,24.46,24.46,24.078,24.088,2100,"ACT","NASDAQ"
2019-08-13,24.27,24.3537,24.27,24.352,2300,"ACT","NASDAQ"
2019-08-14,23.952,23.952,23.77,23.77,1500,"ACT","NASDAQ"
2019-08-15,23.77,23.872,23.77,23.804,1300,"ACT","NASDAQ"
2019-08-16,23.79,24.224,23.79,24.224,3200,"ACT","NASDAQ"
2019-08-19,24.35,24.492,24.35,24.43,1100,"ACT","NASDAQ"
2019-08-20,24.31,24.327,24.31,24.327,900,"ACT","NASDAQ"
2019-08-21,24.521,24.521,24.464,24.47,800,"ACT","NASDAQ"
2019-08-22,24.571,24.625,24.431,24.625,1600,"ACT","NASDAQ"
2019-08-23,24.72,24.72,23.92,23.92,3100,"ACT","NASDAQ"
2019-08-26,24.13,24.14,24.02,24.07,1900,"ACT","NASDAQ"
2019-08-27,24.38,24.38,23.751,23.751,3100,"ACT","NASDAQ"
2019-08-28,23.81,23.909,23.66,23.88,2300,"ACT","NASDAQ"
2019-08-29,24.016,24.092,24.016,24.092,2500,"ACT","NASDAQ"
2019-08-30,24.148,24.148,24.013,24.013,1200,"ACT","NASDAQ"
2019-09-03,23.88,23.88,23.85,23.85,400,"ACT","NASDAQ"
2019-09-04,24.01,24.01,23.937,23.937,700,"ACT","NASDAQ"
2019-09-05,24.18,24.18,24.07,24.132,1000,"ACT","NASDAQ"
2019-09-06,24.08,24.256,24.08,24.212,1200,"ACT","NASDAQ"
2019-09-09,24.23,24.23,24.12,24.19,10300,"ACT","NASDAQ"
2019-09-10,24.038,24.06,24.001,24.06,1700,"ACT","NASDAQ"
2019-09-11,24.2,24.26,24.2,24.26,1200,"ACT","NASDAQ"
2019-09-12,24.05,24.34,24.05,24.34,1700,"ACT","NASDAQ"
2019-09-13,24.28,24.28,24.141,24.16,1200,"ACT","NASDAQ"
2019-09-16,24.01,24.01,23.96,23.96,2300,"ACT","NASDAQ"
2019-09-17,23.89,23.915,23.814,23.846,1200,"ACT","NASDAQ"
2019-09-18,23.751,23.751,23.69,23.69,400,"ACT","NASDAQ"
2019-09-19,23.65,23.65,23.5,23.5,1200,"ACT","NASDAQ"
2019-09-20,23.564,23.61,23.514,23.514,4000,"ACT","NASDAQ"
2019-09-23,23.467,23.495,23.36,23.381,4400,"ACT","NASDAQ"
2019-09-24,23.438,23.446,23.265,23.27,1500,"ACT","NASDAQ"
2019-09-25,23.56,23.566,23.496,23.496,1400,"ACT","NASDAQ"
2019-09-26,23.45,23.57,23.45,23.57,600,"ACT","NASDAQ"
2019-09-27,23.465,23.465,23.38,23.4,900,"ACT","NASDAQ"
2019-09-30,23.33,23.67,23.33,23.64,3700,"ACT","NASDAQ"
2019-10-01,23.54,23.54,23.453,23.453,500,"ACT","NASDAQ"
2019-10-02,23.1,23.155,23.09,23.13,2200,"ACT","NASDAQ"
2019-10-03,23,23.294,23,23.244,2700,"ACT","NASDAQ"
2019-10-04,23.35,23.592,23.35,23.592,2500,"ACT","NASDAQ"
2019-10-07,23.48,23.64,23.48,23.543,2100,"ACT","NASDAQ"
2019-10-08,23.16,23.26,23.13,23.26,1200,"ACT","NASDAQ"
2019-10-09,23.297,23.31,23.297,23.304,1700,"ACT","NASDAQ"
2019-10-10,23.422,23.422,23.267,23.267,1400,"ACT","NASDAQ"
2019-10-11,23.58,23.58,23.446,23.548,2700,"ACT","NASDAQ"
2019-10-14,23.266,23.266,23.25,23.265,2400,"ACT","NASDAQ"
2019-10-15,23.38,23.44,23.38,23.44,800,"ACT","NASDAQ"
2019-10-16,23.435,23.52,23.435,23.494,3500,"ACT","NASDAQ"
2019-10-17,23.59,23.65,23.59,23.623,1300,"ACT","NASDAQ"
2019-10-18,23.58,23.58,23.51,23.51,724,"ACT","NASDAQ"
