"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.3,3.4799,3.24,3.4,295300,"ADAP","NASDAQ"
2019-05-31,3.45,3.48,3.3,3.46,267900,"ADAP","NASDAQ"
2019-06-03,3.49,3.49,3.3,3.49,184800,"ADAP","NASDAQ"
2019-06-04,3.54,3.67,3.46,3.64,160000,"ADAP","NASDAQ"
2019-06-05,3.68,3.82,3.5822,3.8,199500,"ADAP","NASDAQ"
2019-06-06,3.83,3.85,3.52,3.57,212900,"ADAP","NASDAQ"
2019-06-07,3.6,3.63,3.5,3.56,166200,"ADAP","NASDAQ"
2019-06-10,3.62,4.02,3.51,3.95,337800,"ADAP","NASDAQ"
2019-06-11,4.01,4.01,3.53,3.63,313700,"ADAP","NASDAQ"
2019-06-12,3.61,3.62,3.4,3.57,244900,"ADAP","NASDAQ"
2019-06-13,3.58,3.7,3.46,3.7,139800,"ADAP","NASDAQ"
2019-06-14,3.6803,3.71,3.51,3.6,182100,"ADAP","NASDAQ"
2019-06-17,3.64,3.79,3.51,3.66,253400,"ADAP","NASDAQ"
2019-06-18,3.6903,3.78,3.48,3.5,312500,"ADAP","NASDAQ"
2019-06-19,3.5,3.57,3.45,3.46,208900,"ADAP","NASDAQ"
2019-06-20,3.57,3.59,3.43,3.49,280700,"ADAP","NASDAQ"
2019-06-21,3.51,3.7,3.44,3.66,154500,"ADAP","NASDAQ"
2019-06-24,3.7,3.83,3.55,3.79,171000,"ADAP","NASDAQ"
2019-06-25,3.81,4.01,3.76,3.98,271300,"ADAP","NASDAQ"
2019-06-26,3.98,4.09,3.861,4.05,265000,"ADAP","NASDAQ"
2019-06-27,4.06,4.14,3.91,3.99,174100,"ADAP","NASDAQ"
2019-06-28,3.93,4.04,3.9099,4.02,121700,"ADAP","NASDAQ"
2019-07-01,4.09,4.1,3.6,3.65,281500,"ADAP","NASDAQ"
2019-07-02,3.67,3.864,3.67,3.81,106300,"ADAP","NASDAQ"
2019-07-03,3.8,3.83,3.7,3.79,69300,"ADAP","NASDAQ"
2019-07-05,3.79,3.9,3.66,3.7,110500,"ADAP","NASDAQ"
2019-07-08,3.65,3.76,3.47,3.52,136600,"ADAP","NASDAQ"
2019-07-09,3.53,3.75,3.4801,3.66,292100,"ADAP","NASDAQ"
2019-07-10,3.64,3.69,3.42,3.53,172000,"ADAP","NASDAQ"
2019-07-11,3.54,3.62,3.38,3.44,246200,"ADAP","NASDAQ"
2019-07-12,3.48,3.5,3.38,3.45,96200,"ADAP","NASDAQ"
2019-07-15,3.5,3.59,3.38,3.5,91000,"ADAP","NASDAQ"
