"times","open","high","low","close","volume","symbol","market"
2019-05-30,274.43,275.09,272.43,274.51,1601100,"ADBE","NASDAQ"
2019-05-31,271.28,272.91,268.75,270.9,2526600,"ADBE","NASDAQ"
2019-06-03,270.51,272.81,257.53,259.03,3903400,"ADBE","NASDAQ"
2019-06-04,263.27,268.93,257.46,268.71,3750800,"ADBE","NASDAQ"
2019-06-05,272.7776,273.21,268.39,272.86,2650400,"ADBE","NASDAQ"
2019-06-06,273.72,275.76,271.045,274.8,2211800,"ADBE","NASDAQ"
2019-06-07,275.87,282.37,275.51,278.16,2758900,"ADBE","NASDAQ"
2019-06-10,280.98,284.98,280.2,280.34,2487700,"ADBE","NASDAQ"
2019-06-11,283.8993,284.89,272.03,275.99,2969300,"ADBE","NASDAQ"
2019-06-12,276.13,277.555,274.575,276.84,1313700,"ADBE","NASDAQ"
2019-06-13,278.59,278.96,275.915,276.3,1696400,"ADBE","NASDAQ"
2019-06-14,275.91,277.1,274,274.28,2262800,"ADBE","NASDAQ"
2019-06-17,274.63,277.47,274.63,275.6,2254200,"ADBE","NASDAQ"
2019-06-18,280.37,280.491,276.62,276.78,4529300,"ADBE","NASDAQ"
2019-06-19,287,292,284.34,291.21,9738600,"ADBE","NASDAQ"
2019-06-20,293.25,302.66,293.25,302.11,5632500,"ADBE","NASDAQ"
2019-06-21,301.46,304,299.09,299.33,4015500,"ADBE","NASDAQ"
2019-06-24,300,302.5819,298.685,299.87,2868900,"ADBE","NASDAQ"
2019-06-25,299.21,300.645,287,287.97,4638500,"ADBE","NASDAQ"
2019-06-26,291.26,292.76,288.7089,288.72,2896800,"ADBE","NASDAQ"
2019-06-27,290.04,294.67,290.04,293.23,2596800,"ADBE","NASDAQ"
2019-06-28,294.5,295.1,291.95,294.65,2648300,"ADBE","NASDAQ"
2019-07-01,299.55,301.9,297.66,300.97,2619500,"ADBE","NASDAQ"
2019-07-02,301.19,301.58,299.36,301.39,1816600,"ADBE","NASDAQ"
2019-07-03,302.0094,305.86,301.29,305.7,1585300,"ADBE","NASDAQ"
