"times","open","high","low","close","volume","symbol","market"
2019-05-30,11.6,11.98,11.54,11.89,159100,"ADES","NASDAQ"
2019-05-31,11.76,11.98,11.7303,11.87,163300,"ADES","NASDAQ"
2019-06-03,11.85,12.29,11.85,12.27,158400,"ADES","NASDAQ"
2019-06-04,12.36,12.7101,12.36,12.68,117700,"ADES","NASDAQ"
2019-06-05,12.69,12.76,12.55,12.64,118500,"ADES","NASDAQ"
2019-06-06,12.6,12.86,12.58,12.74,167500,"ADES","NASDAQ"
2019-06-07,12.82,12.92,12.69,12.88,152500,"ADES","NASDAQ"
2019-06-10,12.9,12.98,12.74,12.9,153400,"ADES","NASDAQ"
2019-06-11,12.9,13,12.7595,12.94,115000,"ADES","NASDAQ"
2019-06-12,12.94,13,12.74,12.94,132400,"ADES","NASDAQ"
2019-06-13,12.95,12.99,12.78,12.96,95600,"ADES","NASDAQ"
2019-06-14,12.95,13.01,12.855,12.86,173600,"ADES","NASDAQ"
2019-06-17,12.81,12.84,12.65,12.77,132300,"ADES","NASDAQ"
2019-06-18,12.8,12.85,12.47,12.51,105200,"ADES","NASDAQ"
2019-06-19,12.48,12.659,12.43,12.56,93100,"ADES","NASDAQ"
2019-06-20,12.63,12.7,12.46,12.64,75000,"ADES","NASDAQ"
2019-06-21,12.58,12.76,12.54,12.55,100700,"ADES","NASDAQ"
2019-06-24,12.5606,12.665,12.21,12.32,104100,"ADES","NASDAQ"
2019-06-25,12.27,12.3,12.12,12.23,79500,"ADES","NASDAQ"
2019-06-26,12.27,12.367,12.16,12.33,73700,"ADES","NASDAQ"
2019-06-27,12.38,12.5,12.2842,12.43,69800,"ADES","NASDAQ"
2019-06-28,12.4,12.76,12.341,12.64,345000,"ADES","NASDAQ"
2019-07-01,12.77,13.07,12.69,12.7,233500,"ADES","NASDAQ"
2019-07-02,12.7,12.93,12.6404,12.86,110500,"ADES","NASDAQ"
2019-07-03,12.84,13.15,12.84,13.09,60900,"ADES","NASDAQ"
2019-07-05,13.05,13.15,12.88,13,132100,"ADES","NASDAQ"
2019-07-08,12.99,13.36,12.99,13.13,114600,"ADES","NASDAQ"
2019-07-09,13.09,13.14,12.67,12.73,105600,"ADES","NASDAQ"
2019-07-10,12.73,12.81,12.52,12.61,76800,"ADES","NASDAQ"
2019-07-11,12.6,12.74,12.37,12.52,86900,"ADES","NASDAQ"
2019-07-12,12.52,12.9,12.52,12.86,80700,"ADES","NASDAQ"
2019-07-15,12.86,12.98,12.67,12.91,61400,"ADES","NASDAQ"
2019-07-16,12.91,13.16,12.85,12.91,78300,"ADES","NASDAQ"
2019-07-17,12.88,12.92,12.66,12.81,92200,"ADES","NASDAQ"
2019-07-18,12.73,12.77,12.3,12.45,209200,"ADES","NASDAQ"
2019-07-19,12.4,12.59,12.39,12.52,127800,"ADES","NASDAQ"
2019-07-22,12.52,12.7394,12.52,12.63,88300,"ADES","NASDAQ"
2019-07-23,12.69,12.7003,12.55,12.67,91500,"ADES","NASDAQ"
2019-07-24,12.66,13.03,12.62,12.99,132600,"ADES","NASDAQ"
2019-07-25,12.95,13.1,12.9003,12.92,104400,"ADES","NASDAQ"
2019-07-26,12.96,13,12.8294,12.97,75300,"ADES","NASDAQ"
2019-07-29,13,13.13,12.89,12.93,107700,"ADES","NASDAQ"
2019-07-30,12.86,13.08,12.78,12.97,79100,"ADES","NASDAQ"
2019-07-31,13.01,13.03,12.65,12.73,153600,"ADES","NASDAQ"
2019-08-01,12.8,12.94,12.53,12.55,111100,"ADES","NASDAQ"
2019-08-02,12.62,12.75,12.41,12.67,107200,"ADES","NASDAQ"
2019-08-05,12.69,12.69,12.3,12.33,99900,"ADES","NASDAQ"
2019-08-06,12.3,12.48,11.5,11.96,299500,"ADES","NASDAQ"
2019-08-07,11.97,12.48,11.96,12.3,151300,"ADES","NASDAQ"
2019-08-08,12.31,12.6,12.3,12.4,92300,"ADES","NASDAQ"
2019-08-09,12.36,12.46,11.77,11.91,145800,"ADES","NASDAQ"
2019-08-12,11.9,12.065,11.66,11.87,129200,"ADES","NASDAQ"
2019-08-13,11.84,12.2,11.84,12.17,45700,"ADES","NASDAQ"
2019-08-14,12.13,12.13,11.84,11.95,108300,"ADES","NASDAQ"
2019-08-15,11.97,12.05,11.83,11.89,107200,"ADES","NASDAQ"
2019-08-16,11.68,11.89,11.66,11.76,107800,"ADES","NASDAQ"
2019-08-19,11.8,11.94,11.73,11.92,124700,"ADES","NASDAQ"
2019-08-20,12.02,12.07,11.87,12.02,100600,"ADES","NASDAQ"
2019-08-21,12.13,12.3,12.06,12.24,113100,"ADES","NASDAQ"
2019-08-22,12.37,12.66,12.37,12.63,126300,"ADES","NASDAQ"
2019-08-23,12.6,12.68,12.36,12.4,119600,"ADES","NASDAQ"
2019-08-26,12.38,12.66,12.37,12.64,110500,"ADES","NASDAQ"
2019-08-27,12.75,12.78,12.43,12.47,84800,"ADES","NASDAQ"
2019-08-28,12.46,12.79,12.46,12.74,90900,"ADES","NASDAQ"
2019-08-29,12.8,12.93,12.69,12.71,34600,"ADES","NASDAQ"
2019-08-30,12.79,12.79,12.54,12.62,46300,"ADES","NASDAQ"
2019-09-03,12.61,12.63,12.29,12.51,138300,"ADES","NASDAQ"
2019-09-04,12.6,12.74,12.41,12.63,94300,"ADES","NASDAQ"
2019-09-05,12.71,12.94,12.63,12.77,104500,"ADES","NASDAQ"
2019-09-06,12.9,12.95,12.76,12.88,150200,"ADES","NASDAQ"
2019-09-09,12.94,13.25,12.88,13.05,172900,"ADES","NASDAQ"
2019-09-10,13.02,13.25,12.9,13.23,177200,"ADES","NASDAQ"
2019-09-11,13.23,14.49,13.17,14.22,626600,"ADES","NASDAQ"
2019-09-12,14.4,14.71,13.95,14.51,273200,"ADES","NASDAQ"
2019-09-13,14.65,14.7,14.25,14.5,185600,"ADES","NASDAQ"
2019-09-16,14.5,14.7,14.39,14.57,87500,"ADES","NASDAQ"
2019-09-17,14.57,14.64,14.39,14.51,86600,"ADES","NASDAQ"
2019-09-18,14.49,14.49,14.1,14.24,148100,"ADES","NASDAQ"
2019-09-19,14.25,14.8,14.14,14.45,197600,"ADES","NASDAQ"
2019-09-20,14.44,14.55,13.96,14.08,265400,"ADES","NASDAQ"
2019-09-23,14.06,14.22,13.67,13.97,271000,"ADES","NASDAQ"
2019-09-24,14.06,14.22,13.93,13.95,168700,"ADES","NASDAQ"
2019-09-25,13.9,14.34,13.86,14.27,98700,"ADES","NASDAQ"
2019-09-26,14.23,14.52,14.16,14.47,117300,"ADES","NASDAQ"
2019-09-27,14.5,14.58,13.96,14.05,148500,"ADES","NASDAQ"
2019-09-30,13.99,14.98,13.98,14.84,380500,"ADES","NASDAQ"
2019-10-01,14.83,15.34,13.72,13.75,251200,"ADES","NASDAQ"
2019-10-02,13.8,13.94,13.55,13.7,174600,"ADES","NASDAQ"
2019-10-03,13.74,13.91,13.4,13.61,121100,"ADES","NASDAQ"
2019-10-04,13.59,13.91,13.51,13.88,80400,"ADES","NASDAQ"
2019-10-07,13.76,13.88,13.03,13.2,184100,"ADES","NASDAQ"
2019-10-08,13.05,13.3,12.92,13.14,150000,"ADES","NASDAQ"
2019-10-09,13.16,13.39,13.16,13.32,75400,"ADES","NASDAQ"
2019-10-10,13.36,13.44,13.16,13.34,77300,"ADES","NASDAQ"
2019-10-11,13.4,13.71,13.4,13.51,72000,"ADES","NASDAQ"
2019-10-14,13.56,13.8,13.45,13.66,77500,"ADES","NASDAQ"
2019-10-15,13.64,14.01,13.56,13.97,115800,"ADES","NASDAQ"
2019-10-16,13.82,13.94,13.55,13.89,146100,"ADES","NASDAQ"
2019-10-17,13.97,14.11,13.71,13.88,108000,"ADES","NASDAQ"
2019-10-18,13.81,14.13,13.81,13.93,104089,"ADES","NASDAQ"
