"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.41,1.53,1.41,1.5,263900,"ADMP","NASDAQ"
2019-05-31,1.5,1.53,1.44,1.51,278700,"ADMP","NASDAQ"
2019-06-03,1.5101,1.55,1.46,1.49,147200,"ADMP","NASDAQ"
2019-06-04,1.49,1.498,1.44,1.47,211200,"ADMP","NASDAQ"
2019-06-05,1.49,1.49,1.25,1.34,799600,"ADMP","NASDAQ"
2019-06-06,1.35,1.35,1.27,1.27,247100,"ADMP","NASDAQ"
2019-06-07,1.28,1.37,1.27,1.35,373300,"ADMP","NASDAQ"
2019-06-10,1.36,1.47,1.3501,1.45,274600,"ADMP","NASDAQ"
2019-06-11,1.47,1.51,1.37,1.47,239600,"ADMP","NASDAQ"
2019-06-12,1.5,1.5,1.4,1.45,166800,"ADMP","NASDAQ"
2019-06-13,1.47,1.49,1.4,1.47,221000,"ADMP","NASDAQ"
2019-06-14,1.45,1.45,1.31,1.39,299600,"ADMP","NASDAQ"
2019-06-17,1.38,1.46,1.351,1.42,184200,"ADMP","NASDAQ"
2019-06-18,1.42,1.454,1.33,1.39,260700,"ADMP","NASDAQ"
2019-06-19,1.38,1.39,1.3,1.31,248900,"ADMP","NASDAQ"
2019-06-20,1.31,1.34,1.28,1.32,299300,"ADMP","NASDAQ"
2019-06-21,1.31,1.33,1.26,1.28,269200,"ADMP","NASDAQ"
2019-06-24,1.27,1.296,1.26,1.26,189300,"ADMP","NASDAQ"
2019-06-25,1.27,1.29,1.25,1.26,138000,"ADMP","NASDAQ"
2019-06-26,1.2799,1.33,1.26,1.3,236900,"ADMP","NASDAQ"
2019-06-27,1.29,1.3,1.25,1.29,168000,"ADMP","NASDAQ"
2019-06-28,1.3,1.33,1.27,1.3,169400,"ADMP","NASDAQ"
2019-07-01,1.36,1.36,1.3,1.32,289700,"ADMP","NASDAQ"
2019-07-02,1.32,1.345,1.2,1.21,825100,"ADMP","NASDAQ"
2019-07-03,1.23,1.29,1.23,1.28,283000,"ADMP","NASDAQ"
2019-07-05,1.29,1.31,1.26,1.28,237100,"ADMP","NASDAQ"
2019-07-08,1.27,1.3,1.25,1.29,233200,"ADMP","NASDAQ"
2019-07-09,1.37,1.57,1.35,1.43,2446100,"ADMP","NASDAQ"
2019-07-10,1.46,1.48,1.41,1.44,410000,"ADMP","NASDAQ"
2019-07-11,1.45,1.46,1.4,1.41,356400,"ADMP","NASDAQ"
2019-07-12,1.45,1.46,1.3799,1.4,281300,"ADMP","NASDAQ"
2019-07-15,1.41,1.54,1.4,1.46,950500,"ADMP","NASDAQ"
2019-07-16,1.3801,1.4,1.24,1.28,1264900,"ADMP","NASDAQ"
2019-07-17,1.3,1.31,1.2399,1.25,322600,"ADMP","NASDAQ"
2019-07-18,1.25,1.32,1.17,1.27,1077900,"ADMP","NASDAQ"
2019-07-19,1.25,1.28,1.17,1.17,513600,"ADMP","NASDAQ"
2019-07-22,1.2,1.23,1.14,1.16,450800,"ADMP","NASDAQ"
2019-07-23,1.17,1.19,1.09,1.11,676800,"ADMP","NASDAQ"
2019-07-24,1.1601,1.23,1.09,1.23,644100,"ADMP","NASDAQ"
2019-07-25,1.26,1.26,1.16,1.21,323600,"ADMP","NASDAQ"
2019-07-26,1.22,1.24,1.16,1.18,215300,"ADMP","NASDAQ"
2019-07-29,1.2,1.2,1.14,1.15,170100,"ADMP","NASDAQ"
2019-07-30,1.14,1.23,1.14,1.17,261600,"ADMP","NASDAQ"
2019-07-31,1.1899,1.21,1.15,1.15,416700,"ADMP","NASDAQ"
2019-08-01,0.98,1.01,0.93,0.99,1794200,"ADMP","NASDAQ"
2019-08-02,1,1,0.96,0.97,444800,"ADMP","NASDAQ"
2019-08-05,0.98,0.99,0.94,0.96,463400,"ADMP","NASDAQ"
2019-08-06,0.94,0.98,0.94,0.94,508800,"ADMP","NASDAQ"
2019-08-07,0.925,0.96,0.925,0.94,303100,"ADMP","NASDAQ"
2019-08-08,0.94,0.98,0.94,0.974,344100,"ADMP","NASDAQ"
2019-08-09,1.05,1.06,0.99,1.04,820000,"ADMP","NASDAQ"
2019-08-12,1.03,1.13,1.02,1.11,1253800,"ADMP","NASDAQ"
2019-08-13,1.12,1.15,1.09,1.15,864700,"ADMP","NASDAQ"
2019-08-14,1.14,1.15,1.06,1.08,645100,"ADMP","NASDAQ"
2019-08-15,1.08,1.08,1.02,1.03,393200,"ADMP","NASDAQ"
2019-08-16,1.04,1.1101,1.03,1.08,414100,"ADMP","NASDAQ"
2019-08-19,1.08,1.12,1.04,1.08,719000,"ADMP","NASDAQ"
2019-08-20,1.09,1.09,1.05,1.07,456800,"ADMP","NASDAQ"
2019-08-21,1.08,1.11,1.06,1.08,676600,"ADMP","NASDAQ"
2019-08-22,1.06,1.08,1.05,1.06,386600,"ADMP","NASDAQ"
2019-08-23,1.05,1.06,0.96,0.96,741700,"ADMP","NASDAQ"
2019-08-26,0.98,1,0.96,0.97,368700,"ADMP","NASDAQ"
2019-08-27,0.99,1.03,0.98,1,344300,"ADMP","NASDAQ"
2019-08-28,1.02,1.04,0.96,0.96,373400,"ADMP","NASDAQ"
2019-08-29,0.97,1,0.9,0.93,723200,"ADMP","NASDAQ"
2019-08-30,0.93,0.95,0.9,0.94,401700,"ADMP","NASDAQ"
2019-09-03,0.93,0.93,0.81,0.84,1041900,"ADMP","NASDAQ"
2019-09-04,0.83,0.83,0.77,0.8,1111000,"ADMP","NASDAQ"
2019-09-05,0.81,0.81,0.7,0.73,2537800,"ADMP","NASDAQ"
2019-09-06,0.73,0.79,0.72,0.76,1118600,"ADMP","NASDAQ"
2019-09-09,0.75,0.79,0.74,0.74,435900,"ADMP","NASDAQ"
2019-09-10,0.74,0.8,0.74,0.78,901200,"ADMP","NASDAQ"
2019-09-11,0.82,0.93,0.81,0.9,3264000,"ADMP","NASDAQ"
2019-09-12,0.9,0.91,0.83,0.85,929200,"ADMP","NASDAQ"
2019-09-13,0.86,0.87,0.84,0.85,446700,"ADMP","NASDAQ"
2019-09-16,0.86,0.86,0.76,0.78,1187600,"ADMP","NASDAQ"
