"times","open","high","low","close","volume","symbol","market"
2019-05-30,29.49,29.49,29.49,29.49,300,"ADRA","NASDAQ"
2019-05-31,29.029,29.08,28.98,28.98,3100,"ADRA","NASDAQ"
2019-06-03,29.31,29.31,29.19,29.19,900,"ADRA","NASDAQ"
2019-06-04,29.38,29.617,29.38,29.617,900,"ADRA","NASDAQ"
2019-06-05,29.452,29.452,29.452,29.452,3000,"ADRA","NASDAQ"
2019-06-06,29.45,29.45,29.45,29.45,200,"ADRA","NASDAQ"
2019-06-07,29.45,29.45,29.45,29.45,100,"ADRA","NASDAQ"
2019-06-10,30.2,30.2,30.2,30.2,900,"ADRA","NASDAQ"
2019-06-11,30.2,30.2,30.2,30.2,0,"ADRA","NASDAQ"
2019-06-12,30.21,30.21,30.21,30.21,200,"ADRA","NASDAQ"
2019-06-13,30.08,30.121,30.06,30.121,500,"ADRA","NASDAQ"
2019-06-14,29.84,29.84,29.84,29.84,200,"ADRA","NASDAQ"
2019-06-17,29.88,29.925,29.88,29.923,500,"ADRA","NASDAQ"
2019-06-18,29.92,29.92,29.92,29.92,200,"ADRA","NASDAQ"
2019-06-19,30.599,30.599,30.599,30.599,500,"ADRA","NASDAQ"
2019-06-20,31.16,31.16,31.16,31.16,600,"ADRA","NASDAQ"
2019-06-21,30.87,30.87,30.87,30.87,300,"ADRA","NASDAQ"
2019-06-24,30.67,30.67,30.62,30.62,6000,"ADRA","NASDAQ"
2019-06-25,30.62,30.62,30.62,30.62,100,"ADRA","NASDAQ"
2019-06-26,30.62,30.62,30.62,30.62,200,"ADRA","NASDAQ"
2019-06-27,30.62,30.62,30.62,30.62,100,"ADRA","NASDAQ"
2019-06-28,30.83,30.83,30.83,30.83,200,"ADRA","NASDAQ"
2019-07-01,31.44,31.44,31.3,31.3,700,"ADRA","NASDAQ"
2019-07-02,31.28,31.3,31.28,31.3,400,"ADRA","NASDAQ"
2019-07-03,31.3,31.3,31.3,31.3,0,"ADRA","NASDAQ"
2019-07-05,31.16,31.1604,31.16,31.16,300,"ADRA","NASDAQ"
2019-07-08,31.1606,31.16,31.16,31.16,100,"ADRA","NASDAQ"
2019-07-09,31.16,31.16,31.16,31.16,100,"ADRA","NASDAQ"
2019-07-10,30.94,30.94,30.94,30.94,300,"ADRA","NASDAQ"
2019-07-11,30.94,30.95,30.91,30.95,500,"ADRA","NASDAQ"
2019-07-12,31.04,31.04,31.02,31.03,3300,"ADRA","NASDAQ"
2019-07-15,31.28,31.34,31.28,31.32,1200,"ADRA","NASDAQ"
2019-07-16,31.29,31.29,31.27,31.27,200,"ADRA","NASDAQ"
2019-07-17,31.23,31.25,31.23,31.25,3500,"ADRA","NASDAQ"
2019-07-18,31.21,31.21,31.03,31.16,1700,"ADRA","NASDAQ"
2019-07-19,31.5,31.5,31.32,31.4,800,"ADRA","NASDAQ"
2019-07-22,31.4,31.401,31.4,31.4,100,"ADRA","NASDAQ"
2019-07-23,31.49,31.5,31.49,31.5,500,"ADRA","NASDAQ"
2019-07-24,31.65,31.65,31.5,31.5,500,"ADRA","NASDAQ"
2019-07-25,31.41,31.41,31.18,31.18,800,"ADRA","NASDAQ"
2019-07-26,31.1218,31.24,31.12,31.17,900,"ADRA","NASDAQ"
2019-07-29,31.1205,31.16,31.12,31.12,3600,"ADRA","NASDAQ"
2019-07-30,31.0106,31.01,30.88,30.88,600,"ADRA","NASDAQ"
2019-07-31,30.72,30.72,30.72,30.72,300,"ADRA","NASDAQ"
2019-08-01,30.9,31.11,30.32,30.32,3500,"ADRA","NASDAQ"
2019-08-02,30.9,31.11,30.32,30.32,200,"ADRA","NASDAQ"
2019-08-05,29.4712,29.47,29.47,29.47,400,"ADRA","NASDAQ"
2019-08-06,29.31,29.31,29.31,29.31,200,"ADRA","NASDAQ"
2019-08-07,29.31,29.31,29.31,29.31,100,"ADRA","NASDAQ"
2019-08-08,29.31,29.31,29.31,29.31,100,"ADRA","NASDAQ"
2019-08-09,29.6,29.66,29.6,29.66,700,"ADRA","NASDAQ"
2019-08-12,29.4207,29.42,29.42,29.42,200,"ADRA","NASDAQ"
2019-08-13,29.36,29.843,29.36,29.804,500,"ADRA","NASDAQ"
2019-08-14,28.98,29.02,28.98,29.02,1300,"ADRA","NASDAQ"
2019-08-15,29.3486,29.35,29.35,29.35,300,"ADRA","NASDAQ"
2019-08-16,29.7,29.85,29.7,29.85,1300,"ADRA","NASDAQ"
2019-08-19,30.06,30.06,30.06,30.06,300,"ADRA","NASDAQ"
2019-08-20,30.06,30.06,30.06,30.06,0,"ADRA","NASDAQ"
2019-08-21,30.16,30.16,30.16,30.16,300,"ADRA","NASDAQ"
