"times","open","high","low","close","volume","symbol","market"
2019-05-30,37.66,37.89,37.66,37.89,1600,"ADRE","NASDAQ"
2019-05-31,37.38,37.67,37.3798,37.55,3600,"ADRE","NASDAQ"
2019-06-03,37.88,37.96,37.85,37.93,6500,"ADRE","NASDAQ"
2019-06-04,38.3104,38.34,38.21,38.34,3100,"ADRE","NASDAQ"
2019-06-05,37.74,37.84,37.73,37.84,1300,"ADRE","NASDAQ"
2019-06-06,37.82,37.99,37.8,37.99,3700,"ADRE","NASDAQ"
2019-06-07,38.07,38.5,38.07,38.46,3200,"ADRE","NASDAQ"
2019-06-10,38.67,39.0107,38.67,38.77,5800,"ADRE","NASDAQ"
2019-06-11,39.35,39.43,39.29,39.33,3100,"ADRE","NASDAQ"
2019-06-12,39.27,39.27,38.86,38.86,4100,"ADRE","NASDAQ"
2019-06-13,39.11,39.16,38.82,38.87,3100,"ADRE","NASDAQ"
2019-06-14,38.66,38.66,38.38,38.38,1000,"ADRE","NASDAQ"
2019-06-17,38.39,38.53,38.39,38.44,1500,"ADRE","NASDAQ"
2019-06-18,38.94,39.58,38.94,39.44,2900,"ADRE","NASDAQ"
2019-06-19,39.63,39.63,39.3798,39.55,3500,"ADRE","NASDAQ"
2019-06-20,40.22,40.39,40.08,40.25,9500,"ADRE","NASDAQ"
2019-06-21,40.16,40.16,40.07,40.11,900,"ADRE","NASDAQ"
2019-06-24,40.05,40.08,40,40.03,2300,"ADRE","NASDAQ"
2019-06-25,39.96,40,39.36,39.36,4300,"ADRE","NASDAQ"
2019-06-26,39.9,39.91,39.84,39.84,3300,"ADRE","NASDAQ"
2019-06-27,40.02,40.0979,39.87,40.07,2500,"ADRE","NASDAQ"
2019-06-28,40.15,40.15,39.85,39.9,11000,"ADRE","NASDAQ"
2019-07-01,40.79,41,40.6297,40.69,9800,"ADRE","NASDAQ"
2019-07-02,40.79,40.79,40.5,40.54,3800,"ADRE","NASDAQ"
2019-07-03,40.5287,40.53,40.38,40.53,4000,"ADRE","NASDAQ"
2019-07-05,40.24,40.43,40.24,40.43,2100,"ADRE","NASDAQ"
2019-07-08,40.17,40.17,39.9,39.92,3400,"ADRE","NASDAQ"
2019-07-09,39.56,39.93,39.56,39.9,2100,"ADRE","NASDAQ"
2019-07-10,40.37,40.44,40.14,40.15,4600,"ADRE","NASDAQ"
2019-07-11,40.29,40.29,40.07,40.17,4800,"ADRE","NASDAQ"
2019-07-12,40.41,40.48,40.32,40.43,9300,"ADRE","NASDAQ"
2019-07-15,40.67,40.73,40.63,40.72,2600,"ADRE","NASDAQ"
2019-07-16,40.7722,40.8,40.5,40.62,1600,"ADRE","NASDAQ"
2019-07-17,40.57,40.65,40.57,40.58,3000,"ADRE","NASDAQ"
2019-07-18,40.66,40.75,40.54,40.71,1500,"ADRE","NASDAQ"
