"times","open","high","low","close","volume","symbol","market"
2019-05-29,20.48,20.51,20.47,20.5,1700,"ADRU","NASDAQ"
2019-05-30,20.5,20.59,20.5,20.59,700,"ADRU","NASDAQ"
2019-05-31,20.33,20.36,20.33,20.36,1100,"ADRU","NASDAQ"
2019-06-03,20.47,20.47,20.47,20.47,200,"ADRU","NASDAQ"
2019-06-04,20.47,20.47,20.47,20.47,0,"ADRU","NASDAQ"
2019-06-05,20.47,20.47,20.47,20.47,0,"ADRU","NASDAQ"
2019-06-06,20.92,20.92,20.92,20.92,500,"ADRU","NASDAQ"
2019-06-07,20.92,20.92,20.92,20.92,0,"ADRU","NASDAQ"
2019-06-10,21.18,21.18,21.11,21.15,7400,"ADRU","NASDAQ"
2019-06-11,21.24,21.24,21.24,21.24,400,"ADRU","NASDAQ"
2019-06-12,21.19,21.19,21.19,21.19,200,"ADRU","NASDAQ"
2019-06-13,21.11,21.11,21.11,21.11,200,"ADRU","NASDAQ"
2019-06-14,20.86,20.86,20.86,20.86,100,"ADRU","NASDAQ"
2019-06-17,20.86,20.86,20.86,20.86,0,"ADRU","NASDAQ"
2019-06-18,20.88,21.18,20.8796,21.18,1600,"ADRU","NASDAQ"
2019-06-19,21.3,21.3,21.3,21.3,200,"ADRU","NASDAQ"
2019-06-20,21.3,21.3,21.3,21.3,100,"ADRU","NASDAQ"
2019-06-21,21.41,21.43,21.41,21.43,400,"ADRU","NASDAQ"
2019-06-24,21.24,21.24,21.24,21.24,200,"ADRU","NASDAQ"
2019-06-25,21.24,21.24,21.24,21.24,100,"ADRU","NASDAQ"
2019-06-26,21.1309,21.13,21.13,21.13,200,"ADRU","NASDAQ"
2019-06-27,21.13,21.1306,21.13,21.13,0,"ADRU","NASDAQ"
2019-06-28,21.13,21.13,21.13,21.13,100,"ADRU","NASDAQ"
2019-07-01,21.28,21.28,21.26,21.26,500,"ADRU","NASDAQ"
2019-07-02,21.38,21.38,21.38,21.38,1100,"ADRU","NASDAQ"
2019-07-03,21.38,21.38,21.38,21.38,0,"ADRU","NASDAQ"
2019-07-05,21.22,21.34,21.22,21.34,200,"ADRU","NASDAQ"
2019-07-08,21.23,21.28,21.23,21.28,1200,"ADRU","NASDAQ"
2019-07-09,21.28,21.28,21.28,21.28,0,"ADRU","NASDAQ"
2019-07-10,21.28,21.28,21.28,21.28,200,"ADRU","NASDAQ"
2019-07-11,21.25,21.25,21.25,21.25,1800,"ADRU","NASDAQ"
2019-07-12,21.04,21.103,21.04,21.04,700,"ADRU","NASDAQ"
2019-07-15,21.1,21.0995,21.1,21.1,100,"ADRU","NASDAQ"
2019-07-16,21.06,21.06,20.99,20.99,200,"ADRU","NASDAQ"
2019-07-17,20.99,21.04,20.99,21.04,600,"ADRU","NASDAQ"
2019-07-18,20.82,21.13,20.82,21.13,200,"ADRU","NASDAQ"
2019-07-19,20.8212,20.82,20.82,20.82,100,"ADRU","NASDAQ"
2019-07-22,20.82,20.821,20.82,20.82,0,"ADRU","NASDAQ"
2019-07-23,21.14,21.26,21.14,21.26,1300,"ADRU","NASDAQ"
2019-07-24,21.26,21.26,21.26,21.26,0,"ADRU","NASDAQ"
2019-07-25,21.26,21.26,21.26,21.26,0,"ADRU","NASDAQ"
2019-07-26,21.06,21.06,21,21,4800,"ADRU","NASDAQ"
2019-07-29,21.2,21.2,21.15,21.15,1200,"ADRU","NASDAQ"
2019-07-30,20.87,20.92,20.87,20.92,1600,"ADRU","NASDAQ"
2019-07-31,20.9,20.9,20.69,20.78,1300,"ADRU","NASDAQ"
