"times","open","high","low","close","volume","symbol","market"
2019-05-30,69.31,69.9135,68.5,69.27,48700,"ADUS","NASDAQ"
2019-05-31,68.62,69.3236,67.46,68.38,68800,"ADUS","NASDAQ"
2019-06-03,68.39,69.5,68.1057,68.74,60900,"ADUS","NASDAQ"
2019-06-04,69.45,72.38,69,72.06,132900,"ADUS","NASDAQ"
2019-06-05,71.57,72.845,70.795,72.62,89700,"ADUS","NASDAQ"
2019-06-06,72.84,72.91,71.62,72.63,70900,"ADUS","NASDAQ"
2019-06-07,72.86,73.75,72.01,73.3,76500,"ADUS","NASDAQ"
2019-06-10,73.59,74.67,73.54,74.08,101100,"ADUS","NASDAQ"
2019-06-11,71.985,71.985,69.1,69.99,143400,"ADUS","NASDAQ"
2019-06-12,70.01,70.495,68.23,70.05,110500,"ADUS","NASDAQ"
2019-06-13,71.25,73.64,71,72.22,141800,"ADUS","NASDAQ"
2019-06-14,72.52,73.04,71.94,72.05,76200,"ADUS","NASDAQ"
2019-06-17,72.5,73.3369,71.94,72.56,77900,"ADUS","NASDAQ"
2019-06-18,73.18,74.16,72.49,72.92,52700,"ADUS","NASDAQ"
2019-06-19,73.13,75.93,72.1,75.89,106700,"ADUS","NASDAQ"
2019-06-20,76.75,76.75,74.07,74.91,102700,"ADUS","NASDAQ"
2019-06-21,74.95,75.72,73.93,74.63,160600,"ADUS","NASDAQ"
2019-06-24,74.37,75.43,73.91,74.54,97500,"ADUS","NASDAQ"
2019-06-25,74.4274,75.51,73.57,74.81,91600,"ADUS","NASDAQ"
2019-06-26,75.38,75.85,73.565,74.07,69900,"ADUS","NASDAQ"
2019-06-27,73.68,75.13,72.75,74.33,95000,"ADUS","NASDAQ"
2019-06-28,74.26,75.68,73.97,74.95,234900,"ADUS","NASDAQ"
2019-07-01,75.75,76.29,75.2749,76.08,116200,"ADUS","NASDAQ"
2019-07-02,76.06,76.6253,74.7,76.56,52900,"ADUS","NASDAQ"
2019-07-03,76.6094,77.97,76.26,77.39,39900,"ADUS","NASDAQ"
2019-07-05,76.87,77.41,76.01,77.26,67900,"ADUS","NASDAQ"
2019-07-08,76.96,77.72,76.28,77.69,41200,"ADUS","NASDAQ"
2019-07-09,77.34,78.3,76.32,78.08,98200,"ADUS","NASDAQ"
2019-07-10,78.37,79.17,77.45,77.55,83800,"ADUS","NASDAQ"
2019-07-11,78.25,78.98,76.61,77.07,115300,"ADUS","NASDAQ"
2019-07-12,77.0592,77.27,75.93,77.08,108900,"ADUS","NASDAQ"
2019-07-15,77.4,77.7,76,76.16,63700,"ADUS","NASDAQ"
2019-07-16,76.35,76.76,75.69,76.36,82600,"ADUS","NASDAQ"
2019-07-17,76.44,77.34,75.9,76.1,78400,"ADUS","NASDAQ"
2019-07-18,75.9,77.32,75.21,76.82,84600,"ADUS","NASDAQ"
2019-07-19,76.6,77.7,76.38,76.77,88100,"ADUS","NASDAQ"
2019-07-22,77,77.68,76.62,77.67,84500,"ADUS","NASDAQ"
2019-07-23,77.8,78.11,77.04,77.61,74900,"ADUS","NASDAQ"
2019-07-24,77.27,79.11,76.51,78.78,67000,"ADUS","NASDAQ"
2019-07-25,78.78,80.26,78.25,79.59,119700,"ADUS","NASDAQ"
2019-07-26,79.92,80.92,79.25,80.68,141900,"ADUS","NASDAQ"
2019-07-29,80.74,82.26,80.36,81.8,83500,"ADUS","NASDAQ"
2019-07-30,81.39,82.39,80.43,82.22,77700,"ADUS","NASDAQ"
2019-07-31,82.08,83.13,80.27,80.59,103600,"ADUS","NASDAQ"
2019-08-01,80.6834,81.95,80,81.05,119900,"ADUS","NASDAQ"
2019-08-02,80.93,81.3,78.19,79.75,86500,"ADUS","NASDAQ"
2019-08-05,78.69,79.21,74.79,76.71,119400,"ADUS","NASDAQ"
2019-08-06,77.77,82.86,76.9,80.9,178200,"ADUS","NASDAQ"
2019-08-07,82.98,84.99,79.55,82.16,101500,"ADUS","NASDAQ"
2019-08-08,82.34,82.34,79.84,81.46,150900,"ADUS","NASDAQ"
2019-08-09,82.04,83.99,81.5,83.26,102900,"ADUS","NASDAQ"
2019-08-12,83.09,84.12,82.3051,83.14,75300,"ADUS","NASDAQ"
2019-08-13,82.68,84.73,82.68,83.71,67300,"ADUS","NASDAQ"
2019-08-14,82.54,84.5599,82.08,83.46,75400,"ADUS","NASDAQ"
2019-08-15,83.2063,87.78,83.21,86.7,173800,"ADUS","NASDAQ"
2019-08-16,86.9,92.91,86.52,88.43,372700,"ADUS","NASDAQ"
2019-08-19,89.14,91.55,86.94,87.07,114400,"ADUS","NASDAQ"
2019-08-20,86.79,88.37,86.55,87.46,91300,"ADUS","NASDAQ"
