"times","open","high","low","close","volume","symbol","market"
2019-05-30,14.5796,14.76,14.37,14.46,79800,"AEGN","NASDAQ"
2019-05-31,14.26,14.46,14.12,14.4,177900,"AEGN","NASDAQ"
2019-06-03,14.46,14.74,14.45,14.69,207700,"AEGN","NASDAQ"
2019-06-04,14.82,15.46,14.82,15.42,191400,"AEGN","NASDAQ"
2019-06-05,15.44,15.49,15.17,15.3,90700,"AEGN","NASDAQ"
2019-06-06,15.18,15.3,14.49,14.5,171900,"AEGN","NASDAQ"
2019-06-07,14.56,14.85,14.56,14.63,159100,"AEGN","NASDAQ"
2019-06-10,14.75,15.1,14.75,14.89,151000,"AEGN","NASDAQ"
2019-06-11,15.03,15.1,14.639,15.09,189900,"AEGN","NASDAQ"
2019-06-12,14.92,15.24,14.785,15.2,241600,"AEGN","NASDAQ"
2019-06-13,15.18,16.51,15.18,16.32,218800,"AEGN","NASDAQ"
2019-06-14,16.32,16.575,16.16,16.3,197200,"AEGN","NASDAQ"
2019-06-17,16.27,16.58,16.1996,16.28,82000,"AEGN","NASDAQ"
2019-06-18,16.4,16.84,15.8496,16.64,149800,"AEGN","NASDAQ"
2019-06-19,16.63,16.677,16.38,16.61,118800,"AEGN","NASDAQ"
2019-06-20,16.73,17.055,16.66,16.94,80600,"AEGN","NASDAQ"
2019-06-21,16.83,17.02,16.53,16.69,287600,"AEGN","NASDAQ"
2019-06-24,16.7494,16.955,16.63,16.7,103500,"AEGN","NASDAQ"
2019-06-25,16.67,17.13,16.525,17,163800,"AEGN","NASDAQ"
2019-06-26,17.04,17.4098,17.04,17.28,80700,"AEGN","NASDAQ"
2019-06-27,17.32,17.77,17.3,17.77,115700,"AEGN","NASDAQ"
2019-06-28,17.78,18.49,17.78,18.4,324600,"AEGN","NASDAQ"
2019-07-01,18.52,18.68,18.14,18.2,147700,"AEGN","NASDAQ"
2019-07-02,18.262,18.28,17.9,18,81600,"AEGN","NASDAQ"
2019-07-03,18.07,18.13,17.95,18.01,31700,"AEGN","NASDAQ"
2019-07-05,17.89,18.23,17.83,18.22,43500,"AEGN","NASDAQ"
2019-07-08,18.1902,18.33,18.08,18.13,48700,"AEGN","NASDAQ"
2019-07-09,18.04,18.25,18.0408,18.21,97400,"AEGN","NASDAQ"
2019-07-10,18.35,18.5,18.05,18.07,61800,"AEGN","NASDAQ"
2019-07-11,18.07,18.13,17.61,17.68,113000,"AEGN","NASDAQ"
2019-07-12,17.71,18.0891,17.58,17.92,141900,"AEGN","NASDAQ"
2019-07-15,17.97,18.02,17.46,18,132900,"AEGN","NASDAQ"
2019-07-16,17.9,18.4,17.89,18.1,95900,"AEGN","NASDAQ"
2019-07-17,18.09,18.28,17.77,17.96,152000,"AEGN","NASDAQ"
2019-07-18,17.9,18.19,17.62,17.76,75300,"AEGN","NASDAQ"
2019-07-19,17.71,18.04,17.71,17.93,95900,"AEGN","NASDAQ"
2019-07-22,17.9,18.27,17.9,18.21,115300,"AEGN","NASDAQ"
2019-07-23,18.24,18.63,18.05,18.43,114700,"AEGN","NASDAQ"
2019-07-24,18.31,19.03,18.31,18.94,107300,"AEGN","NASDAQ"
2019-07-25,18.98,18.98,18.47,18.5,68900,"AEGN","NASDAQ"
2019-07-26,18.51,18.75,18.51,18.7,103000,"AEGN","NASDAQ"
2019-07-29,18.64,18.8,18.49,18.77,56100,"AEGN","NASDAQ"
2019-07-30,18.58,19.09,18.26,19.06,112800,"AEGN","NASDAQ"
2019-07-31,19.03,19.48,18.8006,18.85,190200,"AEGN","NASDAQ"
2019-08-01,19.5,19.5105,18.8,18.84,166200,"AEGN","NASDAQ"
2019-08-02,18.97,19.27,17.79,18.45,130500,"AEGN","NASDAQ"
2019-08-05,18.12,19,17.92,18.95,168200,"AEGN","NASDAQ"
2019-08-06,18.95,19.26,18.65,19.23,116600,"AEGN","NASDAQ"
2019-08-07,18.81,19.13,18.5,19.01,110300,"AEGN","NASDAQ"
2019-08-08,19.19,19.84,19.06,19.56,150800,"AEGN","NASDAQ"
2019-08-09,19.49,19.8,19.1,19.44,113000,"AEGN","NASDAQ"
2019-08-12,19.38,19.42,18.86,19.05,75800,"AEGN","NASDAQ"
2019-08-13,18.87,19.38,18.87,19.37,58700,"AEGN","NASDAQ"
2019-08-14,18.98,19.11,18.6,18.83,61600,"AEGN","NASDAQ"
2019-08-15,18.92,18.93,18.3502,18.55,72700,"AEGN","NASDAQ"
2019-08-16,18.71,19.2,18.7099,19.01,91200,"AEGN","NASDAQ"
2019-08-19,19.28,19.47,19.14,19.2,54700,"AEGN","NASDAQ"
2019-08-20,19.09,19.3,18.99,19.21,68500,"AEGN","NASDAQ"
2019-08-21,19.36,19.85,19.19,19.83,358200,"AEGN","NASDAQ"
2019-08-22,19.9,20.53,19.68,19.68,112900,"AEGN","NASDAQ"
2019-08-23,19.61,19.65,19.15,19.23,107500,"AEGN","NASDAQ"
2019-08-26,19.31,19.47,19.16,19.45,62700,"AEGN","NASDAQ"
2019-08-27,19.51,19.51,19.1,19.11,115900,"AEGN","NASDAQ"
2019-08-28,19.04,19.56,19.04,19.36,55300,"AEGN","NASDAQ"
2019-08-29,19.57,19.88,19.57,19.65,83900,"AEGN","NASDAQ"
2019-08-30,19.66,19.98,19.6,19.74,73200,"AEGN","NASDAQ"
2019-09-03,19.6,19.67,19.15,19.34,119400,"AEGN","NASDAQ"
