"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.7,5.85,5.25,5.4,2800,"AEMD","NASDAQ"
2019-05-31,5.7,5.85,5.1,5.4,2100,"AEMD","NASDAQ"
2019-06-03,5.25,5.4,5.1,5.25,6300,"AEMD","NASDAQ"
2019-06-04,5.25,6,5.25,5.7,8300,"AEMD","NASDAQ"
2019-06-05,5.7,6.75,5.4,5.85,28000,"AEMD","NASDAQ"
2019-06-06,6,6.3,5.25,5.55,6600,"AEMD","NASDAQ"
2019-06-07,5.7,5.85,5.55,5.55,7700,"AEMD","NASDAQ"
2019-06-10,5.55,5.55,5.25,5.25,11300,"AEMD","NASDAQ"
2019-06-11,5.1,5.55,4.5,5.1,6400,"AEMD","NASDAQ"
2019-06-12,5.1,5.55,4.65,5.1,6800,"AEMD","NASDAQ"
2019-06-13,5.25,5.25,4.65,4.95,4800,"AEMD","NASDAQ"
2019-06-14,5.1,5.25,4.95,4.95,2500,"AEMD","NASDAQ"
2019-06-17,4.95,5.25,4.95,5.1,2600,"AEMD","NASDAQ"
2019-06-18,4.95,5.4,4.95,5.25,5800,"AEMD","NASDAQ"
2019-06-19,5.4,5.55,5.1,5.55,3500,"AEMD","NASDAQ"
2019-06-20,5.4,5.4,5.1,5.4,3800,"AEMD","NASDAQ"
2019-06-21,5.25,5.55,5.25,5.25,3200,"AEMD","NASDAQ"
2019-06-24,5.55,5.55,5.25,5.55,3000,"AEMD","NASDAQ"
2019-06-25,5.55,5.55,5.25,5.4,2300,"AEMD","NASDAQ"
2019-06-26,5.4,5.55,5.25,5.4,2800,"AEMD","NASDAQ"
2019-06-27,5.4,5.4,5.25,5.25,3800,"AEMD","NASDAQ"
2019-06-28,5.55,5.55,4.65,5.55,9500,"AEMD","NASDAQ"
2019-07-01,5.7,6.6,5.7,6.6,72200,"AEMD","NASDAQ"
2019-07-02,9,9,6.15,6.45,299000,"AEMD","NASDAQ"
2019-07-03,5.55,6,5.4,5.85,25600,"AEMD","NASDAQ"
2019-07-05,0.35,0.38,0.35,0.38,29500,"AEMD","NASDAQ"
2019-07-08,0.35,0.4,0.35,0.37,8400,"AEMD","NASDAQ"
2019-07-09,0.37,0.37,0.36,0.37,8400,"AEMD","NASDAQ"
2019-07-10,0.35,0.36,0.32,0.35,11300,"AEMD","NASDAQ"
2019-07-11,0.34,0.37,0.33,0.34,27200,"AEMD","NASDAQ"
2019-07-12,0.33,0.35,0.33,0.33,6700,"AEMD","NASDAQ"
2019-07-15,0.33,0.34,0.3,0.32,28900,"AEMD","NASDAQ"
2019-07-16,0.31,0.34,0.3,0.32,16400,"AEMD","NASDAQ"
2019-07-17,0.33,0.35,0.31,0.32,55100,"AEMD","NASDAQ"
2019-07-18,0.32,0.33,0.31,0.32,8100,"AEMD","NASDAQ"
2019-07-19,0.33,0.33,0.3,0.3,13100,"AEMD","NASDAQ"
2019-07-22,0.31,0.33,0.31,0.32,2500,"AEMD","NASDAQ"
2019-07-23,0.31,0.33,0.3,0.31,6400,"AEMD","NASDAQ"
2019-07-24,0.32,0.32,0.31,0.31,2000,"AEMD","NASDAQ"
2019-07-25,0.31,0.31,0.27,0.3,6200,"AEMD","NASDAQ"
2019-07-26,0.31,0.31,0.21,0.3,2700,"AEMD","NASDAQ"
2019-07-29,0.28,0.28,0.26,0.26,7300,"AEMD","NASDAQ"
2019-07-30,0.27,0.27,0.22,0.25,15300,"AEMD","NASDAQ"
2019-07-31,0.24,0.24,0.2,0.22,18000,"AEMD","NASDAQ"
2019-08-01,0.23,0.25,0.21,0.23,5800,"AEMD","NASDAQ"
2019-08-02,0.25,0.25,0.22,0.23,4200,"AEMD","NASDAQ"
2019-08-05,0.23,0.24,0.22,0.22,2700,"AEMD","NASDAQ"
2019-08-06,0.23,0.24,0.22,0.24,4500,"AEMD","NASDAQ"
2019-08-07,0.235,0.27,0.231,0.26,11800,"AEMD","NASDAQ"
2019-08-08,0.28,0.282,0.235,0.28,4000,"AEMD","NASDAQ"
2019-08-09,0.266,0.28,0.25,0.258,800,"AEMD","NASDAQ"
2019-08-12,0.254,0.258,0.221,0.24,6500,"AEMD","NASDAQ"
2019-08-13,0.23,0.254,0.221,0.232,3400,"AEMD","NASDAQ"
2019-08-14,0.25,0.28,0.24,0.26,7900,"AEMD","NASDAQ"
2019-08-15,0.28,0.28,0.23,0.26,6500,"AEMD","NASDAQ"
2019-08-16,0.26,0.28,0.25,0.28,1700,"AEMD","NASDAQ"
2019-08-19,4.2,4.2,3.75,3.9,1700,"AEMD","NASDAQ"
2019-08-20,3.75,4.05,3.75,3.9,2600,"AEMD","NASDAQ"
2019-08-21,3.9,3.9,3.75,3.9,2100,"AEMD","NASDAQ"
2019-08-22,3.9,4.05,3.9,3.9,2200,"AEMD","NASDAQ"
2019-08-23,4.05,4.8,4.05,4.65,32000,"AEMD","NASDAQ"
2019-08-26,4.5,4.8,4.05,4.65,12900,"AEMD","NASDAQ"
2019-08-27,4.2,4.95,4.05,4.2,26800,"AEMD","NASDAQ"
2019-08-28,4.2,4.65,4.05,4.5,8900,"AEMD","NASDAQ"
2019-08-29,4.35,4.65,4.2,4.2,4700,"AEMD","NASDAQ"
2019-08-30,4.2,4.5,4.2,4.35,2500,"AEMD","NASDAQ"
2019-09-03,4.35,4.65,4.2,4.35,2200,"AEMD","NASDAQ"
2019-09-04,4.35,4.5,4.35,4.35,3600,"AEMD","NASDAQ"
2019-09-05,4.5,4.65,4.35,4.35,4800,"AEMD","NASDAQ"
2019-09-06,4.5,4.65,4.35,4.5,3300,"AEMD","NASDAQ"
2019-09-09,4.5,4.5,4.35,4.35,3300,"AEMD","NASDAQ"
2019-09-10,4.35,4.35,3.75,3.9,14500,"AEMD","NASDAQ"
2019-09-11,3.9,4.05,3.75,3.9,6000,"AEMD","NASDAQ"
2019-09-12,4.05,4.05,3.75,3.75,2400,"AEMD","NASDAQ"
2019-09-13,3.75,4.65,3.6,3.9,34600,"AEMD","NASDAQ"
2019-09-16,4.5,4.65,3.9,4.05,33800,"AEMD","NASDAQ"
2019-09-17,4.2,4.5,4.05,4.35,14000,"AEMD","NASDAQ"
2019-09-18,4.5,4.65,4.2,4.35,6400,"AEMD","NASDAQ"
2019-09-19,4.95,4.95,4.35,4.35,4200,"AEMD","NASDAQ"
2019-09-20,4.35,4.35,3.9,4.35,4500,"AEMD","NASDAQ"
2019-09-23,4.2,4.5,4.05,4.05,4300,"AEMD","NASDAQ"
2019-09-24,4.2,4.65,3.6,3.9,39300,"AEMD","NASDAQ"
2019-09-25,3.75,4.2,3.6,3.9,6100,"AEMD","NASDAQ"
2019-09-26,3.75,3.9,3.45,3.6,7900,"AEMD","NASDAQ"
2019-09-27,3.45,3.9,3.45,3.75,3900,"AEMD","NASDAQ"
2019-09-30,3.75,3.75,3.45,3.45,2900,"AEMD","NASDAQ"
2019-10-01,3.75,4.05,3.45,3.6,7300,"AEMD","NASDAQ"
2019-10-02,3.75,4.2,3.45,3.6,3900,"AEMD","NASDAQ"
2019-10-03,3.6,3.75,3.6,3.6,2500,"AEMD","NASDAQ"
2019-10-04,3.6,4.05,3.6,3.75,4200,"AEMD","NASDAQ"
2019-10-07,4.5,5.1,4.05,4.2,154000,"AEMD","NASDAQ"
2019-10-08,4.65,4.65,3.45,4.05,26300,"AEMD","NASDAQ"
2019-10-09,3.75,4.2,3.75,3.75,16300,"AEMD","NASDAQ"
2019-10-10,3.75,3.9,3.6,3.9,17800,"AEMD","NASDAQ"
2019-10-11,3.75,3.9,3.6,3.9,5600,"AEMD","NASDAQ"
2019-10-14,4.2,4.2,3.45,4.05,5800,"AEMD","NASDAQ"
2019-10-15,3.59,4.44,3.55,3.97,76000,"AEMD","NASDAQ"
2019-10-16,4.11,6.89,4.11,4.99,443200,"AEMD","NASDAQ"
2019-10-17,4.58,4.98,4.3,4.61,35700,"AEMD","NASDAQ"
2019-10-18,4.55,5.09,4.4911,4.85,55797,"AEMD","NASDAQ"
