"times","open","high","low","close","volume","symbol","market"
2019-05-30,39.2094,39.34,37.47,38.01,479200,"AERI","NASDAQ"
2019-05-31,37.64,37.7075,35.45,36.42,879800,"AERI","NASDAQ"
2019-06-03,36.59,37.17,35.87,36.11,366900,"AERI","NASDAQ"
2019-06-04,36.64,37.75,35.77,37.47,382400,"AERI","NASDAQ"
2019-06-05,37.72,38.3885,36.83,36.93,412700,"AERI","NASDAQ"
2019-06-06,36.79,36.93,33.59,34.68,1020500,"AERI","NASDAQ"
2019-06-07,34.9,35.58,34.39,35.17,339000,"AERI","NASDAQ"
2019-06-10,35.25,35.74,33.9,34.22,514800,"AERI","NASDAQ"
2019-06-11,34.72,35.03,33.8,34.06,638500,"AERI","NASDAQ"
2019-06-12,33.86,34.16,32.19,32.26,787500,"AERI","NASDAQ"
2019-06-13,32.57,33.6,32.1,33.13,1261800,"AERI","NASDAQ"
2019-06-14,33,33.0177,31.01,31.72,847500,"AERI","NASDAQ"
2019-06-17,31.82,33.65,31.74,33.29,490900,"AERI","NASDAQ"
2019-06-18,33.67,34.73,33.4,33.84,590600,"AERI","NASDAQ"
2019-06-19,33.66,34.11,32.59,32.89,463100,"AERI","NASDAQ"
2019-06-20,33.26,33.655,31.98,32.13,402600,"AERI","NASDAQ"
2019-06-21,31.99,31.99,30.1194,30.91,782500,"AERI","NASDAQ"
2019-06-24,30.81,31.53,30.04,30.2,351700,"AERI","NASDAQ"
2019-06-25,30.23,31.06,29.3605,29.53,545600,"AERI","NASDAQ"
2019-06-26,29.59,30.09,28.84,28.97,952900,"AERI","NASDAQ"
2019-06-27,29.11,29.43,28.81,29.03,1122400,"AERI","NASDAQ"
2019-06-28,29.16,30.14,29.16,29.55,1656500,"AERI","NASDAQ"
2019-07-01,30.3,30.65,27.88,28,810400,"AERI","NASDAQ"
2019-07-02,27.93,28.06,26.39,26.69,1324700,"AERI","NASDAQ"
2019-07-03,26.75,26.76,26.3307,26.71,563000,"AERI","NASDAQ"
2019-07-05,26.61,26.68,25.59,25.96,641300,"AERI","NASDAQ"
2019-07-08,25.82,26.15,25.29,25.5,622500,"AERI","NASDAQ"
2019-07-09,25.4489,26.17,25.29,26,781100,"AERI","NASDAQ"
2019-07-10,26,26.165,24.78,25.87,731500,"AERI","NASDAQ"
2019-07-11,25.82,25.82,24.9483,25.05,622200,"AERI","NASDAQ"
2019-07-12,25.02,26.33,25.02,26.17,1212800,"AERI","NASDAQ"
2019-07-15,25.78,26.34,24.81,25.25,1027900,"AERI","NASDAQ"
2019-07-16,25.05,25.135,24.29,24.37,816000,"AERI","NASDAQ"
2019-07-17,24.37,24.4,23.12,24.02,664600,"AERI","NASDAQ"
2019-07-18,23.95,23.95,23.21,23.62,571300,"AERI","NASDAQ"
2019-07-19,23.62,23.775,22.453,23.12,1049100,"AERI","NASDAQ"
2019-07-22,23.25,23.27,22.09,22.41,1168100,"AERI","NASDAQ"
2019-07-23,22.6,22.68,21.78,21.96,944200,"AERI","NASDAQ"
2019-07-24,21.67,23.26,21.47,22.97,1634400,"AERI","NASDAQ"
2019-07-25,22.89,22.9,21.77,22.16,663900,"AERI","NASDAQ"
2019-07-26,22.12,22.96,21.6,22.8,1287600,"AERI","NASDAQ"
2019-07-29,22.78,23.021,21.73,21.93,698700,"AERI","NASDAQ"
2019-07-30,21.65,22.27,21.6492,22.06,629000,"AERI","NASDAQ"
2019-07-31,22.12,22.35,21.1902,21.67,848800,"AERI","NASDAQ"
2019-08-01,21.57,21.92,21.18,21.44,927300,"AERI","NASDAQ"
2019-08-02,21.4,21.7,20.88,21.59,913400,"AERI","NASDAQ"
2019-08-05,21.46,21.625,20.88,21.26,668600,"AERI","NASDAQ"
2019-08-06,21.54,21.99,21.14,21.68,732800,"AERI","NASDAQ"
2019-08-07,21.47,22.29,20.79,21.49,1454300,"AERI","NASDAQ"
2019-08-08,21.05,23.79,20.72,22.92,2946800,"AERI","NASDAQ"
2019-08-09,22.5006,24.08,22.33,23.52,1031300,"AERI","NASDAQ"
2019-08-12,23.37,24.71,22.14,24.21,1385900,"AERI","NASDAQ"
2019-08-13,24.08,25.76,23.82,24.38,1864200,"AERI","NASDAQ"
2019-08-14,23.66,24.22,23.06,23.97,719100,"AERI","NASDAQ"
2019-08-15,24.56,25.19,23.796,24.57,809800,"AERI","NASDAQ"
2019-08-16,24.62,24.99,23.13,23.19,865400,"AERI","NASDAQ"
2019-08-19,23.61,24.27,23.14,23.88,614000,"AERI","NASDAQ"
2019-08-20,23.68,23.87,22.35,22.5,745100,"AERI","NASDAQ"
2019-08-21,22.92,24.376,22.76,24.35,710700,"AERI","NASDAQ"
2019-08-22,24.33,24.605,23.44,23.97,461700,"AERI","NASDAQ"
2019-08-23,23.88,24.38,23.29,23.42,562200,"AERI","NASDAQ"
2019-08-26,23.89,23.98,22.59,22.87,364200,"AERI","NASDAQ"
2019-08-27,23.22,23.615,22.2,22.21,500600,"AERI","NASDAQ"
2019-08-28,22.17,22.41,21.51,21.67,465600,"AERI","NASDAQ"
2019-08-29,21.89,22.045,21.13,21.31,432100,"AERI","NASDAQ"
2019-08-30,21.31,21.77,20.97,21.66,706300,"AERI","NASDAQ"
2019-09-03,21.54,21.97,20.18,20.4,752000,"AERI","NASDAQ"
2019-09-04,19.3,19.5,18.07,18.5,3593000,"AERI","NASDAQ"
2019-09-05,18.55,18.78,18.02,18.41,3846400,"AERI","NASDAQ"
2019-09-06,18.55,19.08,18.49,18.82,1673200,"AERI","NASDAQ"
