"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.31,1.98,1.299,1.4,2138500,"AEY","NASDAQ"
2019-05-31,1.47,1.53,1.41,1.434,130700,"AEY","NASDAQ"
2019-06-03,1.41,1.46,1.37,1.43,54800,"AEY","NASDAQ"
2019-06-04,1.48,1.48,1.37,1.425,71000,"AEY","NASDAQ"
2019-06-05,1.385,1.43,1.37,1.38,27500,"AEY","NASDAQ"
2019-06-06,1.398,1.42,1.38,1.38,9900,"AEY","NASDAQ"
2019-06-07,1.38,1.46,1.373,1.44,30300,"AEY","NASDAQ"
2019-06-10,1.43,1.46,1.4,1.41,23900,"AEY","NASDAQ"
2019-06-11,1.42,1.43,1.383,1.43,1200,"AEY","NASDAQ"
2019-06-12,1.42,1.42,1.367,1.38,10200,"AEY","NASDAQ"
2019-06-13,1.35,1.42,1.35,1.396,9000,"AEY","NASDAQ"
2019-06-14,1.4,1.45,1.39,1.44,45100,"AEY","NASDAQ"
2019-06-17,1.38,1.5,1.38,1.45,26800,"AEY","NASDAQ"
2019-06-18,1.48,1.55,1.443,1.51,83300,"AEY","NASDAQ"
2019-06-19,1.49,1.53,1.448,1.52,65800,"AEY","NASDAQ"
2019-06-20,1.53,1.66,1.513,1.6,136500,"AEY","NASDAQ"
2019-06-21,1.6,1.64,1.59,1.62,48100,"AEY","NASDAQ"
2019-06-24,1.61,1.611,1.52,1.61,34200,"AEY","NASDAQ"
2019-06-25,1.48,1.58,1.47,1.58,26700,"AEY","NASDAQ"
2019-06-26,1.57,1.61,1.51,1.55,21500,"AEY","NASDAQ"
2019-06-27,1.56,1.63,1.56,1.62,30500,"AEY","NASDAQ"
2019-06-28,1.62,1.64,1.56,1.58,20500,"AEY","NASDAQ"
2019-07-01,1.58,1.7,1.5729,1.66,89300,"AEY","NASDAQ"
2019-07-02,1.65,1.85,1.572,1.63,339500,"AEY","NASDAQ"
2019-07-03,1.63,1.65,1.59,1.61,13700,"AEY","NASDAQ"
2019-07-05,1.64,1.69,1.6,1.69,24700,"AEY","NASDAQ"
2019-07-08,1.69,1.7,1.63,1.69,32400,"AEY","NASDAQ"
2019-07-09,1.65,1.7,1.62,1.65,36900,"AEY","NASDAQ"
2019-07-10,1.65,1.71,1.61,1.71,32000,"AEY","NASDAQ"
2019-07-11,1.71,1.72,1.63,1.66,37300,"AEY","NASDAQ"
2019-07-12,1.67,1.7,1.63,1.64,67900,"AEY","NASDAQ"
2019-07-15,1.66,1.72,1.64,1.69,17100,"AEY","NASDAQ"
2019-07-16,1.7,1.72,1.67,1.7,59100,"AEY","NASDAQ"
2019-07-17,1.72,1.73,1.69,1.72,11800,"AEY","NASDAQ"
2019-07-18,1.69,1.72,1.6699,1.7,4400,"AEY","NASDAQ"
2019-07-19,1.71,1.72,1.66,1.71,18200,"AEY","NASDAQ"
2019-07-22,1.65,1.7101,1.65,1.7,14700,"AEY","NASDAQ"
2019-07-23,1.72,1.75,1.69,1.75,72200,"AEY","NASDAQ"
2019-07-24,1.75,1.82,1.75,1.81,85800,"AEY","NASDAQ"
2019-07-25,1.82,1.83,1.73,1.74,27100,"AEY","NASDAQ"
2019-07-26,1.75,1.75,1.7,1.71,38500,"AEY","NASDAQ"
2019-07-29,1.73,1.8,1.72,1.74,23800,"AEY","NASDAQ"
2019-07-30,1.79,1.79,1.73,1.79,6200,"AEY","NASDAQ"
2019-07-31,1.8,1.84,1.7698,1.77,26300,"AEY","NASDAQ"
2019-08-01,1.82,1.83,1.78,1.78,12900,"AEY","NASDAQ"
2019-08-02,1.77,1.8,1.73,1.75,48300,"AEY","NASDAQ"
2019-08-05,1.78,1.78,1.7,1.74,1900,"AEY","NASDAQ"
2019-08-06,1.74,1.78,1.73,1.78,12800,"AEY","NASDAQ"
2019-08-07,1.75,1.81,1.73,1.81,9500,"AEY","NASDAQ"
2019-08-08,1.78,1.8,1.74,1.74,8800,"AEY","NASDAQ"
2019-08-09,1.75,1.753,1.69,1.71,25400,"AEY","NASDAQ"
2019-08-12,1.71,1.73,1.7,1.73,14500,"AEY","NASDAQ"
2019-08-13,1.83,1.8999,1.75,1.88,98600,"AEY","NASDAQ"
2019-08-14,1.87,1.87,1.805,1.825,35400,"AEY","NASDAQ"
2019-08-15,1.83,1.86,1.8,1.82,24800,"AEY","NASDAQ"
2019-08-16,1.8,1.84,1.8,1.83,8000,"AEY","NASDAQ"
2019-08-19,1.82,1.83,1.81,1.83,6500,"AEY","NASDAQ"
2019-08-20,1.85,1.86,1.77,1.85,15500,"AEY","NASDAQ"
2019-08-21,1.83,1.85,1.83,1.85,5400,"AEY","NASDAQ"
2019-08-22,1.84,1.84,1.76,1.77,17900,"AEY","NASDAQ"
2019-08-23,1.82,1.84,1.73,1.79,39500,"AEY","NASDAQ"
2019-08-26,1.8,1.8,1.75,1.76,19400,"AEY","NASDAQ"
2019-08-27,1.76,1.88,1.76,1.76,11800,"AEY","NASDAQ"
2019-08-28,1.75,1.76,1.73,1.74,12100,"AEY","NASDAQ"
2019-08-29,1.71,1.79,1.71,1.75,40300,"AEY","NASDAQ"
2019-08-30,1.74,1.86,1.74,1.8,52900,"AEY","NASDAQ"
2019-09-03,1.8,1.83,1.79,1.79,35100,"AEY","NASDAQ"
2019-09-04,1.78,1.85,1.78,1.81,10300,"AEY","NASDAQ"
2019-09-05,1.86,1.86,1.75,1.81,1500,"AEY","NASDAQ"
2019-09-06,1.78,1.85,1.77,1.77,3200,"AEY","NASDAQ"
2019-09-09,1.78,1.86,1.78,1.83,8400,"AEY","NASDAQ"
2019-09-10,1.81,1.85,1.8,1.84,22900,"AEY","NASDAQ"
2019-09-11,1.83,2.11,1.83,2.05,232400,"AEY","NASDAQ"
2019-09-12,2.08,2.2,2.06,2.06,98200,"AEY","NASDAQ"
2019-09-13,2.1,2.15,2.02,2.1,50200,"AEY","NASDAQ"
2019-09-16,2.12,2.15,2.05,2.09,18900,"AEY","NASDAQ"
2019-09-17,2.14,2.14,1.92,2.07,27300,"AEY","NASDAQ"
2019-09-18,2.08,2.09,2.03,2.04,15900,"AEY","NASDAQ"
2019-09-19,2.07,2.09,1.98,2,46100,"AEY","NASDAQ"
2019-09-20,2.01,2.06,1.97,2.05,22800,"AEY","NASDAQ"
2019-09-23,2.05,2.05,2,2.02,11700,"AEY","NASDAQ"
2019-09-24,2,2.01,1.98,1.98,4300,"AEY","NASDAQ"
2019-09-25,1.98,2.04,1.98,2,9600,"AEY","NASDAQ"
2019-09-26,2,2.04,2,2,4200,"AEY","NASDAQ"
2019-09-27,2,2.01,1.98,1.98,6800,"AEY","NASDAQ"
2019-09-30,2,2.02,1.98,2,3300,"AEY","NASDAQ"
2019-10-01,2,2,1.91,1.96,23700,"AEY","NASDAQ"
2019-10-02,1.97,1.99,1.92,1.92,9700,"AEY","NASDAQ"
2019-10-03,1.95,1.96,1.88,1.9,22400,"AEY","NASDAQ"
2019-10-04,1.9,1.94,1.9,1.93,13200,"AEY","NASDAQ"
2019-10-07,1.91,1.95,1.89,1.92,4000,"AEY","NASDAQ"
2019-10-08,1.89,1.9,1.85,1.89,10000,"AEY","NASDAQ"
2019-10-09,1.87,1.95,1.87,1.93,20400,"AEY","NASDAQ"
2019-10-10,1.95,1.95,1.93,1.93,6300,"AEY","NASDAQ"
2019-10-11,1.93,1.95,1.88,1.94,2700,"AEY","NASDAQ"
2019-10-14,1.93,1.95,1.92,1.92,8100,"AEY","NASDAQ"
2019-10-15,1.9,1.93,1.88,1.89,9900,"AEY","NASDAQ"
2019-10-16,1.9,1.95,1.89,1.94,12700,"AEY","NASDAQ"
2019-10-17,1.95,1.95,1.94,1.95,13800,"AEY","NASDAQ"
2019-10-18,1.92,2.05,1.92,2.04,78950,"AEY","NASDAQ"
