"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.01,3.09,2.97,2.99,856300,"AFMD","NASDAQ"
2019-05-31,2.93,3.14,2.9,3.04,695200,"AFMD","NASDAQ"
2019-06-03,3.03,3.09,2.97,2.99,506200,"AFMD","NASDAQ"
2019-06-04,3.02,3.05,2.94,3,542200,"AFMD","NASDAQ"
2019-06-05,3.03,3.03,2.88,2.9,622500,"AFMD","NASDAQ"
2019-06-06,2.89,2.94,2.55,2.6,1401600,"AFMD","NASDAQ"
2019-06-07,2.57,2.69,2.52,2.62,610300,"AFMD","NASDAQ"
2019-06-10,2.61,3.2,2.61,2.99,1798500,"AFMD","NASDAQ"
2019-06-11,3,3.06,2.86,2.96,734800,"AFMD","NASDAQ"
2019-06-12,2.94,3.135,2.94,3.1,1133300,"AFMD","NASDAQ"
2019-06-13,3.12,3.35,3.09,3.32,1466600,"AFMD","NASDAQ"
2019-06-14,3.3,3.339,3.15,3.19,821900,"AFMD","NASDAQ"
2019-06-17,3.26,3.3,3.13,3.23,779000,"AFMD","NASDAQ"
2019-06-18,3.2,3.32,3.2,3.3,792300,"AFMD","NASDAQ"
2019-06-19,3.33,3.4901,3.28,3.35,1095000,"AFMD","NASDAQ"
2019-06-20,3.38,3.44,3.34,3.38,879800,"AFMD","NASDAQ"
2019-06-21,3.4,3.48,3.38,3.41,885300,"AFMD","NASDAQ"
2019-06-24,3.27,3.28,2.85,2.91,1887200,"AFMD","NASDAQ"
2019-06-25,2.9,2.92,2.64,2.68,1843900,"AFMD","NASDAQ"
2019-06-26,2.71,2.87,2.691,2.75,937200,"AFMD","NASDAQ"
2019-06-27,2.75,2.87,2.73,2.83,944100,"AFMD","NASDAQ"
2019-06-28,2.86,2.9,2.72,2.87,7570800,"AFMD","NASDAQ"
2019-07-01,2.91,3,2.85,2.97,1083700,"AFMD","NASDAQ"
2019-07-02,2.99,2.99,2.87,2.9,990300,"AFMD","NASDAQ"
2019-07-03,2.88,2.96,2.86,2.95,536000,"AFMD","NASDAQ"
2019-07-05,2.95,2.95,2.84,2.91,658700,"AFMD","NASDAQ"
2019-07-08,2.91,2.96,2.77,2.84,903400,"AFMD","NASDAQ"
2019-07-09,2.82,2.855,2.765,2.82,772400,"AFMD","NASDAQ"
2019-07-10,2.82,2.87,2.76,2.84,1029100,"AFMD","NASDAQ"
2019-07-11,2.85,3,2.8199,2.98,938300,"AFMD","NASDAQ"
2019-07-12,3,3.16,2.96,3.13,1238900,"AFMD","NASDAQ"
2019-07-15,3.16,3.19,3.08,3.15,763300,"AFMD","NASDAQ"
