"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.78,2.81,2.59,2.63,932100,"AGEN","NASDAQ"
2019-05-31,2.57,2.64,2.52,2.55,864900,"AGEN","NASDAQ"
2019-06-03,2.53,2.6301,2.525,2.62,737500,"AGEN","NASDAQ"
2019-06-04,2.6499,2.77,2.61,2.77,682900,"AGEN","NASDAQ"
2019-06-05,2.8,2.8,2.68,2.7,651500,"AGEN","NASDAQ"
2019-06-06,2.69,2.7,2.6,2.66,475000,"AGEN","NASDAQ"
2019-06-07,2.68,2.71,2.61,2.7,459500,"AGEN","NASDAQ"
2019-06-10,2.7201,2.79,2.7,2.77,483300,"AGEN","NASDAQ"
2019-06-11,2.77,2.79,2.6,2.66,563000,"AGEN","NASDAQ"
2019-06-12,2.69,2.73,2.623,2.67,435000,"AGEN","NASDAQ"
2019-06-13,2.67,2.75,2.64,2.73,472300,"AGEN","NASDAQ"
2019-06-14,2.73,2.75,2.6597,2.66,462600,"AGEN","NASDAQ"
2019-06-17,2.67,2.92,2.67,2.88,1217400,"AGEN","NASDAQ"
2019-06-18,2.9,2.96,2.88,2.92,746000,"AGEN","NASDAQ"
2019-06-19,2.92,2.96,2.9,2.95,702000,"AGEN","NASDAQ"
2019-06-20,2.95,3.005,2.934,2.98,854100,"AGEN","NASDAQ"
2019-06-21,2.95,3,2.94,3,1287200,"AGEN","NASDAQ"
2019-06-24,3.01,3.06,2.99,3.01,1435800,"AGEN","NASDAQ"
2019-06-25,3.0301,3.1,3,3.04,4587700,"AGEN","NASDAQ"
2019-06-26,3.04,3.08,2.92,2.94,2600400,"AGEN","NASDAQ"
2019-06-27,2.94,3,2.88,2.95,748300,"AGEN","NASDAQ"
2019-06-28,2.97,3.055,2.9251,3,2486200,"AGEN","NASDAQ"
2019-07-01,3,3.03,2.9,2.94,760600,"AGEN","NASDAQ"
2019-07-02,2.91,2.94,2.7402,2.81,978400,"AGEN","NASDAQ"
2019-07-03,2.79,2.8199,2.73,2.77,418900,"AGEN","NASDAQ"
2019-07-05,2.74,2.74,2.6401,2.69,1011500,"AGEN","NASDAQ"
2019-07-08,2.7,2.7398,2.62,2.65,1052200,"AGEN","NASDAQ"
2019-07-09,2.67,2.74,2.61,2.73,1104100,"AGEN","NASDAQ"
2019-07-10,2.75,2.81,2.69,2.73,858400,"AGEN","NASDAQ"
2019-07-11,2.73,2.76,2.67,2.73,673700,"AGEN","NASDAQ"
2019-07-12,2.74,2.74,2.66,2.69,632400,"AGEN","NASDAQ"
2019-07-15,2.69,2.71,2.53,2.54,1138000,"AGEN","NASDAQ"
2019-07-16,2.53,2.59,2.5,2.56,1879600,"AGEN","NASDAQ"
2019-07-17,2.57,2.58,2.46,2.53,974000,"AGEN","NASDAQ"
2019-07-18,2.53,2.55,2.4502,2.53,914600,"AGEN","NASDAQ"
2019-07-19,2.53,2.5899,2.45,2.46,829300,"AGEN","NASDAQ"
2019-07-22,2.46,2.5,2.41,2.44,530300,"AGEN","NASDAQ"
2019-07-23,2.48,2.48,2.3701,2.39,715200,"AGEN","NASDAQ"
2019-07-24,2.4,2.41,2.33,2.4,547600,"AGEN","NASDAQ"
2019-07-25,2.4,2.4,2.28,2.3,834500,"AGEN","NASDAQ"
2019-07-26,2.3,2.41,2.3,2.4,745200,"AGEN","NASDAQ"
2019-07-29,2.41,2.44,2.34,2.43,585700,"AGEN","NASDAQ"
2019-07-30,2.41,2.51,2.3799,2.49,561000,"AGEN","NASDAQ"
2019-07-31,2.48,2.59,2.41,2.41,970400,"AGEN","NASDAQ"
2019-08-01,2.43,2.54,2.43,2.46,726100,"AGEN","NASDAQ"
2019-08-02,2.45,2.47,2.32,2.36,702000,"AGEN","NASDAQ"
2019-08-05,2.28,2.32,2.13,2.17,1146500,"AGEN","NASDAQ"
2019-08-06,2.22,2.35,2.1802,2.34,700100,"AGEN","NASDAQ"
2019-08-07,2.3,2.32,2.1799,2.19,1108400,"AGEN","NASDAQ"
2019-08-08,2.25,2.66,2.24,2.6,2093600,"AGEN","NASDAQ"
2019-08-09,2.57,2.6,2.41,2.58,1013200,"AGEN","NASDAQ"
2019-08-12,2.58,2.73,2.555,2.7,968200,"AGEN","NASDAQ"
2019-08-13,2.67,2.75,2.63,2.73,2091000,"AGEN","NASDAQ"
2019-08-14,2.65,2.78,2.65,2.72,1135400,"AGEN","NASDAQ"
2019-08-15,2.6998,2.78,2.63,2.77,695100,"AGEN","NASDAQ"
2019-08-16,2.79,2.84,2.73,2.83,613000,"AGEN","NASDAQ"
2019-08-19,2.86,2.89,2.83,2.84,711800,"AGEN","NASDAQ"
2019-08-20,2.84,2.89,2.77,2.86,850400,"AGEN","NASDAQ"
2019-08-21,2.89,2.98,2.85,2.95,660600,"AGEN","NASDAQ"
2019-08-22,2.97,3,2.87,2.96,1547000,"AGEN","NASDAQ"
2019-08-23,2.92,2.97,2.79,2.79,822100,"AGEN","NASDAQ"
2019-08-26,2.83,2.86,2.76,2.82,623300,"AGEN","NASDAQ"
2019-08-27,2.84,2.86,2.73,2.77,685100,"AGEN","NASDAQ"
2019-08-28,2.75,2.86,2.75,2.8,514100,"AGEN","NASDAQ"
2019-08-29,2.83,2.9,2.83,2.84,526300,"AGEN","NASDAQ"
2019-08-30,2.85,2.88,2.75,2.88,575200,"AGEN","NASDAQ"
2019-09-03,2.86,2.91,2.81,2.89,598800,"AGEN","NASDAQ"
2019-09-04,2.92,2.94,2.84,2.91,602100,"AGEN","NASDAQ"
2019-09-05,2.94,2.97,2.87,2.95,588300,"AGEN","NASDAQ"
2019-09-06,2.95,3.19,2.94,3.1,1593300,"AGEN","NASDAQ"
2019-09-09,3.12,3.19,3.05,3.14,707500,"AGEN","NASDAQ"
2019-09-10,3.1,3.13,3.02,3.08,846800,"AGEN","NASDAQ"
2019-09-11,3.1,3.14,3.05,3.1,982000,"AGEN","NASDAQ"
2019-09-12,3.1,3.14,3.03,3.07,578000,"AGEN","NASDAQ"
2019-09-13,3.09,3.12,3.02,3.04,566700,"AGEN","NASDAQ"
2019-09-16,3.03,3.07,2.93,2.99,675000,"AGEN","NASDAQ"
2019-09-17,3,3.02,2.93,2.94,393400,"AGEN","NASDAQ"
2019-09-18,2.95,3,2.88,2.97,1123800,"AGEN","NASDAQ"
2019-09-19,2.99,3.07,2.97,3.04,1194400,"AGEN","NASDAQ"
2019-09-20,3.03,3.04,2.93,3.03,981600,"AGEN","NASDAQ"
2019-09-23,3.02,3.04,3.01,3.02,404500,"AGEN","NASDAQ"
2019-09-24,3.04,3.04,2.85,2.87,863000,"AGEN","NASDAQ"
2019-09-25,2.86,2.88,2.79,2.83,802800,"AGEN","NASDAQ"
2019-09-26,2.8,2.84,2.66,2.68,813800,"AGEN","NASDAQ"
2019-09-27,2.68,2.8,2.63,2.66,682900,"AGEN","NASDAQ"
2019-09-30,2.67,2.68,2.57,2.58,741700,"AGEN","NASDAQ"
2019-10-01,2.58,2.63,2.47,2.5,836800,"AGEN","NASDAQ"
2019-10-02,2.47,2.54,2.43,2.52,554700,"AGEN","NASDAQ"
2019-10-03,2.52,2.6,2.5,2.58,537500,"AGEN","NASDAQ"
2019-10-04,2.58,2.64,2.53,2.56,428800,"AGEN","NASDAQ"
2019-10-07,2.56,2.7,2.56,2.65,613900,"AGEN","NASDAQ"
2019-10-08,2.62,2.7,2.58,2.64,803100,"AGEN","NASDAQ"
2019-10-09,2.67,2.74,2.63,2.64,510200,"AGEN","NASDAQ"
2019-10-10,2.64,2.72,2.61,2.61,669100,"AGEN","NASDAQ"
2019-10-11,2.62,2.69,2.59,2.63,605100,"AGEN","NASDAQ"
2019-10-14,2.6,2.73,2.6,2.69,458900,"AGEN","NASDAQ"
2019-10-15,2.67,2.76,2.59,2.64,665500,"AGEN","NASDAQ"
2019-10-16,2.63,2.67,2.57,2.6,513800,"AGEN","NASDAQ"
2019-10-17,2.61,2.72,2.61,2.68,420200,"AGEN","NASDAQ"
2019-10-18,2.66,2.7,2.585,2.62,485983,"AGEN","NASDAQ"
