"times","open","high","low","close","volume","symbol","market"
2019-05-30,14.65,15.08,14.65,15.08,4300,"AGMH","NASDAQ"
2019-05-31,14.59,14.59,14.22,14.26,3300,"AGMH","NASDAQ"
2019-06-03,14.4,14.4,14.115,14.25,12100,"AGMH","NASDAQ"
2019-06-04,13.92,14.21,12.895,14.21,14000,"AGMH","NASDAQ"
2019-06-05,13.7794,13.82,13.48,13.82,7900,"AGMH","NASDAQ"
2019-06-06,13.6,13.6215,12.46,13.14,8800,"AGMH","NASDAQ"
2019-06-07,13,15.15,13,15.15,75100,"AGMH","NASDAQ"
2019-06-10,15.35,15.35,15.35,15.35,1700,"AGMH","NASDAQ"
2019-06-11,15.36,15.36,13.9,14.15,9500,"AGMH","NASDAQ"
2019-06-12,14.08,14.4,13.64,14.29,17800,"AGMH","NASDAQ"
2019-06-13,14.25,14.25,13.605,13.698,12900,"AGMH","NASDAQ"
2019-06-14,13.6,13.6,13,13.57,18000,"AGMH","NASDAQ"
2019-06-17,13.3,16.48,12.93,16.45,67800,"AGMH","NASDAQ"
2019-06-18,16.45,18.79,14.94,17.82,9200,"AGMH","NASDAQ"
2019-06-19,17.98,17.98,15.8,16.28,3900,"AGMH","NASDAQ"
2019-06-20,16,16,15.5601,15.74,5300,"AGMH","NASDAQ"
2019-06-21,15.3,17.49,14.8502,17.49,18100,"AGMH","NASDAQ"
2019-06-24,15.78,19.405,15.78,19.1,3100,"AGMH","NASDAQ"
2019-06-25,19.31,19.31,16.052,16.303,3400,"AGMH","NASDAQ"
2019-06-26,15.95,16.15,15.53,16.144,7700,"AGMH","NASDAQ"
2019-06-27,15.6,17.9,14.9,17.9,5500,"AGMH","NASDAQ"
2019-06-28,17.89,19.2,17.01,19.2,3400,"AGMH","NASDAQ"
2019-07-01,19.2,19.4,17.05,17.05,5500,"AGMH","NASDAQ"
2019-07-02,16.2,17.33,15.84,16.47,8600,"AGMH","NASDAQ"
2019-07-03,16.1,17.19,16,17.18,46500,"AGMH","NASDAQ"
2019-07-05,17.51,18.4,17.51,17.75,4000,"AGMH","NASDAQ"
2019-07-08,17,18.1997,17,17.91,2500,"AGMH","NASDAQ"
2019-07-09,17.79,17.79,16.8,16.934,3100,"AGMH","NASDAQ"
2019-07-10,16.86,17.6,16.86,17.6,1900,"AGMH","NASDAQ"
2019-07-11,17.2,17.2,16.3,16.68,8900,"AGMH","NASDAQ"
2019-07-12,16.5,16.5,15.915,16.16,12000,"AGMH","NASDAQ"
2019-07-15,15.95,18.73,15.895,17.65,72900,"AGMH","NASDAQ"
2019-07-16,17.65,17.65,16.85,16.85,10000,"AGMH","NASDAQ"
2019-07-17,16.8,17.86,16.55,17.5,50700,"AGMH","NASDAQ"
2019-07-18,17,17,16.75,16.85,9300,"AGMH","NASDAQ"
2019-07-19,16.76,17.66,16.7603,16.9,9600,"AGMH","NASDAQ"
2019-07-22,16.99,17.73,16.99,17.73,1400,"AGMH","NASDAQ"
2019-07-23,17.87,18.73,17.29,18.13,4500,"AGMH","NASDAQ"
2019-07-24,17.955,18.13,17.95,17.98,1700,"AGMH","NASDAQ"
2019-07-25,17.31,17.35,16.5,16.9,2700,"AGMH","NASDAQ"
2019-07-26,16.85,16.9,16.79,16.9,3100,"AGMH","NASDAQ"
2019-07-29,16.837,16.837,16.72,16.72,200,"AGMH","NASDAQ"
