"times","open","high","low","close","volume","symbol","market"
2019-05-30,16.77,16.81,16.475,16.52,5790100,"AGNC","NASDAQ"
2019-05-31,16.4506,16.46,16.19,16.4,6642300,"AGNC","NASDAQ"
2019-06-03,16.44,16.79,16.42,16.76,5192900,"AGNC","NASDAQ"
2019-06-04,16.77,16.97,16.71,16.95,7302800,"AGNC","NASDAQ"
2019-06-05,16.95,16.975,16.75,16.83,3802600,"AGNC","NASDAQ"
2019-06-06,16.87,16.9,16.7,16.89,3879000,"AGNC","NASDAQ"
2019-06-07,16.94,16.94,16.71,16.75,2783000,"AGNC","NASDAQ"
2019-06-10,16.75,16.88,16.615,16.79,4686700,"AGNC","NASDAQ"
2019-06-11,16.85,16.87,16.66,16.7,2921400,"AGNC","NASDAQ"
2019-06-12,16.72,16.83,16.7,16.75,3060900,"AGNC","NASDAQ"
2019-06-13,16.78,16.915,16.76,16.88,5389500,"AGNC","NASDAQ"
2019-06-14,16.86,16.9287,16.85,16.88,3220700,"AGNC","NASDAQ"
2019-06-17,16.92,16.9706,16.77,16.79,5564600,"AGNC","NASDAQ"
2019-06-18,16.82,16.945,16.71,16.74,7519100,"AGNC","NASDAQ"
2019-06-19,16.75,16.94,16.705,16.92,5295900,"AGNC","NASDAQ"
2019-06-20,16.92,16.935,16.76,16.84,7489500,"AGNC","NASDAQ"
2019-06-21,16.83,16.867,16.755,16.82,9171600,"AGNC","NASDAQ"
2019-06-24,16.81,16.91,16.71,16.83,5232200,"AGNC","NASDAQ"
2019-06-25,16.85,16.99,16.785,16.86,5824000,"AGNC","NASDAQ"
2019-06-26,16.9,16.925,16.76,16.77,5571700,"AGNC","NASDAQ"
2019-06-27,16.69,16.75,16.57,16.69,5765200,"AGNC","NASDAQ"
2019-06-28,16.77,16.84,16.7,16.82,6047000,"AGNC","NASDAQ"
2019-07-01,16.87,16.88,16.74,16.77,4569400,"AGNC","NASDAQ"
2019-07-02,16.75,16.81,16.72,16.78,3459000,"AGNC","NASDAQ"
2019-07-03,16.77,16.95,16.7487,16.86,2975100,"AGNC","NASDAQ"
2019-07-05,16.86,17,16.747,17,3547300,"AGNC","NASDAQ"
2019-07-08,16.9901,17.1,16.97,17.02,3537600,"AGNC","NASDAQ"
2019-07-09,17,17.0818,16.99,17.07,3561500,"AGNC","NASDAQ"
2019-07-10,17.1,17.16,17.06,17.13,3322000,"AGNC","NASDAQ"
2019-07-11,17.16,17.24,17.08,17.15,5245000,"AGNC","NASDAQ"
2019-07-12,17.16,17.2902,17.16,17.27,3055700,"AGNC","NASDAQ"
2019-07-15,17.3,17.37,17.29,17.34,3358300,"AGNC","NASDAQ"
2019-07-16,17.38,17.41,17.31,17.37,4331000,"AGNC","NASDAQ"
2019-07-17,17.38,17.41,17.31,17.37,3599800,"AGNC","NASDAQ"
2019-07-18,17.37,17.53,17.35,17.45,5038200,"AGNC","NASDAQ"
2019-07-19,17.45,17.47,17.32,17.34,4638300,"AGNC","NASDAQ"
2019-07-22,17.4,17.59,17.36,17.51,4238200,"AGNC","NASDAQ"
2019-07-23,17.51,17.6,17.47,17.54,4069800,"AGNC","NASDAQ"
2019-07-24,17.5194,17.56,17.41,17.44,5361800,"AGNC","NASDAQ"
2019-07-25,17.36,17.4995,17.16,17.2,9278800,"AGNC","NASDAQ"
2019-07-26,17.17,17.45,17.14,17.41,4959300,"AGNC","NASDAQ"
2019-07-29,17.43,17.49,17.4,17.44,3323700,"AGNC","NASDAQ"
2019-07-30,17.3,17.35,17.25,17.3,3250800,"AGNC","NASDAQ"
2019-07-31,17.28,17.37,17.11,17.14,5673100,"AGNC","NASDAQ"
