"times","open","high","low","close","volume","symbol","market"
2019-05-30,25.58,25.68,25.58,25.67,6300,"AGNCB","NASDAQ"
2019-05-31,25.67,25.7906,25.567,25.79,32000,"AGNCB","NASDAQ"
2019-06-03,25.75,25.85,25.75,25.75,10200,"AGNCB","NASDAQ"
2019-06-04,25.8,26,25.736,25.9,14800,"AGNCB","NASDAQ"
2019-06-05,25.833,25.9,25.833,25.9,3200,"AGNCB","NASDAQ"
2019-06-06,25.88,25.88,25.758,25.87,8700,"AGNCB","NASDAQ"
2019-06-07,25.863,25.9,25.863,25.89,5200,"AGNCB","NASDAQ"
2019-06-10,25.88,25.989,25.87,25.98,10200,"AGNCB","NASDAQ"
2019-06-11,25.99,25.99,25.89,25.91,7000,"AGNCB","NASDAQ"
2019-06-12,25.909,26,25.87,25.99,12700,"AGNCB","NASDAQ"
2019-06-13,26,26,25.9,25.92,12300,"AGNCB","NASDAQ"
2019-06-14,25.98,26,25.92,25.97,16800,"AGNCB","NASDAQ"
2019-06-17,25.99,25.99,25.82,25.82,38500,"AGNCB","NASDAQ"
2019-06-18,25.84,25.98,25.81,25.82,25400,"AGNCB","NASDAQ"
2019-06-19,25.84,25.915,25.84,25.84,8200,"AGNCB","NASDAQ"
2019-06-20,25.96,25.98,25.81,25.83,10300,"AGNCB","NASDAQ"
2019-06-21,25.96,25.96,25.81,25.94,11100,"AGNCB","NASDAQ"
2019-06-24,25.9017,25.92,25.82,25.82,28500,"AGNCB","NASDAQ"
2019-06-25,25.89,25.89,25.81,25.86,18000,"AGNCB","NASDAQ"
2019-06-26,25.84,25.9376,25.74,25.93,20200,"AGNCB","NASDAQ"
2019-06-27,25.89,25.9337,25.85,25.88,13800,"AGNCB","NASDAQ"
2019-06-28,25.67,25.67,25.35,25.58,63200,"AGNCB","NASDAQ"
2019-07-01,25.57,25.57,25.38,25.45,6700,"AGNCB","NASDAQ"
2019-07-02,25.45,25.5603,25.41,25.49,24100,"AGNCB","NASDAQ"
2019-07-03,25.54,25.56,25.506,25.544,12300,"AGNCB","NASDAQ"
2019-07-05,25.524,25.57,25.501,25.543,11400,"AGNCB","NASDAQ"
2019-07-08,25.55,25.65,25.46,25.46,17000,"AGNCB","NASDAQ"
2019-07-09,25.5801,25.58,25.46,25.47,7500,"AGNCB","NASDAQ"
2019-07-10,25.59,25.59,25.55,25.59,4400,"AGNCB","NASDAQ"
2019-07-11,25.59,25.64,25.51,25.51,16800,"AGNCB","NASDAQ"
2019-07-12,25.64,25.64,25.53,25.59,5500,"AGNCB","NASDAQ"
2019-07-15,25.59,25.62,25.569,25.62,9300,"AGNCB","NASDAQ"
2019-07-16,25.62,25.76,25.611,25.76,18700,"AGNCB","NASDAQ"
2019-07-17,25.78,25.8,25.77,25.8,9200,"AGNCB","NASDAQ"
