"times","open","high","low","close","volume","symbol","market"
2019-05-30,41.91,41.91,41.81,41.81,5400,"AGND","NASDAQ"
2019-05-31,41.65,41.67,41.6523,41.67,500,"AGND","NASDAQ"
2019-06-03,41.64,41.64,41.48,41.48,30600,"AGND","NASDAQ"
2019-06-04,41.68,41.68,41.68,41.68,100,"AGND","NASDAQ"
2019-06-05,41.7,41.79,41.7,41.79,1400,"AGND","NASDAQ"
2019-06-06,41.75,41.75,41.7,41.72,1700,"AGND","NASDAQ"
2019-06-07,41.6169,41.72,41.62,41.72,1200,"AGND","NASDAQ"
2019-06-10,41.84,41.87,41.73,41.73,38900,"AGND","NASDAQ"
2019-06-11,41.78,41.84,41.78,41.81,1100,"AGND","NASDAQ"
2019-06-12,41.77,41.84,41.77,41.8,1600,"AGND","NASDAQ"
2019-06-13,41.72,41.72,41.68,41.68,300,"AGND","NASDAQ"
2019-06-14,41.76,41.7664,41.66,41.76,5600,"AGND","NASDAQ"
2019-06-17,41.76,41.7625,41.76,41.76,0,"AGND","NASDAQ"
2019-06-18,41.62,41.66,41.61,41.64,1900,"AGND","NASDAQ"
2019-06-19,41.71,41.71,41.6,41.7,10500,"AGND","NASDAQ"
2019-06-20,41.62,41.62,41.59,41.59,1300,"AGND","NASDAQ"
2019-06-21,41.83,41.83,41.83,41.83,800,"AGND","NASDAQ"
2019-06-24,41.68,41.6794,41.63,41.67,1800,"AGND","NASDAQ"
2019-06-25,41.59,41.59,41.53,41.55,1200,"AGND","NASDAQ"
2019-06-26,41.59,41.59,41.58,41.59,28600,"AGND","NASDAQ"
2019-06-27,41.61,41.64,41.61,41.64,1700,"AGND","NASDAQ"
2019-06-28,41.64,41.69,41.62,41.63,3600,"AGND","NASDAQ"
2019-07-01,41.68,41.72,41.63,41.72,1700,"AGND","NASDAQ"
2019-07-02,41.7,41.7,41.66,41.66,1400,"AGND","NASDAQ"
2019-07-03,41.58,41.61,41.5399,41.61,2600,"AGND","NASDAQ"
2019-07-05,41.71,41.87,41.71,41.84,2900,"AGND","NASDAQ"
2019-07-08,41.77,41.8,41.74,41.74,4600,"AGND","NASDAQ"
2019-07-09,41.82,41.8207,41.81,41.81,5800,"AGND","NASDAQ"
2019-07-10,41.8286,41.83,41.74,41.81,1500,"AGND","NASDAQ"
2019-07-11,41.96,42.0425,41.96,41.97,2000,"AGND","NASDAQ"
2019-07-12,41.9698,41.97,41.97,41.97,400,"AGND","NASDAQ"
2019-07-15,41.98,41.98,41.98,41.98,6500,"AGND","NASDAQ"
2019-07-16,42.01,42.06,42.01,42.05,800,"AGND","NASDAQ"
2019-07-17,42.01,42.01,41.92,41.99,4100,"AGND","NASDAQ"
2019-07-18,41.89,41.89,41.89,41.89,100,"AGND","NASDAQ"
2019-07-19,41.91,41.9205,41.88,41.92,700,"AGND","NASDAQ"
2019-07-22,41.8184,41.84,41.82,41.84,3400,"AGND","NASDAQ"
2019-07-23,41.94,41.95,41.92,41.92,4200,"AGND","NASDAQ"
2019-07-24,41.87,41.87,41.87,41.87,300,"AGND","NASDAQ"
2019-07-25,41.95,42.03,41.87,41.93,4300,"AGND","NASDAQ"
2019-07-26,41.92,41.98,41.9,41.95,1800,"AGND","NASDAQ"
2019-07-29,41.91,41.91,41.9075,41.91,400,"AGND","NASDAQ"
2019-07-30,41.93,41.97,41.9,41.97,2400,"AGND","NASDAQ"
2019-07-31,41.85,41.85,41.77,41.77,500,"AGND","NASDAQ"
2019-08-01,41.6,41.68,41.44,41.44,28500,"AGND","NASDAQ"
2019-08-02,41.485,41.485,41.38,41.38,1000,"AGND","NASDAQ"
2019-08-05,41.47,41.47,41.47,41.47,0,"AGND","NASDAQ"
2019-08-06,41.01,41.07,40.99,41.03,1700,"AGND","NASDAQ"
2019-08-07,40.94,40.94,40.82,40.93,4600,"AGND","NASDAQ"
2019-08-08,40.859,40.94,40.86,40.884,500,"AGND","NASDAQ"
2019-08-09,40.87,40.87,40.83,40.83,600,"AGND","NASDAQ"
2019-08-12,40.845,40.845,40.845,40.845,100,"AGND","NASDAQ"
2019-08-13,40.715,40.765,40.71,40.72,2700,"AGND","NASDAQ"
2019-08-14,40.51,40.65,40.42,40.44,5600,"AGND","NASDAQ"
2019-08-15,40.3,40.369,40.3,40.37,1800,"AGND","NASDAQ"
2019-08-16,40.42,40.42,40.4,40.42,1100,"AGND","NASDAQ"
2019-08-19,40.63,40.71,40.51,40.67,1800,"AGND","NASDAQ"
2019-08-20,40.36,40.36,40.36,40.36,200,"AGND","NASDAQ"
2019-08-21,40.54,40.6,40.54,40.6,1400,"AGND","NASDAQ"
2019-08-22,40.63,40.63,40.63,40.63,500,"AGND","NASDAQ"
2019-08-23,40.55,40.55,40.44,40.44,1900,"AGND","NASDAQ"
2019-08-26,40.5,40.51,40.39,40.39,600,"AGND","NASDAQ"
2019-08-27,40.39,40.41,40.27,40.32,2700,"AGND","NASDAQ"
2019-08-28,40.25,40.3,40.23,40.23,11600,"AGND","NASDAQ"
2019-08-29,40.39,40.43,40.28,40.38,4400,"AGND","NASDAQ"
2019-08-30,40.43,40.46,40.43,40.46,400,"AGND","NASDAQ"
2019-09-03,40.4,40.4,40.29,40.29,700,"AGND","NASDAQ"
