"times","open","high","low","close","volume","symbol","market"
2019-05-30,47.57,47.59,47.55,47.56,7700,"AGZD","NASDAQ"
2019-05-31,47.41,47.57,47.4138,47.53,42600,"AGZD","NASDAQ"
2019-06-03,47.53,47.54,47.46,47.5,8800,"AGZD","NASDAQ"
2019-06-04,47.48,47.55,47.48,47.5,16800,"AGZD","NASDAQ"
2019-06-05,47.51,47.51,47.41,47.41,1100,"AGZD","NASDAQ"
2019-06-06,47.58,47.58,47.49,47.5,1500,"AGZD","NASDAQ"
2019-06-07,47.48,47.56,47.48,47.55,4500,"AGZD","NASDAQ"
2019-06-10,47.56,47.56,47.56,47.56,1200,"AGZD","NASDAQ"
2019-06-11,47.57,47.66,47.5,47.52,15600,"AGZD","NASDAQ"
2019-06-12,47.53,47.61,47.5,47.58,4000,"AGZD","NASDAQ"
2019-06-13,47.54,47.6,47.54,47.57,2100,"AGZD","NASDAQ"
2019-06-14,47.52,47.63,47.52,47.6,9300,"AGZD","NASDAQ"
2019-06-17,47.58,47.58,47.58,47.58,700,"AGZD","NASDAQ"
2019-06-18,47.6,47.6,47.42,47.58,32900,"AGZD","NASDAQ"
2019-06-19,47.6,47.63,47.57,47.61,13900,"AGZD","NASDAQ"
2019-06-20,47.63,47.71,47.58,47.69,9600,"AGZD","NASDAQ"
2019-06-21,47.68,47.76,47.6,47.76,5400,"AGZD","NASDAQ"
2019-06-24,47.48,47.5882,47.48,47.59,2800,"AGZD","NASDAQ"
2019-06-25,47.57,47.64,47.55,47.57,3500,"AGZD","NASDAQ"
2019-06-26,47.6067,47.65,47.54,47.56,49800,"AGZD","NASDAQ"
2019-06-27,47.57,47.68,47.52,47.58,8900,"AGZD","NASDAQ"
2019-06-28,47.56,47.74,47.56,47.65,2600,"AGZD","NASDAQ"
2019-07-01,47.6487,47.7,47.59,47.68,7000,"AGZD","NASDAQ"
2019-07-02,47.73,47.78,47.66,47.78,5500,"AGZD","NASDAQ"
2019-07-03,47.7,47.76,47.7,47.74,2100,"AGZD","NASDAQ"
2019-07-05,47.81,47.88,47.8,47.88,3100,"AGZD","NASDAQ"
2019-07-08,47.83,47.89,47.806,47.81,8100,"AGZD","NASDAQ"
2019-07-09,47.81,47.87,47.75,47.82,6200,"AGZD","NASDAQ"
2019-07-10,47.83,47.86,47.79,47.82,7200,"AGZD","NASDAQ"
2019-07-11,47.83,47.86,47.79,47.84,7400,"AGZD","NASDAQ"
2019-07-12,47.79,47.83,47.79,47.81,16000,"AGZD","NASDAQ"
2019-07-15,47.84,47.87,47.75,47.83,10300,"AGZD","NASDAQ"
2019-07-16,47.86,47.87,47.81,47.84,7400,"AGZD","NASDAQ"
2019-07-17,47.8,47.84,47.8,47.83,5500,"AGZD","NASDAQ"
2019-07-18,47.82,47.88,47.82,47.82,6600,"AGZD","NASDAQ"
2019-07-19,47.9,47.9,47.79,47.82,14200,"AGZD","NASDAQ"
2019-07-22,47.85,47.91,47.82,47.89,3800,"AGZD","NASDAQ"
2019-07-23,47.77,47.82,47.73,47.77,4500,"AGZD","NASDAQ"
2019-07-24,47.92,47.92,47.75,47.82,4600,"AGZD","NASDAQ"
2019-07-25,47.79,47.89,47.79,47.82,3600,"AGZD","NASDAQ"
