"times","open","high","low","close","volume","symbol","market"
2019-05-30,57.06,57.29,56.99,57.17,42200,"AIA","NASDAQ"
2019-05-31,56.72,57.139,56.72,57.05,27800,"AIA","NASDAQ"
2019-06-03,57.6319,57.86,57.5,57.78,135700,"AIA","NASDAQ"
2019-06-04,57.28,57.74,57.24,57.74,27600,"AIA","NASDAQ"
2019-06-05,57.747,57.74,57.28,57.43,48500,"AIA","NASDAQ"
2019-06-06,57.35,57.59,57.32,57.45,30500,"AIA","NASDAQ"
2019-06-07,57.85,58.45,57.85,58,33500,"AIA","NASDAQ"
2019-06-10,58.72,58.99,58.54,58.71,23200,"AIA","NASDAQ"
2019-06-11,59.34,59.36,59.01,59.08,177100,"AIA","NASDAQ"
2019-06-12,58.51,58.56,58.13,58.13,33400,"AIA","NASDAQ"
2019-06-13,58.22,58.2802,57.94,58.01,24300,"AIA","NASDAQ"
2019-06-14,57.87,57.87,57.49,57.49,63500,"AIA","NASDAQ"
2019-06-17,57.6,57.63,57.44,57.54,103100,"AIA","NASDAQ"
2019-06-18,58.33,59.28,58.3336,59.2,33500,"AIA","NASDAQ"
2019-06-19,59.63,60.17,59.5,60.01,59600,"AIA","NASDAQ"
2019-06-20,61.17,61.17,60.7,60.86,75800,"AIA","NASDAQ"
2019-06-21,60.65,60.85,60.6527,60.75,49900,"AIA","NASDAQ"
2019-06-24,60.8414,60.88,60.67,60.74,24300,"AIA","NASDAQ"
2019-06-25,60.43,60.43,59.96,60.05,30300,"AIA","NASDAQ"
2019-06-26,60.57,60.84,60.5,60.62,163700,"AIA","NASDAQ"
2019-06-27,61.19,61.28,61.0623,61.25,32700,"AIA","NASDAQ"
2019-06-28,61.38,61.38,61.15,61.26,16600,"AIA","NASDAQ"
2019-07-01,62.26,62.5,61.81,62.12,39600,"AIA","NASDAQ"
2019-07-02,61.98,62.02,61.7,61.82,199300,"AIA","NASDAQ"
2019-07-03,61.37,61.61,61.31,61.61,23200,"AIA","NASDAQ"
2019-07-05,60.95,60.97,60.76,60.96,15700,"AIA","NASDAQ"
2019-07-08,60.3,60.38,60.19,60.22,45000,"AIA","NASDAQ"
2019-07-09,59.9,60.32,59.9,60.29,25500,"AIA","NASDAQ"
2019-07-10,60.86,61.04,60.69,60.72,27100,"AIA","NASDAQ"
2019-07-11,60.97,61,60.7,60.8,18000,"AIA","NASDAQ"
2019-07-12,60.95,61.08,60.8,61.08,23400,"AIA","NASDAQ"
2019-07-15,61.1,61.26,61.1,61.25,9800,"AIA","NASDAQ"
2019-07-16,61.35,61.39,61.08,61.08,30000,"AIA","NASDAQ"
2019-07-17,61.0875,61.1,60.84,60.84,15200,"AIA","NASDAQ"
2019-07-18,61.01,61.35,60.95,61.31,21800,"AIA","NASDAQ"
2019-07-19,61.85,61.88,61.49,61.59,42200,"AIA","NASDAQ"
2019-07-22,61.59,61.7,61.42,61.42,35100,"AIA","NASDAQ"
2019-07-23,61.6,61.68,61.46,61.64,15900,"AIA","NASDAQ"
2019-07-24,61.61,61.75,61.5021,61.66,19200,"AIA","NASDAQ"
2019-07-25,61.77,61.77,61.3062,61.31,15100,"AIA","NASDAQ"
2019-07-26,61.54,61.54,61.35,61.35,23500,"AIA","NASDAQ"
2019-07-29,61.05,61.08,60.85,60.95,10500,"AIA","NASDAQ"
2019-07-30,60.6,60.7,60.56,60.7,19300,"AIA","NASDAQ"
2019-07-31,60.32,60.39,59.27,59.69,42000,"AIA","NASDAQ"
2019-08-01,59.85,60.27,58.54,58.54,39500,"AIA","NASDAQ"
2019-08-02,58.16,58.33,57.76,57.89,24500,"AIA","NASDAQ"
2019-08-05,56.4971,56.49,55.25,55.4,48200,"AIA","NASDAQ"
2019-08-06,56.4604,56.65,55.96,56.18,37800,"AIA","NASDAQ"
2019-08-07,55.82,56.62,55.68,56.59,22100,"AIA","NASDAQ"
2019-08-08,56.74,57.15,56.65,57.15,16700,"AIA","NASDAQ"
2019-08-09,56.65,56.65,56.14,56.4,10100,"AIA","NASDAQ"
2019-08-12,55.75,55.91,55.57,55.6,36500,"AIA","NASDAQ"
2019-08-13,55.37,56.9,55.23,56.23,150800,"AIA","NASDAQ"
2019-08-14,55.1103,55.17,54.66,54.7,171300,"AIA","NASDAQ"
2019-08-15,55.4,55.54,55.21,55.32,35000,"AIA","NASDAQ"
2019-08-16,56.02,56.35,56.02,56.18,63400,"AIA","NASDAQ"
2019-08-19,57.25,57.25,56.77,56.83,45900,"AIA","NASDAQ"
2019-08-20,57.02,57.1,56.83,56.84,35400,"AIA","NASDAQ"
2019-08-21,57.34,57.35,57.17,57.22,25900,"AIA","NASDAQ"
2019-08-22,56.61,56.72,56.34,56.45,22000,"AIA","NASDAQ"
2019-08-23,56.41,56.68,55.45,55.55,30800,"AIA","NASDAQ"
2019-08-26,56.11,56.17,55.88,55.96,70500,"AIA","NASDAQ"
2019-08-27,56.29,56.37,56.03,56.1,17500,"AIA","NASDAQ"
2019-08-28,56,56.23,55.82,56.15,34300,"AIA","NASDAQ"
2019-08-29,56.44,56.59,56.37,56.55,20200,"AIA","NASDAQ"
2019-08-30,56.8,56.86,56.43,56.59,20200,"AIA","NASDAQ"
2019-09-03,56.2,56.38,56.13,56.32,34200,"AIA","NASDAQ"
2019-09-04,57.67,57.99,57.67,57.93,49300,"AIA","NASDAQ"
2019-09-05,58.48,58.8,58.48,58.51,35100,"AIA","NASDAQ"
2019-09-06,58.89,59.01,58.87,58.9,10200,"AIA","NASDAQ"
2019-09-09,59.15,59.27,59.02,59.16,24400,"AIA","NASDAQ"
2019-09-10,59.11,59.3,59.07,59.3,7900,"AIA","NASDAQ"
2019-09-11,59.61,59.84,59.58,59.81,26600,"AIA","NASDAQ"
2019-09-12,60.06,60.48,59.93,60.23,56400,"AIA","NASDAQ"
2019-09-13,60.56,60.72,60.51,60.59,14800,"AIA","NASDAQ"
2019-09-16,59.92,60.02,59.78,59.82,10300,"AIA","NASDAQ"
2019-09-17,59.36,59.76,59.36,59.75,15400,"AIA","NASDAQ"
2019-09-18,59.59,59.67,59.27,59.57,16400,"AIA","NASDAQ"
2019-09-19,59.44,59.66,59.36,59.42,7600,"AIA","NASDAQ"
2019-09-20,59.63,59.63,59,59,11400,"AIA","NASDAQ"
2019-09-23,58.88,59.19,58.88,59.14,5000,"AIA","NASDAQ"
2019-09-24,59.23,59.23,58.76,58.76,17400,"AIA","NASDAQ"
2019-09-25,58.39,58.79,58.24,58.72,50200,"AIA","NASDAQ"
2019-09-26,58.66,58.77,58.49,58.77,33200,"AIA","NASDAQ"
2019-09-27,58.68,58.68,57.81,58.02,29100,"AIA","NASDAQ"
2019-09-30,58.63,58.94,58.62,58.63,20300,"AIA","NASDAQ"
2019-10-01,58.86,58.86,58.4,58.4,51400,"AIA","NASDAQ"
2019-10-02,58.09,58.1,57.8,57.94,71200,"AIA","NASDAQ"
2019-10-03,58.51,58.75,58.38,58.71,53700,"AIA","NASDAQ"
2019-10-04,58.41,58.8,58.28,58.69,36400,"AIA","NASDAQ"
2019-10-07,58.35,58.67,58.35,58.49,26000,"AIA","NASDAQ"
2019-10-08,58.56,58.64,58.38,58.38,18600,"AIA","NASDAQ"
2019-10-09,58.64,58.87,58.61,58.63,25200,"AIA","NASDAQ"
2019-10-10,58.77,59.38,58.77,59.18,10200,"AIA","NASDAQ"
2019-10-11,60.08,60.58,60.08,60.11,145800,"AIA","NASDAQ"
2019-10-14,60.03,60.27,59.95,59.96,8400,"AIA","NASDAQ"
2019-10-15,60.12,60.71,60.12,60.59,36700,"AIA","NASDAQ"
2019-10-16,60.58,60.8,60.58,60.67,32300,"AIA","NASDAQ"
2019-10-17,61.1,61.14,60.83,60.88,32900,"AIA","NASDAQ"
2019-10-18,60.59,60.59,60.23,60.24,45476,"AIA","NASDAQ"
