"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.71,5,4.62,4.88,218300,"AIHS","NASDAQ"
2019-05-31,4.8,5.5,4.72,5.47,277700,"AIHS","NASDAQ"
2019-06-03,5.43,5.46,4.82,5,268000,"AIHS","NASDAQ"
2019-06-04,5.16,5.16,4.26,4.26,156200,"AIHS","NASDAQ"
2019-06-05,4.22,4.42,3.91,4.1,114300,"AIHS","NASDAQ"
2019-06-06,4.05,4.27,3.9399,4.04,131000,"AIHS","NASDAQ"
2019-06-07,4.55,4.55,4.0308,4.39,159300,"AIHS","NASDAQ"
2019-06-10,4.4,4.61,4.24,4.55,130800,"AIHS","NASDAQ"
2019-06-11,4.54,4.63,4.35,4.42,93100,"AIHS","NASDAQ"
2019-06-12,4.43,4.45,4.3,4.35,49900,"AIHS","NASDAQ"
2019-06-13,4.42,4.86,4.3,4.84,108400,"AIHS","NASDAQ"
2019-06-14,4.66,4.688,4.53,4.55,32700,"AIHS","NASDAQ"
2019-06-17,4.8,4.8,4.54,4.564,33700,"AIHS","NASDAQ"
2019-06-18,4.46,4.5,2.5,2.64,465000,"AIHS","NASDAQ"
2019-06-19,2.7,2.7,2.56,2.62,125300,"AIHS","NASDAQ"
2019-06-20,2.7,2.96,2.7,2.8,173600,"AIHS","NASDAQ"
2019-06-21,2.81,3.08,2.72,3,70400,"AIHS","NASDAQ"
2019-06-24,3,3.08,2.81,2.86,34400,"AIHS","NASDAQ"
2019-06-25,2.89,2.97,2.79,2.81,21100,"AIHS","NASDAQ"
2019-06-26,2.73,2.806,2.7,2.7,27800,"AIHS","NASDAQ"
2019-06-27,2.7,2.81,2.7,2.73,24000,"AIHS","NASDAQ"
2019-06-28,2.71,2.79,2.71,2.79,4600,"AIHS","NASDAQ"
2019-07-01,2.52,2.55,2.16,2.33,78600,"AIHS","NASDAQ"
2019-07-02,2.16,2.33,2.16,2.2,50200,"AIHS","NASDAQ"
2019-07-03,2.37,2.418,2.14,2.21,61600,"AIHS","NASDAQ"
2019-07-05,2.215,2.33,2.1602,2.3,33300,"AIHS","NASDAQ"
2019-07-08,2.17,2.28,1.96,2,65000,"AIHS","NASDAQ"
2019-07-09,2.04,2.08,1.96,2.06,21400,"AIHS","NASDAQ"
2019-07-10,2.066,2.066,1.84,1.92,32000,"AIHS","NASDAQ"
2019-07-11,1.86,2.06,1.8599,2.02,25900,"AIHS","NASDAQ"
2019-07-12,2.054,2.0541,1.85,1.87,45900,"AIHS","NASDAQ"
2019-07-15,2.05,2.09,1.6499,1.65,33200,"AIHS","NASDAQ"
2019-07-16,1.62,1.64,1.45,1.5,58800,"AIHS","NASDAQ"
2019-07-17,1.475,1.475,1.31,1.41,63600,"AIHS","NASDAQ"
2019-07-18,1.405,1.435,1.25,1.26,74400,"AIHS","NASDAQ"
2019-07-19,1.27,1.28,1.11,1.14,12900,"AIHS","NASDAQ"
2019-07-22,1.17,1.22,1.15,1.15,27400,"AIHS","NASDAQ"
2019-07-23,1.16,1.71,1.16,1.24,113900,"AIHS","NASDAQ"
2019-07-24,1.3,1.39,1.29,1.35,45300,"AIHS","NASDAQ"
2019-07-25,1.33,1.35,1.25,1.29,12500,"AIHS","NASDAQ"
2019-07-26,1.69,1.69,1.26,1.38,52400,"AIHS","NASDAQ"
2019-07-29,1.45,1.47,1.28,1.32,63900,"AIHS","NASDAQ"
2019-07-30,1.43,1.47,1.26,1.31,154400,"AIHS","NASDAQ"
2019-07-31,1.36,1.36,1.25,1.27,16700,"AIHS","NASDAQ"
2019-08-01,1.26,1.29,1,1.02,89600,"AIHS","NASDAQ"
2019-08-02,1,1.1,1,1.095,37000,"AIHS","NASDAQ"
2019-08-05,1.1,1.45,1.02,1.25,270500,"AIHS","NASDAQ"
2019-08-06,1.22,1.22,1.12,1.14,54400,"AIHS","NASDAQ"
2019-08-07,1.15,1.15,1.02,1.03,44600,"AIHS","NASDAQ"
2019-08-08,1.03,1.2,1.01,1.145,85500,"AIHS","NASDAQ"
2019-08-09,1.16,1.25,1.01,1.02,97200,"AIHS","NASDAQ"
2019-08-12,1.105,1.13,1.01,1.02,34700,"AIHS","NASDAQ"
2019-08-13,1.025,1.1,0.88,0.94,35800,"AIHS","NASDAQ"
2019-08-14,0.95,1.01,0.92,0.935,34000,"AIHS","NASDAQ"
2019-08-15,0.932,1.1,0.91,1,90500,"AIHS","NASDAQ"
2019-08-16,1.01,1.03,0.915,0.95,22000,"AIHS","NASDAQ"
