"times","open","high","low","close","volume","symbol","market"
2019-05-30,20.2,20.4,19.83,19.89,270500,"AIMT","NASDAQ"
2019-05-31,19.71,19.79,19.36,19.57,326900,"AIMT","NASDAQ"
2019-06-03,19.69,19.99,19.38,19.96,393000,"AIMT","NASDAQ"
2019-06-04,20.1991,20.386,20,20.31,549800,"AIMT","NASDAQ"
2019-06-05,20.4389,20.54,19.81,20.14,594900,"AIMT","NASDAQ"
2019-06-06,20.13,20.2,19.55,19.56,286900,"AIMT","NASDAQ"
2019-06-07,19.7,20.22,19.53,20.17,313500,"AIMT","NASDAQ"
2019-06-10,20.35,20.35,19.9,19.9,214800,"AIMT","NASDAQ"
2019-06-11,20.01,20.02,19.47,19.75,244300,"AIMT","NASDAQ"
2019-06-12,19.78,20.21,19.6503,19.78,334400,"AIMT","NASDAQ"
2019-06-13,19.9,20.22,19.661,20.22,363700,"AIMT","NASDAQ"
2019-06-14,20.21,20.53,19.9806,20,407800,"AIMT","NASDAQ"
2019-06-17,20.13,20.56,20.13,20.54,514900,"AIMT","NASDAQ"
2019-06-18,20.67,20.86,20.15,20.2,345800,"AIMT","NASDAQ"
2019-06-19,20.39,20.47,20.03,20.07,312700,"AIMT","NASDAQ"
2019-06-20,20.2,20.4806,19.9,20.24,583800,"AIMT","NASDAQ"
2019-06-21,20.15,20.23,19.75,20,655500,"AIMT","NASDAQ"
2019-06-24,19.96,20,19.51,19.57,455300,"AIMT","NASDAQ"
2019-06-25,19.62,20.035,19.51,19.56,279300,"AIMT","NASDAQ"
2019-06-26,19.67,19.862,19.52,19.62,331500,"AIMT","NASDAQ"
2019-06-27,19.62,19.92,19.427,19.92,346500,"AIMT","NASDAQ"
2019-06-28,20.01,20.9,19.985,20.82,876400,"AIMT","NASDAQ"
2019-07-01,21.1,21.31,20.745,21.16,606900,"AIMT","NASDAQ"
2019-07-02,21.18,21.18,20.73,21.04,285000,"AIMT","NASDAQ"
2019-07-03,21.08,21.51,21.01,21.48,191200,"AIMT","NASDAQ"
2019-07-05,21.27,21.43,20.705,20.78,383500,"AIMT","NASDAQ"
2019-07-08,20.8,21.13,20.37,20.9,1159200,"AIMT","NASDAQ"
2019-07-09,20.85,21.13,20.61,20.96,322800,"AIMT","NASDAQ"
2019-07-10,20.93,21.05,19.81,19.89,825200,"AIMT","NASDAQ"
2019-07-11,19.84,19.84,16.95,18.51,2427200,"AIMT","NASDAQ"
2019-07-12,18.78,19.4007,18.635,19,1061600,"AIMT","NASDAQ"
2019-07-15,19,19.2,18.72,18.99,628600,"AIMT","NASDAQ"
2019-07-16,18.98,19.14,18.5193,18.78,496000,"AIMT","NASDAQ"
2019-07-17,18.78,19.04,18.59,18.99,578600,"AIMT","NASDAQ"
2019-07-18,18.94,19.058,18.02,18.09,809000,"AIMT","NASDAQ"
2019-07-19,18.04,18.51,17.86,18.34,493700,"AIMT","NASDAQ"
2019-07-22,18.34,18.5906,18.06,18.55,342400,"AIMT","NASDAQ"
