"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.26,15.4,15.26,15.35,4400,"AIQ","NASDAQ"
2019-05-31,15.135,15.277,15.135,15.165,5000,"AIQ","NASDAQ"
2019-06-03,15.25,15.25,14.87,14.87,19100,"AIQ","NASDAQ"
2019-06-04,15,15.31,15,15.307,14000,"AIQ","NASDAQ"
2019-06-05,15.48,15.48,15.34,15.45,2300,"AIQ","NASDAQ"
2019-06-06,15.41,15.495,15.39,15.495,2600,"AIQ","NASDAQ"
2019-06-07,15.721,15.81,15.721,15.791,4000,"AIQ","NASDAQ"
2019-06-10,16,16.093,15.94,16.01,22800,"AIQ","NASDAQ"
2019-06-11,16.03,16.05,15.793,15.86,30300,"AIQ","NASDAQ"
2019-06-12,15.762,15.8,15.753,15.8,1700,"AIQ","NASDAQ"
2019-06-13,15.827,15.833,15.8,15.823,4200,"AIQ","NASDAQ"
2019-06-14,15.82,15.82,15.701,15.751,3400,"AIQ","NASDAQ"
2019-06-17,15.83,15.83,15.77,15.795,10000,"AIQ","NASDAQ"
2019-06-18,15.88,16.175,15.88,16.1,4500,"AIQ","NASDAQ"
2019-06-19,16.24,16.24,16.02,16.18,25800,"AIQ","NASDAQ"
2019-06-20,16.42,16.474,16.331,16.45,8700,"AIQ","NASDAQ"
2019-06-21,16.32,16.39,16.27,16.29,124500,"AIQ","NASDAQ"
2019-06-24,16.3,16.36,16.28,16.305,4000,"AIQ","NASDAQ"
2019-06-25,16.33,16.33,15.96,15.96,3900,"AIQ","NASDAQ"
2019-06-26,16.24,16.24,16.148,16.148,15700,"AIQ","NASDAQ"
2019-06-27,16.1,16.228,16.1,16.2,5200,"AIQ","NASDAQ"
2019-06-28,16.151,16.262,16.151,16.256,2500,"AIQ","NASDAQ"
2019-07-01,16.62,16.62,16.42,16.42,7700,"AIQ","NASDAQ"
2019-07-02,16.37,16.507,16.3693,16.48,8400,"AIQ","NASDAQ"
2019-07-03,16.52,16.644,16.52,16.59,5300,"AIQ","NASDAQ"
2019-07-05,16.59,16.641,16.474,16.623,12800,"AIQ","NASDAQ"
2019-07-08,16.58,16.58,16.4,16.49,10400,"AIQ","NASDAQ"
2019-07-09,16.5,16.64,16.49,16.59,9900,"AIQ","NASDAQ"
2019-07-10,16.62,16.799,16.62,16.685,13100,"AIQ","NASDAQ"
2019-07-11,16.81,16.85,16.72,16.8,38400,"AIQ","NASDAQ"
2019-07-12,16.8,16.81,16.71,16.81,18900,"AIQ","NASDAQ"
2019-07-15,16.81,16.9047,16.81,16.888,3100,"AIQ","NASDAQ"
2019-07-16,16.95,16.95,16.72,16.72,14500,"AIQ","NASDAQ"
2019-07-17,16.72,16.8396,16.72,16.79,9800,"AIQ","NASDAQ"
2019-07-18,16.72,16.72,16.594,16.69,9800,"AIQ","NASDAQ"
2019-07-19,16.81,16.85,16.67,16.71,13300,"AIQ","NASDAQ"
2019-07-22,16.74,16.815,16.73,16.805,7100,"AIQ","NASDAQ"
2019-07-23,16.85,16.88,16.75,16.88,7900,"AIQ","NASDAQ"
2019-07-24,16.73,17.055,16.73,17.055,8700,"AIQ","NASDAQ"
2019-07-25,17.09,17.09,16.88,16.91,18100,"AIQ","NASDAQ"
2019-07-26,16.97,17.1488,16.97,17.15,10600,"AIQ","NASDAQ"
2019-07-29,17.21,17.21,16.89,17.02,11100,"AIQ","NASDAQ"
2019-07-30,16.9,16.925,16.898,16.91,7100,"AIQ","NASDAQ"
2019-07-31,16.87,16.87,16.46,16.64,12000,"AIQ","NASDAQ"
2019-08-01,16.6,16.905,16.45,16.52,29100,"AIQ","NASDAQ"
2019-08-02,16.37,16.37,16.01,16.122,8000,"AIQ","NASDAQ"
2019-08-05,15.76,15.76,15.456,15.55,9900,"AIQ","NASDAQ"
2019-08-06,15.63,15.75,15.52,15.7,57600,"AIQ","NASDAQ"
2019-08-07,15.4405,15.82,15.44,15.805,6900,"AIQ","NASDAQ"
2019-08-08,15.98,16.101,15.8985,16.101,4300,"AIQ","NASDAQ"
2019-08-09,16.02,16.078,15.88,16.02,7400,"AIQ","NASDAQ"
2019-08-12,15.95,15.95,15.8,15.8,4000,"AIQ","NASDAQ"
2019-08-13,15.79,16.04,15.685,16.04,26500,"AIQ","NASDAQ"
2019-08-14,15.671,15.78,15.45,15.505,6500,"AIQ","NASDAQ"
2019-08-15,15.451,15.55,15.438,15.498,3600,"AIQ","NASDAQ"
2019-08-16,15.58,15.81,15.58,15.78,5400,"AIQ","NASDAQ"
2019-08-19,15.95,16.056,15.95,16.01,23500,"AIQ","NASDAQ"
2019-08-20,16.05,16.05,15.979,15.986,2500,"AIQ","NASDAQ"
2019-08-21,16.18,16.21,16.14,16.17,2500,"AIQ","NASDAQ"
2019-08-22,16.08,16.15,15.975,16.15,4100,"AIQ","NASDAQ"
2019-08-23,15.96,16.1,15.61,15.61,13600,"AIQ","NASDAQ"
2019-08-26,15.91,15.91,15.721,15.78,4700,"AIQ","NASDAQ"
2019-08-27,16,16.13,15.75,15.8,52300,"AIQ","NASDAQ"
2019-08-28,15.701,15.817,15.68,15.76,9100,"AIQ","NASDAQ"
2019-08-29,15.9,16.078,15.9,16.06,5500,"AIQ","NASDAQ"
2019-08-30,16.1,16.136,16.001,16.1,10800,"AIQ","NASDAQ"
2019-09-03,16.03,16.03,15.844,15.902,5000,"AIQ","NASDAQ"
2019-09-04,16.124,16.175,16.075,16.17,20500,"AIQ","NASDAQ"
2019-09-05,16.37,16.51,16.331,16.4,11300,"AIQ","NASDAQ"
2019-09-06,16.39,16.48,16.39,16.41,10400,"AIQ","NASDAQ"
2019-09-09,16.35,16.361,16.296,16.34,4800,"AIQ","NASDAQ"
2019-09-10,16.3,16.3,16.159,16.28,40400,"AIQ","NASDAQ"
2019-09-11,16.38,16.386,16.32,16.32,5500,"AIQ","NASDAQ"
2019-09-12,16.41,16.546,16.4,16.44,7300,"AIQ","NASDAQ"
2019-09-13,16.402,16.44,16.37,16.376,5200,"AIQ","NASDAQ"
2019-09-16,16.31,16.39,16.3,16.39,7800,"AIQ","NASDAQ"
2019-09-17,16.29,16.41,16.29,16.383,7600,"AIQ","NASDAQ"
2019-09-18,16.33,16.358,16.12,16.31,17100,"AIQ","NASDAQ"
2019-09-19,16.33,16.51,16.33,16.385,10900,"AIQ","NASDAQ"
2019-09-20,16.48,16.48,16.24,16.267,1800,"AIQ","NASDAQ"
2019-09-23,16.26,16.27,16.191,16.24,7100,"AIQ","NASDAQ"
2019-09-24,16.31,16.31,15.83,15.89,14400,"AIQ","NASDAQ"
2019-09-25,15.929,16.08,15.77,16.08,4500,"AIQ","NASDAQ"
2019-09-26,16.18,16.18,16.044,16.12,10700,"AIQ","NASDAQ"
2019-09-27,16.08,16.08,15.682,15.682,4800,"AIQ","NASDAQ"
