"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.98,5.05,4.7599,4.82,852900,"AKBA","NASDAQ"
2019-05-31,4.74,4.802,4.43,4.45,1492800,"AKBA","NASDAQ"
2019-06-03,4.46,4.57,4.39,4.49,1157600,"AKBA","NASDAQ"
2019-06-04,4.55,4.74,4.395,4.71,2298000,"AKBA","NASDAQ"
2019-06-05,4.75,4.765,4.31,4.35,1388000,"AKBA","NASDAQ"
2019-06-06,4.35,4.39,4.135,4.23,1061400,"AKBA","NASDAQ"
2019-06-07,4.21,4.33,4.12,4.31,701400,"AKBA","NASDAQ"
2019-06-10,4.3201,4.39,4.26,4.3,754800,"AKBA","NASDAQ"
2019-06-11,4.33,4.4,4.125,4.16,665800,"AKBA","NASDAQ"
2019-06-12,4.14,4.255,4.1,4.24,509200,"AKBA","NASDAQ"
2019-06-13,4.28,4.28,4.1,4.28,615000,"AKBA","NASDAQ"
2019-06-14,4.25,4.29,4.09,4.1,732300,"AKBA","NASDAQ"
2019-06-17,4.17,4.47,4.17,4.43,1038500,"AKBA","NASDAQ"
2019-06-18,4.45,4.67,4.4,4.57,1314600,"AKBA","NASDAQ"
2019-06-19,4.56,4.6,4.42,4.51,625300,"AKBA","NASDAQ"
2019-06-20,4.54,4.65,4.425,4.46,771400,"AKBA","NASDAQ"
2019-06-21,4.45,4.45,4.28,4.42,3805100,"AKBA","NASDAQ"
2019-06-24,4.41,4.48,4.22,4.26,1272500,"AKBA","NASDAQ"
2019-06-25,4.28,4.525,4.2,4.43,921200,"AKBA","NASDAQ"
2019-06-26,4.45,4.65,4.34,4.37,1032300,"AKBA","NASDAQ"
2019-06-27,4.38,4.63,4.33,4.63,962900,"AKBA","NASDAQ"
2019-06-28,4.63,4.87,4.63,4.84,7308100,"AKBA","NASDAQ"
2019-07-01,4.95,5,4.61,4.62,1152600,"AKBA","NASDAQ"
2019-07-02,4.59,4.59,4.3899,4.55,952200,"AKBA","NASDAQ"
2019-07-03,4.67,4.678,4.41,4.51,491700,"AKBA","NASDAQ"
2019-07-05,4.48,4.54,4.37,4.38,674300,"AKBA","NASDAQ"
2019-07-08,4.36,4.41,4.09,4.11,1327200,"AKBA","NASDAQ"
2019-07-09,4.1,4.28,4.08,4.28,694700,"AKBA","NASDAQ"
2019-07-10,4.39,4.49,4.2,4.28,749900,"AKBA","NASDAQ"
