"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.605,0.625,0.6,0.605,77900,"AKER","NASDAQ"
2019-05-31,0.639,0.639,0.59,0.592,93800,"AKER","NASDAQ"
2019-06-03,0.603,0.603,0.51,0.511,347200,"AKER","NASDAQ"
2019-06-04,0.54,0.574,0.52,0.57,195200,"AKER","NASDAQ"
2019-06-05,0.57,0.574,0.55,0.56,67600,"AKER","NASDAQ"
2019-06-06,0.535,0.541,0.51,0.511,227300,"AKER","NASDAQ"
2019-06-07,0.547,0.547,0.51,0.516,75700,"AKER","NASDAQ"
2019-06-10,0.53,0.54,0.515,0.53,163500,"AKER","NASDAQ"
2019-06-11,0.54,0.58,0.53,0.57,210300,"AKER","NASDAQ"
2019-06-12,0.572,0.62,0.56,0.58,177200,"AKER","NASDAQ"
2019-06-13,0.586,0.61,0.54,0.557,82700,"AKER","NASDAQ"
2019-06-14,0.555,0.59,0.52,0.54,119400,"AKER","NASDAQ"
2019-06-17,0.53,0.565,0.52,0.565,77100,"AKER","NASDAQ"
2019-06-18,0.56,0.58,0.52,0.565,76700,"AKER","NASDAQ"
2019-06-19,0.56,0.59,0.535,0.59,73000,"AKER","NASDAQ"
2019-06-20,0.59,0.59,0.535,0.59,73700,"AKER","NASDAQ"
2019-06-21,0.555,0.6,0.55,0.568,144800,"AKER","NASDAQ"
2019-06-24,0.52,0.56,0.484,0.52,396200,"AKER","NASDAQ"
2019-06-25,0.513,0.535,0.42,0.49,400500,"AKER","NASDAQ"
2019-06-26,0.464,0.48,0.4,0.43,448300,"AKER","NASDAQ"
2019-06-27,0.43,0.44,0.41,0.42,180900,"AKER","NASDAQ"
2019-06-28,0.43,0.47,0.411,0.45,376900,"AKER","NASDAQ"
2019-07-01,0.462,0.47,0.43,0.46,127800,"AKER","NASDAQ"
2019-07-02,0.456,0.469,0.439,0.44,80900,"AKER","NASDAQ"
2019-07-03,0.44,0.46,0.42,0.435,85600,"AKER","NASDAQ"
2019-07-05,0.435,0.448,0.427,0.435,58700,"AKER","NASDAQ"
