"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.08,4.19,3.85,3.89,2473800,"AKRX","NASDAQ"
2019-05-31,3.85,4.12,3.761,4.12,1404500,"AKRX","NASDAQ"
2019-06-03,4.12,4.12,3.95,4.05,1079900,"AKRX","NASDAQ"
2019-06-04,4.07,4.305,4.07,4.26,2237800,"AKRX","NASDAQ"
2019-06-05,4.42,4.55,4.125,4.31,2517300,"AKRX","NASDAQ"
2019-06-06,4.3,4.425,4.2,4.32,1428100,"AKRX","NASDAQ"
2019-06-07,4.33,4.39,4.22,4.38,954000,"AKRX","NASDAQ"
2019-06-10,4.41,4.52,4.28,4.31,1459700,"AKRX","NASDAQ"
2019-06-11,4.33,4.37,4.115,4.17,2352100,"AKRX","NASDAQ"
2019-06-12,4.14,4.17,3.975,4.09,1444300,"AKRX","NASDAQ"
2019-06-13,4.14,4.375,4.06,4.36,1123400,"AKRX","NASDAQ"
2019-06-14,4.34,4.34,4.145,4.25,710700,"AKRX","NASDAQ"
2019-06-17,4.23,4.41,4.11,4.34,1123500,"AKRX","NASDAQ"
2019-06-18,4.38,4.49,4.35,4.48,1105200,"AKRX","NASDAQ"
2019-06-19,4.49,4.86,4.45,4.65,2737200,"AKRX","NASDAQ"
2019-06-20,4.7,4.84,4.66,4.74,1312400,"AKRX","NASDAQ"
2019-06-21,4.72,4.8,4.5,4.78,1957100,"AKRX","NASDAQ"
2019-06-24,4.8,4.83,4.655,4.73,1087100,"AKRX","NASDAQ"
2019-06-25,4.63,4.82,4.3601,4.65,1966300,"AKRX","NASDAQ"
2019-06-26,4.66,4.89,4.635,4.8,1717200,"AKRX","NASDAQ"
2019-06-27,4.82,5.285,4.82,5.15,2497500,"AKRX","NASDAQ"
2019-06-28,5.1001,5.46,5.06,5.15,2482200,"AKRX","NASDAQ"
2019-07-01,5.24,5.4,5.12,5.18,1556600,"AKRX","NASDAQ"
2019-07-02,5.17,5.4,5.07,5.18,1385800,"AKRX","NASDAQ"
2019-07-03,5.2,5.32,5.1,5.25,700700,"AKRX","NASDAQ"
2019-07-05,5.27,5.35,5.02,5.07,1256000,"AKRX","NASDAQ"
2019-07-08,5.04,5.23,4.93,4.97,1206200,"AKRX","NASDAQ"
2019-07-09,4.95,5.08,4.84,4.98,1320600,"AKRX","NASDAQ"
2019-07-10,5.01,5.03,4.67,4.85,1204100,"AKRX","NASDAQ"
2019-07-11,4.82,4.86,4.53,4.58,1484600,"AKRX","NASDAQ"
2019-07-12,4.5703,4.66,4.42,4.45,1138600,"AKRX","NASDAQ"
2019-07-15,4.44,4.44,4.27,4.34,915600,"AKRX","NASDAQ"
2019-07-16,4.34,4.45,4.17,4.2,1096900,"AKRX","NASDAQ"
2019-07-17,4.2,4.21,4.08,4.12,818200,"AKRX","NASDAQ"
2019-07-18,4.1,4.12,3.78,3.87,1293800,"AKRX","NASDAQ"
2019-07-19,3.87,3.97,3.77,3.84,859000,"AKRX","NASDAQ"
2019-07-22,3.86,3.92,3.74,3.78,925500,"AKRX","NASDAQ"
2019-07-23,3.97,3.97,3.61,3.62,1159800,"AKRX","NASDAQ"
