"times","open","high","low","close","volume","symbol","market"
2019-05-30,7.15,7.29,6.96,7.22,498700,"AKTS","NASDAQ"
2019-05-31,7.11,7.2,6.91,6.96,424800,"AKTS","NASDAQ"
2019-06-03,6.9202,7.005,6.33,6.58,509400,"AKTS","NASDAQ"
2019-06-04,6.59,6.78,6.4,6.72,379900,"AKTS","NASDAQ"
2019-06-05,6.75,6.82,6.52,6.67,154100,"AKTS","NASDAQ"
2019-06-06,6.65,6.89,6.48,6.77,251400,"AKTS","NASDAQ"
2019-06-07,6.78,7.1,6.72,7.1,300400,"AKTS","NASDAQ"
2019-06-10,7.06,7.45,7.06,7.43,403100,"AKTS","NASDAQ"
2019-06-11,7.45,7.65,7.125,7.47,332600,"AKTS","NASDAQ"
2019-06-12,7.45,7.51,7.0102,7.21,367100,"AKTS","NASDAQ"
2019-06-13,7.1907,7.48,7.08,7.18,225100,"AKTS","NASDAQ"
2019-06-14,7.12,7.14,6.82,7.03,308800,"AKTS","NASDAQ"
2019-06-17,7.02,7.15,6.78,6.81,423700,"AKTS","NASDAQ"
2019-06-18,6.85,6.92,6.52,6.69,269100,"AKTS","NASDAQ"
2019-06-19,6.71,6.73,6.35,6.55,512800,"AKTS","NASDAQ"
2019-06-20,6.57,6.71,6.38,6.68,468900,"AKTS","NASDAQ"
2019-06-21,6.65,6.6596,6.38,6.54,384900,"AKTS","NASDAQ"
2019-06-24,6.55,6.619,6.2,6.24,389500,"AKTS","NASDAQ"
2019-06-25,6.23,6.3,5.96,6.01,333600,"AKTS","NASDAQ"
2019-06-26,6.14,6.15,5.77,6,595800,"AKTS","NASDAQ"
2019-06-27,6.01,6.063,5.72,5.9,475700,"AKTS","NASDAQ"
2019-06-28,5.9,6.627,5.8297,6.4,3358700,"AKTS","NASDAQ"
2019-07-01,6.46,6.59,6.14,6.27,477900,"AKTS","NASDAQ"
2019-07-02,6.21,6.25,5.89,5.91,388000,"AKTS","NASDAQ"
2019-07-03,5.91,6.03,5.6206,6,517100,"AKTS","NASDAQ"
2019-07-05,5.98,5.98,5.66,5.82,476700,"AKTS","NASDAQ"
2019-07-08,5.8,5.84,5.5,5.67,762700,"AKTS","NASDAQ"
2019-07-09,5.62,5.74,5.17,5.32,672900,"AKTS","NASDAQ"
2019-07-10,6.01,6.6,5.9,6.28,1374400,"AKTS","NASDAQ"
2019-07-11,6.2,6.59,5.97,6.02,789000,"AKTS","NASDAQ"
2019-07-12,5.99,6.015,5.41,5.75,1225100,"AKTS","NASDAQ"
2019-07-15,5.75,5.98,5.55,5.69,490000,"AKTS","NASDAQ"
2019-07-16,5.7,5.99,5.7,5.78,370700,"AKTS","NASDAQ"
2019-07-17,5.7496,5.82,5.44,5.51,625500,"AKTS","NASDAQ"
2019-07-18,5.5,5.66,5.37,5.45,520400,"AKTS","NASDAQ"
2019-07-19,5.44,5.68,5.36,5.52,499900,"AKTS","NASDAQ"
2019-07-22,5.49,5.92,5.4901,5.77,435500,"AKTS","NASDAQ"
2019-07-23,5.75,5.87,5.59,5.65,408600,"AKTS","NASDAQ"
2019-07-24,5.67,5.84,5.32,5.79,696500,"AKTS","NASDAQ"
2019-07-25,5.8,6.1,5.69,6.02,359800,"AKTS","NASDAQ"
2019-07-26,6.03,6.1,5.545,5.6,377800,"AKTS","NASDAQ"
2019-07-29,5.62,5.76,5.33,5.61,370600,"AKTS","NASDAQ"
2019-07-30,5.63,6.02,5.61,5.86,401700,"AKTS","NASDAQ"
2019-07-31,5.83,5.97,5.74,5.82,262200,"AKTS","NASDAQ"
2019-08-01,5.83,5.95,5.59,5.62,328700,"AKTS","NASDAQ"
2019-08-02,5.59,5.742,5.48,5.66,171100,"AKTS","NASDAQ"
2019-08-05,5.61,5.61,5.41,5.5,310500,"AKTS","NASDAQ"
2019-08-06,5.52,5.58,5.35,5.45,318600,"AKTS","NASDAQ"
2019-08-07,5.37,5.605,5.24,5.52,303200,"AKTS","NASDAQ"
2019-08-08,5.56,5.7,5.477,5.6,209500,"AKTS","NASDAQ"
2019-08-09,5.59,5.67,5.3199,5.53,210800,"AKTS","NASDAQ"
2019-08-12,5.49,5.56,5.31,5.56,192000,"AKTS","NASDAQ"
2019-08-13,6,6,5.71,5.85,370700,"AKTS","NASDAQ"
