"times","open","high","low","close","volume","symbol","market"
2019-05-30,33.2,34,31.55,32.9,92700,"ALBO","NASDAQ"
2019-05-31,32.34,33.33,32.1,32.9,50700,"ALBO","NASDAQ"
2019-06-03,32.81,33.485,32.704,32.97,46300,"ALBO","NASDAQ"
2019-06-04,33.45,33.79,32.42,32.8,54000,"ALBO","NASDAQ"
2019-06-05,33.04,33.5295,31.9,32.1,38300,"ALBO","NASDAQ"
2019-06-06,32.09,32.3695,31.6,31.97,34900,"ALBO","NASDAQ"
2019-06-07,32.46,32.73,31.67,32.45,40800,"ALBO","NASDAQ"
2019-06-10,32.91,35.757,32.56,32.77,95800,"ALBO","NASDAQ"
2019-06-11,33,33,32.06,32.69,31400,"ALBO","NASDAQ"
2019-06-12,32.62,33.15,32.12,32.72,37200,"ALBO","NASDAQ"
2019-06-13,32.97,33.627,32.71,33.06,40100,"ALBO","NASDAQ"
2019-06-14,33.03,33.03,32.6,32.63,12700,"ALBO","NASDAQ"
2019-06-17,32.84,33.08,31.52,31.87,61700,"ALBO","NASDAQ"
2019-06-18,32.13,32.75,31.79,32.39,66800,"ALBO","NASDAQ"
2019-06-19,32.45,34.09,31.51,32,33800,"ALBO","NASDAQ"
2019-06-20,32.54,32.54,31.45,31.79,16100,"ALBO","NASDAQ"
2019-06-21,31.59,31.8,30.98,31.22,51900,"ALBO","NASDAQ"
2019-06-24,31.18,31.49,29.55,31.36,46200,"ALBO","NASDAQ"
2019-06-25,31.52,31.75,31.045,31.1,22300,"ALBO","NASDAQ"
2019-06-26,30.93,31.6211,30.48,31.21,22300,"ALBO","NASDAQ"
2019-06-27,31.34,31.79,30.82,31.77,71400,"ALBO","NASDAQ"
2019-06-28,31.77,32.49,31.4602,32.24,500500,"ALBO","NASDAQ"
2019-07-01,32.25,32.385,31.6,31.86,75100,"ALBO","NASDAQ"
2019-07-02,31.95,32.21,30.95,31.07,43300,"ALBO","NASDAQ"
2019-07-03,31.26,31.65,30.99,31.33,25700,"ALBO","NASDAQ"
2019-07-05,31.11,32.18,30.25,31.87,59900,"ALBO","NASDAQ"
2019-07-08,31.65,32.22,31.42,31.6,51900,"ALBO","NASDAQ"
2019-07-09,31.75,32.38,31.09,31.88,51100,"ALBO","NASDAQ"
2019-07-10,31.9594,31.99,30.49,30.81,139900,"ALBO","NASDAQ"
2019-07-11,30.84,30.84,29.05,29.44,101000,"ALBO","NASDAQ"
2019-07-12,29.54,29.54,27.5193,28.43,65800,"ALBO","NASDAQ"
2019-07-15,28.81,29.69,28.3,28.84,80700,"ALBO","NASDAQ"
2019-07-16,28.9,29.28,28.66,28.76,32100,"ALBO","NASDAQ"
2019-07-17,28.85,29.97,28.83,29.43,78200,"ALBO","NASDAQ"
2019-07-18,29.37,29.88,28.49,29.04,20900,"ALBO","NASDAQ"
2019-07-19,28.9812,29.05,28.1,28.22,33000,"ALBO","NASDAQ"
2019-07-22,28.2315,28.92,27.91,28.62,20400,"ALBO","NASDAQ"
