"times","open","high","low","close","volume","symbol","market"
2019-05-30,7.06,7.22,6.92,6.99,140700,"ALDX","NASDAQ"
2019-05-31,6.86,7.023,6.76,6.97,105200,"ALDX","NASDAQ"
2019-06-03,6.96,7.08,6.68,6.72,157200,"ALDX","NASDAQ"
2019-06-04,6.82,7.09,6.73,7.06,256600,"ALDX","NASDAQ"
2019-06-05,7.12,7.17,6.77,6.86,103900,"ALDX","NASDAQ"
2019-06-06,6.91,6.9591,6.57,6.71,185300,"ALDX","NASDAQ"
2019-06-07,6.71,6.873,6.5,6.83,211400,"ALDX","NASDAQ"
2019-06-10,6.84,6.99,6.83,6.88,134900,"ALDX","NASDAQ"
2019-06-11,6.92,6.92,6.58,6.67,90200,"ALDX","NASDAQ"
2019-06-12,6.68,6.84,6.54,6.63,155700,"ALDX","NASDAQ"
2019-06-13,6.7,6.78,6.56,6.75,259400,"ALDX","NASDAQ"
2019-06-14,6.72,6.7801,6.343,6.54,482400,"ALDX","NASDAQ"
2019-06-17,6.55,6.81,6.54,6.66,214300,"ALDX","NASDAQ"
2019-06-18,6.71,7.08,6.65,6.84,335900,"ALDX","NASDAQ"
2019-06-19,6.89,7.22,6.8898,7.07,256400,"ALDX","NASDAQ"
2019-06-20,7.15,7.334,6.87,7,169500,"ALDX","NASDAQ"
2019-06-21,6.93,7.59,6.91,7.42,337600,"ALDX","NASDAQ"
2019-06-24,7.4505,7.515,7.03,7.085,229800,"ALDX","NASDAQ"
2019-06-25,5.2,6.24,4.99,6.21,3732800,"ALDX","NASDAQ"
2019-06-26,6.27,6.4999,6.09,6.23,494600,"ALDX","NASDAQ"
2019-06-27,6.24,6.37,6.12,6.16,232000,"ALDX","NASDAQ"
2019-06-28,6.18,6.27,5.92,6,751600,"ALDX","NASDAQ"
2019-07-01,6.14,6.19,5.91,6.12,161000,"ALDX","NASDAQ"
2019-07-02,6.11,6.145,5.96,6.03,102800,"ALDX","NASDAQ"
2019-07-03,6.04,6.1,5.86,6.01,97200,"ALDX","NASDAQ"
2019-07-05,5.97,6.09,5.82,5.96,102400,"ALDX","NASDAQ"
2019-07-08,5.96,5.9604,5.745,5.94,165500,"ALDX","NASDAQ"
2019-07-09,5.86,6.06,5.86,6.02,147100,"ALDX","NASDAQ"
2019-07-10,6.01,6.08,5.89,5.99,90700,"ALDX","NASDAQ"
2019-07-11,6,6.0301,5.71,5.73,135100,"ALDX","NASDAQ"
2019-07-12,5.69,5.78,5.5396,5.6,164000,"ALDX","NASDAQ"
2019-07-15,5.57,5.8102,5.57,5.68,179100,"ALDX","NASDAQ"
2019-07-16,5.7,5.78,5.62,5.71,113400,"ALDX","NASDAQ"
2019-07-17,5.67,5.714,5.385,5.48,306600,"ALDX","NASDAQ"
2019-07-18,5.47,5.61,5.39,5.41,184100,"ALDX","NASDAQ"
2019-07-19,5.4,5.5,5.24,5.27,332300,"ALDX","NASDAQ"
2019-07-22,5.27,5.36,5.08,5.28,290700,"ALDX","NASDAQ"
