"times","open","high","low","close","volume","symbol","market"
2019-05-30,18.06,18.068,17.27,17.35,83000,"ALEC","NASDAQ"
2019-05-31,17.06,17.269,16,16.91,78600,"ALEC","NASDAQ"
2019-06-03,16.8893,17.006,15.78,16.26,104200,"ALEC","NASDAQ"
2019-06-04,16.54,17.23,15.87,16.98,66800,"ALEC","NASDAQ"
2019-06-05,17.11,17.492,16.18,16.81,93300,"ALEC","NASDAQ"
2019-06-06,17.35,17.35,16.6,16.96,86500,"ALEC","NASDAQ"
2019-06-07,17.1,17.39,16.04,17.35,105600,"ALEC","NASDAQ"
2019-06-10,17.65,20.96,17.55,19,332000,"ALEC","NASDAQ"
2019-06-11,19.81,20.3,19,20.27,104400,"ALEC","NASDAQ"
2019-06-12,20.26,20.7,19.82,20.1,138500,"ALEC","NASDAQ"
2019-06-13,20.19,21.22,19.99,20.73,132400,"ALEC","NASDAQ"
2019-06-14,20.7,21.175,19.7,20.16,168100,"ALEC","NASDAQ"
2019-06-17,20.15,20.99,19.42,20.35,154900,"ALEC","NASDAQ"
2019-06-18,20.52,20.74,19.34,19.53,99800,"ALEC","NASDAQ"
2019-06-19,19.5783,19.77,18.8,19.12,76000,"ALEC","NASDAQ"
2019-06-20,19.1,19.1,18.07,18.33,103100,"ALEC","NASDAQ"
2019-06-21,18.2202,18.96,17.67,18.2,388900,"ALEC","NASDAQ"
2019-06-24,18.26,18.853,17.729,18.23,103700,"ALEC","NASDAQ"
2019-06-25,18.17,18.5,17.5,17.82,69200,"ALEC","NASDAQ"
2019-06-26,17.74,17.98,17.42,17.5,94400,"ALEC","NASDAQ"
2019-06-27,17.56,18.08,17.37,17.99,52200,"ALEC","NASDAQ"
2019-06-28,18.17,19.61,18.17,19,660500,"ALEC","NASDAQ"
2019-07-01,19.34,19.46,18.6298,18.88,94600,"ALEC","NASDAQ"
2019-07-02,18.79,19.875,18.718,19.57,94200,"ALEC","NASDAQ"
2019-07-03,19.68,19.81,18.22,18.59,49100,"ALEC","NASDAQ"
2019-07-05,18.5,19.16,18.5,19.06,140000,"ALEC","NASDAQ"
2019-07-08,19.06,19.755,18.68,19.03,135900,"ALEC","NASDAQ"
2019-07-09,18.93,19.08,18.3,18.81,102800,"ALEC","NASDAQ"
2019-07-10,18.81,19.36,18.78,19,123000,"ALEC","NASDAQ"
2019-07-11,19.06,19.212,18.48,18.76,106700,"ALEC","NASDAQ"
2019-07-12,18.85,19.17,18.29,18.52,62100,"ALEC","NASDAQ"
2019-07-15,18.81,19.55,18.6855,19,87400,"ALEC","NASDAQ"
2019-07-16,18.66,19.2645,18.62,19.04,213400,"ALEC","NASDAQ"
2019-07-17,19.06,19.336,18.09,18.23,151200,"ALEC","NASDAQ"
2019-07-18,18.95,19.4489,18.428,18.75,257000,"ALEC","NASDAQ"
2019-07-19,18.78,19.185,18.4,18.84,99200,"ALEC","NASDAQ"
2019-07-22,18.8,19.04,18.48,18.91,86700,"ALEC","NASDAQ"
2019-07-23,19,19.36,18.89,19.24,87200,"ALEC","NASDAQ"
2019-07-24,19.15,20,18.746,19.88,162300,"ALEC","NASDAQ"
2019-07-25,22.24,22.25,20.75,20.86,424400,"ALEC","NASDAQ"
2019-07-26,21.3,21.729,20.781,20.99,194000,"ALEC","NASDAQ"
2019-07-29,21.51,22.41,21.51,22.2,165100,"ALEC","NASDAQ"
2019-07-30,22.285,22.4,21,21.62,517200,"ALEC","NASDAQ"
2019-07-31,21.67,21.997,20.85,21.12,210100,"ALEC","NASDAQ"
2019-08-01,21.3,21.41,20,20.08,280100,"ALEC","NASDAQ"
2019-08-02,20.15,20.609,19.67,19.9,179300,"ALEC","NASDAQ"
2019-08-05,20,20.363,18,18.4,279800,"ALEC","NASDAQ"
2019-08-06,18.61,19.59,17.792,19,433100,"ALEC","NASDAQ"
2019-08-07,18.79,18.965,18.065,18.39,142600,"ALEC","NASDAQ"
2019-08-08,18.35,18.64,17.15,17.77,573100,"ALEC","NASDAQ"
2019-08-09,17.77,18.28,17.4,18.1,443600,"ALEC","NASDAQ"
2019-08-12,18.25,18.92,18.21,18.58,309900,"ALEC","NASDAQ"
2019-08-13,18.06,18.73,17.63,17.8,286400,"ALEC","NASDAQ"
2019-08-14,17.62,17.8,15.159,15.2,427300,"ALEC","NASDAQ"
2019-08-15,15,15,13.64,14.86,436200,"ALEC","NASDAQ"
2019-08-16,14.66,14.93,14.01,14.85,311800,"ALEC","NASDAQ"
2019-08-19,15,16,14.71,15.73,365300,"ALEC","NASDAQ"
2019-08-20,15.81,16.18,15.62,16,355600,"ALEC","NASDAQ"
2019-08-21,16.2,16.23,15.75,15.84,191100,"ALEC","NASDAQ"
2019-08-22,15.6,15.91,14.75,15.14,244800,"ALEC","NASDAQ"
2019-08-23,15.02,15.37,14.85,15,182000,"ALEC","NASDAQ"
2019-08-26,15.2,16.87,15.01,16.11,567900,"ALEC","NASDAQ"
2019-08-27,16.5,16.72,15.33,15.66,335100,"ALEC","NASDAQ"
2019-08-28,15.58,16.66,15.58,16.18,319300,"ALEC","NASDAQ"
2019-08-29,16.38,16.752,16.11,16.61,328000,"ALEC","NASDAQ"
2019-08-30,16.64,16.77,15.91,16.46,289800,"ALEC","NASDAQ"
2019-09-03,16.43,16.61,14.975,15.53,299100,"ALEC","NASDAQ"
2019-09-04,15.69,16.885,15.49,16.14,346300,"ALEC","NASDAQ"
2019-09-05,16.39,16.72,16.21,16.6,235100,"ALEC","NASDAQ"
2019-09-06,16.52,16.95,16.3,16.54,199900,"ALEC","NASDAQ"
2019-09-09,16.54,18.05,16.17,17.32,458500,"ALEC","NASDAQ"
2019-09-10,17.18,19.56,17,19.23,652600,"ALEC","NASDAQ"
2019-09-11,19.25,19.968,18.83,19.8,390600,"ALEC","NASDAQ"
2019-09-12,19.46,19.97,18.944,19.56,386900,"ALEC","NASDAQ"
2019-09-13,19.69,19.95,18.65,18.99,425000,"ALEC","NASDAQ"
2019-09-16,19.03,19.5,18.51,19.37,389400,"ALEC","NASDAQ"
2019-09-17,19.3,19.83,19.125,19.59,384000,"ALEC","NASDAQ"
2019-09-18,19.55,19.89,19.12,19.23,992200,"ALEC","NASDAQ"
2019-09-19,19.24,19.27,18.4,18.5,798200,"ALEC","NASDAQ"
2019-09-20,18.6,20,18.44,19.92,3273500,"ALEC","NASDAQ"
2019-09-23,20,20,18.882,19.09,936000,"ALEC","NASDAQ"
2019-09-24,19.01,19.1,17.88,17.88,633700,"ALEC","NASDAQ"
2019-09-25,17.91,18.25,16.84,16.93,420300,"ALEC","NASDAQ"
2019-09-26,16.81,16.895,15,15.105,320600,"ALEC","NASDAQ"
2019-09-27,15.01,15.47,14.76,15.015,482300,"ALEC","NASDAQ"
2019-09-30,14.98,15.123,13.71,14.42,357800,"ALEC","NASDAQ"
2019-10-01,14.39,14.98,13.95,14.2,222000,"ALEC","NASDAQ"
2019-10-02,14.12,14.45,13.71,14.38,356200,"ALEC","NASDAQ"
2019-10-03,14.36,14.59,14.04,14.48,216400,"ALEC","NASDAQ"
2019-10-04,14.48,14.65,14.15,14.505,227400,"ALEC","NASDAQ"
2019-10-07,14.52,14.965,14.44,14.75,183200,"ALEC","NASDAQ"
2019-10-08,14.53,14.53,14,14.26,167300,"ALEC","NASDAQ"
2019-10-09,14.4,14.77,14.1,14.17,246500,"ALEC","NASDAQ"
2019-10-10,14.16,14.69,14.085,14.53,223800,"ALEC","NASDAQ"
2019-10-11,14.71,15.34,14.66,15.02,298000,"ALEC","NASDAQ"
2019-10-14,15,15.01,14.6,14.68,176900,"ALEC","NASDAQ"
2019-10-15,14.74,14.97,14.33,14.71,193100,"ALEC","NASDAQ"
2019-10-16,14.66,15,14.56,14.89,154500,"ALEC","NASDAQ"
2019-10-17,14.93,15.48,14.815,15.05,138300,"ALEC","NASDAQ"
2019-10-18,14.88,15.01,13.99,14.385,148458,"ALEC","NASDAQ"
