"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.88,0.945,0.88,0.9,21100,"ALIM","NASDAQ"
2019-05-31,0.893,0.92,0.88,0.88,13700,"ALIM","NASDAQ"
2019-06-03,0.877,0.919,0.821,0.919,45800,"ALIM","NASDAQ"
2019-06-04,0.918,0.94,0.9,0.925,43800,"ALIM","NASDAQ"
2019-06-05,0.91,0.929,0.91,0.92,105200,"ALIM","NASDAQ"
2019-06-06,0.94,0.94,0.9,0.92,43600,"ALIM","NASDAQ"
2019-06-07,0.92,0.96,0.915,0.93,44800,"ALIM","NASDAQ"
2019-06-10,0.93,0.945,0.9,0.92,76200,"ALIM","NASDAQ"
2019-06-11,0.923,0.945,0.919,0.92,26100,"ALIM","NASDAQ"
2019-06-12,0.91,0.94,0.91,0.92,23500,"ALIM","NASDAQ"
2019-06-13,0.9,0.943,0.9,0.92,7800,"ALIM","NASDAQ"
2019-06-14,0.912,0.933,0.901,0.925,59500,"ALIM","NASDAQ"
2019-06-17,0.925,0.938,0.92,0.92,39800,"ALIM","NASDAQ"
2019-06-18,0.921,0.935,0.88,0.92,79000,"ALIM","NASDAQ"
2019-06-19,0.92,0.945,0.92,0.92,42300,"ALIM","NASDAQ"
2019-06-20,0.99,1.03,0.91,0.92,155100,"ALIM","NASDAQ"
2019-06-21,0.92,0.95,0.91,0.926,173100,"ALIM","NASDAQ"
2019-06-24,0.92,0.95,0.9,0.917,119800,"ALIM","NASDAQ"
2019-06-25,0.93,0.96,0.9,0.92,82500,"ALIM","NASDAQ"
2019-06-26,0.9,0.947,0.9,0.94,75900,"ALIM","NASDAQ"
2019-06-27,0.931,0.988,0.91,0.92,27900,"ALIM","NASDAQ"
2019-06-28,0.92,0.966,0.8,0.89,262900,"ALIM","NASDAQ"
2019-07-01,0.9,0.96,0.89,0.9,46000,"ALIM","NASDAQ"
2019-07-02,0.906,0.93,0.857,0.88,61100,"ALIM","NASDAQ"
2019-07-03,0.88,0.885,0.87,0.885,39000,"ALIM","NASDAQ"
2019-07-05,0.87,0.884,0.867,0.884,24600,"ALIM","NASDAQ"
2019-07-08,0.91,0.92,0.88,0.89,116500,"ALIM","NASDAQ"
2019-07-09,0.91,0.91,0.89,0.89,14200,"ALIM","NASDAQ"
2019-07-10,0.89,0.9,0.88,0.88,325500,"ALIM","NASDAQ"
2019-07-11,0.9,0.9,0.87,0.88,127800,"ALIM","NASDAQ"
2019-07-12,0.88,0.89,0.87,0.87,96900,"ALIM","NASDAQ"
2019-07-15,0.87,0.89,0.87,0.87,46400,"ALIM","NASDAQ"
2019-07-16,0.87,0.88,0.86,0.87,65200,"ALIM","NASDAQ"
2019-07-17,0.89,0.89,0.86,0.86,61100,"ALIM","NASDAQ"
2019-07-18,0.86,0.88,0.86,0.87,49800,"ALIM","NASDAQ"
2019-07-19,0.86,0.88,0.86,0.87,35700,"ALIM","NASDAQ"
2019-07-22,0.87,0.88,0.85,0.87,91600,"ALIM","NASDAQ"
2019-07-23,0.92,0.92,0.86,0.87,28500,"ALIM","NASDAQ"
2019-07-24,0.91,0.91,0.87,0.87,38400,"ALIM","NASDAQ"
2019-07-25,0.89,0.91,0.87,0.87,111800,"ALIM","NASDAQ"
2019-07-26,0.9,0.91,0.86,0.91,158700,"ALIM","NASDAQ"
2019-07-29,0.92,0.95,0.86,0.89,148500,"ALIM","NASDAQ"
2019-07-30,0.75,0.79,0.61,0.64,2037700,"ALIM","NASDAQ"
2019-07-31,0.71,0.71,0.46,0.49,1953100,"ALIM","NASDAQ"
2019-08-01,0.5,0.63,0.5,0.6,722400,"ALIM","NASDAQ"
2019-08-02,0.64,0.65,0.55,0.58,231100,"ALIM","NASDAQ"
