"times","open","high","low","close","volume","symbol","market"
2019-05-30,22.67,23.08,22.02,22.03,1647300,"ALKS","NASDAQ"
2019-05-31,21.86,22.26,21.47,21.54,2243500,"ALKS","NASDAQ"
2019-06-03,21.49,22.481,21.29,22.42,1338600,"ALKS","NASDAQ"
2019-06-04,22.71,23.62,22.71,23.6,1454200,"ALKS","NASDAQ"
2019-06-05,23.7,23.7306,23.1,23.4,1715900,"ALKS","NASDAQ"
2019-06-06,23.4,23.63,22.58,22.67,899700,"ALKS","NASDAQ"
2019-06-07,22.86,23.04,22.5311,22.83,835900,"ALKS","NASDAQ"
2019-06-10,22.91,23.34,22.75,22.77,1302300,"ALKS","NASDAQ"
2019-06-11,23.09,23.375,22.335,22.42,589700,"ALKS","NASDAQ"
2019-06-12,22.48,22.7286,22.35,22.65,682900,"ALKS","NASDAQ"
2019-06-13,22.71,22.95,22.27,22.41,710700,"ALKS","NASDAQ"
2019-06-14,22.4108,22.45,21.87,21.89,956900,"ALKS","NASDAQ"
2019-06-17,22.13,22.395,22.01,22.18,1673100,"ALKS","NASDAQ"
2019-06-18,22.19,22.81,22.15,22.24,2276900,"ALKS","NASDAQ"
2019-06-19,22.31,22.76,22.2492,22.33,1337000,"ALKS","NASDAQ"
2019-06-20,22.7,23.017,22.32,22.41,1015000,"ALKS","NASDAQ"
2019-06-21,22.43,23.26,21.96,22.59,3312200,"ALKS","NASDAQ"
2019-06-24,22.6,22.6,21.58,21.61,1069500,"ALKS","NASDAQ"
2019-06-25,21.71,22.05,21.5,21.78,1096100,"ALKS","NASDAQ"
2019-06-26,21.85,22.18,21.4,21.47,888400,"ALKS","NASDAQ"
2019-06-27,21.5308,22.2,21.53,22.15,1547200,"ALKS","NASDAQ"
2019-06-28,22.3,22.63,22.17,22.54,4064900,"ALKS","NASDAQ"
2019-07-01,22.87,23.19,22.54,22.85,909200,"ALKS","NASDAQ"
2019-07-02,22.799,23.01,22.51,22.91,1195800,"ALKS","NASDAQ"
2019-07-03,22.9,23.45,22.744,23.41,728200,"ALKS","NASDAQ"
2019-07-05,23.31,23.55,22.45,22.72,910600,"ALKS","NASDAQ"
2019-07-08,22.64,22.64,21.72,22.38,1732600,"ALKS","NASDAQ"
2019-07-09,22.23,22.86,22.02,22.7,1191000,"ALKS","NASDAQ"
2019-07-10,22.95,23.17,22.45,23.06,1421000,"ALKS","NASDAQ"
2019-07-11,23.1,23.16,22.5297,22.94,1304900,"ALKS","NASDAQ"
2019-07-12,22.9918,23.14,22.44,22.53,941700,"ALKS","NASDAQ"
2019-07-15,23.42,23.71,22.95,23.34,1738000,"ALKS","NASDAQ"
2019-07-16,23.37,23.78,23.17,23.38,1677000,"ALKS","NASDAQ"
2019-07-17,23.3,23.43,22.69,23.09,1360700,"ALKS","NASDAQ"
2019-07-18,23.06,24.49,23.03,24.28,1467600,"ALKS","NASDAQ"
2019-07-19,24.1686,24.17,22.76,23.27,3425800,"ALKS","NASDAQ"
2019-07-22,23.49,23.62,22.76,22.83,928400,"ALKS","NASDAQ"
2019-07-23,22.84,23.34,22.76,22.8,1024000,"ALKS","NASDAQ"
2019-07-24,22.75,23.25,22.72,22.89,1249400,"ALKS","NASDAQ"
2019-07-25,25.18,25.35,20.73,20.89,3169800,"ALKS","NASDAQ"
2019-07-26,20.64,20.75,20.2,20.56,1839300,"ALKS","NASDAQ"
2019-07-29,20.59,22.17,19.85,21.86,2551900,"ALKS","NASDAQ"
2019-07-30,21.7792,23.5,21.78,23.17,2812900,"ALKS","NASDAQ"
2019-07-31,23.12,23.48,22.93,23.16,1924000,"ALKS","NASDAQ"
2019-08-01,23.21,23.31,22.48,23,1579500,"ALKS","NASDAQ"
2019-08-02,22.8213,22.91,22.08,22.3,1083400,"ALKS","NASDAQ"
2019-08-05,21.93,21.98,20.94,21.48,2168200,"ALKS","NASDAQ"
2019-08-06,21.7,21.72,20.46,21.33,1261200,"ALKS","NASDAQ"
2019-08-07,21.13,21.73,20.81,21.72,986400,"ALKS","NASDAQ"
2019-08-08,21.9491,22.99,21.9,22.87,2283100,"ALKS","NASDAQ"
2019-08-09,22.66,22.74,21.68,22.19,949500,"ALKS","NASDAQ"
2019-08-12,22.02,22.31,21.36,21.56,731400,"ALKS","NASDAQ"
2019-08-13,21.52,22.37,21.32,21.95,771600,"ALKS","NASDAQ"
2019-08-14,21.53,21.71,21.1,21.17,1120400,"ALKS","NASDAQ"
2019-08-15,21.3,21.3,20.72,20.85,674900,"ALKS","NASDAQ"
2019-08-16,21,21.79,20.68,21.65,878800,"ALKS","NASDAQ"
2019-08-19,22.04,22.41,21.76,22.08,721200,"ALKS","NASDAQ"
2019-08-20,22.03,22.39,21.69,21.77,648600,"ALKS","NASDAQ"
2019-08-21,22.05,22.28,21.59,22.24,620500,"ALKS","NASDAQ"
2019-08-22,22.32,22.38,21.34,21.37,836800,"ALKS","NASDAQ"
2019-08-23,21.25,21.49,19.95,20.07,922100,"ALKS","NASDAQ"
2019-08-26,20.36,20.47,19.38,19.59,1154200,"ALKS","NASDAQ"
2019-08-27,19.79,20.18,19.36,20.05,1655700,"ALKS","NASDAQ"
2019-08-28,20.04,20.99,19.82,20.55,839800,"ALKS","NASDAQ"
2019-08-29,20.72,21.14,20.48,20.99,680300,"ALKS","NASDAQ"
2019-08-30,21.08,21.15,20.75,20.98,632300,"ALKS","NASDAQ"
