"times","open","high","low","close","volume","symbol","market"
2019-05-30,43.3,43.62,39.66,39.74,242000,"ALLK","NASDAQ"
2019-05-31,39.17,39.81,38.22,39.2,254300,"ALLK","NASDAQ"
2019-06-03,39.43,40.6,38.2,40.05,289300,"ALLK","NASDAQ"
2019-06-04,40.02,41.42,39.03,39.78,320300,"ALLK","NASDAQ"
2019-06-05,40.09,40.17,38.84,39.96,226900,"ALLK","NASDAQ"
2019-06-06,40.12,40.65,39.1692,40,425600,"ALLK","NASDAQ"
2019-06-07,40.05,41.42,39.05,40.56,623300,"ALLK","NASDAQ"
2019-06-10,40.78,41.83,40.41,41.14,394700,"ALLK","NASDAQ"
2019-06-11,41.15,41.55,40.1,40.94,516700,"ALLK","NASDAQ"
2019-06-12,40.76,41.84,40.15,41.08,300500,"ALLK","NASDAQ"
2019-06-13,41.4,41.79,40.8696,41.24,280300,"ALLK","NASDAQ"
2019-06-14,41.33,42.36,40.97,42.03,427000,"ALLK","NASDAQ"
2019-06-17,42.12,43.48,41.36,43.3,326500,"ALLK","NASDAQ"
2019-06-18,43.45,45,43.08,44.45,312800,"ALLK","NASDAQ"
2019-06-19,44.43,44.95,43.69,44.13,154100,"ALLK","NASDAQ"
2019-06-20,44.27,44.9577,43.85,44.63,191300,"ALLK","NASDAQ"
2019-06-21,44.28,44.95,43.09,44.24,1420300,"ALLK","NASDAQ"
2019-06-24,44.402,44.4,41.04,41.14,395800,"ALLK","NASDAQ"
2019-06-25,41.23,41.4,39.64,40.41,481300,"ALLK","NASDAQ"
2019-06-26,40.63,41.7,40.07,40.79,179400,"ALLK","NASDAQ"
2019-06-27,40.91,42.34,40.91,42.15,141300,"ALLK","NASDAQ"
2019-06-28,42.37,43.83,41.4386,43.33,779600,"ALLK","NASDAQ"
2019-07-01,44.04,44.25,42.85,43.89,246600,"ALLK","NASDAQ"
2019-07-02,44.2695,44.5,42.62,43.01,273700,"ALLK","NASDAQ"
