"times","open","high","low","close","volume","symbol","market"
2019-05-30,68.07,69.21,67.615,68.71,572000,"ALNY","NASDAQ"
2019-05-31,68.04,68.91,67.09,67.52,612600,"ALNY","NASDAQ"
2019-06-03,67.68,68.81,66.17,66.87,1289900,"ALNY","NASDAQ"
2019-06-04,67.5813,68.83,65.95,68.8,781700,"ALNY","NASDAQ"
2019-06-05,69.25,71.0779,68,70.55,1095600,"ALNY","NASDAQ"
2019-06-06,69.88,71.65,69.43,70.8,585100,"ALNY","NASDAQ"
2019-06-07,71.18,71.5735,69.91,70.4,915800,"ALNY","NASDAQ"
2019-06-10,71.03,72.78,70.71,70.72,709100,"ALNY","NASDAQ"
2019-06-11,71.78,72.05,68.97,69.92,612500,"ALNY","NASDAQ"
2019-06-12,69.43,70.17,68.06,70,362000,"ALNY","NASDAQ"
2019-06-13,70.36,71.755,69.35,71.24,471800,"ALNY","NASDAQ"
2019-06-14,71.57,71.5769,69.77,70.03,413500,"ALNY","NASDAQ"
2019-06-17,70.31,72.25,69.8382,71.5,720800,"ALNY","NASDAQ"
2019-06-18,72.54,74.34,71.94,73.02,870300,"ALNY","NASDAQ"
2019-06-19,73.07,73.985,71.58,71.97,809300,"ALNY","NASDAQ"
2019-06-20,73.2815,74.27,72.57,73.44,388200,"ALNY","NASDAQ"
2019-06-21,73.48,74.85,72.2418,74.37,688700,"ALNY","NASDAQ"
2019-06-24,74.07,74.07,71.41,71.8,479800,"ALNY","NASDAQ"
2019-06-25,72,72.98,70.625,71.14,331900,"ALNY","NASDAQ"
2019-06-26,71.4,72.1,69.34,69.49,548100,"ALNY","NASDAQ"
2019-06-27,69.97,72.39,69.74,71.08,787200,"ALNY","NASDAQ"
2019-06-28,71.43,72.64,70.87,72.56,1112900,"ALNY","NASDAQ"
2019-07-01,73.69,74.5,70.97,72.01,645400,"ALNY","NASDAQ"
2019-07-02,71.86,73.8,71.42,72.97,398300,"ALNY","NASDAQ"
2019-07-03,72.96,73.7449,71.37,72.64,340600,"ALNY","NASDAQ"
2019-07-05,72.31,72.86,71.23,72.19,623500,"ALNY","NASDAQ"
2019-07-08,71.72,71.88,69.52,70.9,537700,"ALNY","NASDAQ"
2019-07-09,70.46,73.98,69.79,73.24,668300,"ALNY","NASDAQ"
2019-07-10,73.47,74.39,72.51,74.11,733700,"ALNY","NASDAQ"
2019-07-11,74.55,74.85,72.55,73.41,653400,"ALNY","NASDAQ"
2019-07-12,73.1,73.21,71.11,71.54,774700,"ALNY","NASDAQ"
2019-07-15,71.5297,73.59,71.15,72.79,592500,"ALNY","NASDAQ"
2019-07-16,72.79,74.45,71.9,74.24,507800,"ALNY","NASDAQ"
2019-07-17,74.24,74.95,72.02,72.68,966300,"ALNY","NASDAQ"
2019-07-18,72.9,76.31,72.73,75.89,786200,"ALNY","NASDAQ"
2019-07-19,75.95,75.95,74.75,75.37,1334900,"ALNY","NASDAQ"
2019-07-22,75.82,76.87,75.12,76.39,939600,"ALNY","NASDAQ"
2019-07-23,76.58,77.94,75.7005,76.9,656900,"ALNY","NASDAQ"
2019-07-24,76.9,77.19,75,76.48,695700,"ALNY","NASDAQ"
2019-07-25,76.08,76.32,73.42,74.14,708600,"ALNY","NASDAQ"
2019-07-26,74.46,76.5,73.88,76.36,346700,"ALNY","NASDAQ"
2019-07-29,76.5014,77.04,75.22,75.63,518000,"ALNY","NASDAQ"
2019-07-30,75.91,78.02,75.61,77.98,479900,"ALNY","NASDAQ"
2019-07-31,77.43,79.09,77.43,77.59,707800,"ALNY","NASDAQ"
2019-08-01,77.45,77.81,74.31,75.36,581900,"ALNY","NASDAQ"
2019-08-02,74.95,75.19,72.52,73.98,547900,"ALNY","NASDAQ"
2019-08-05,72.75,73.5,70.9,71.41,956200,"ALNY","NASDAQ"
2019-08-06,70,75.89,69.11,74.38,954900,"ALNY","NASDAQ"
2019-08-07,75.32,81.69,72.6679,80.5,1452000,"ALNY","NASDAQ"
2019-08-08,80.79,83.34,80.79,82.97,1088900,"ALNY","NASDAQ"
2019-08-09,82.83,84.48,79.4909,80.78,779000,"ALNY","NASDAQ"
2019-08-12,80,81.1537,78.59,78.88,644400,"ALNY","NASDAQ"
2019-08-13,79.1,81.48,78.6,80,791100,"ALNY","NASDAQ"
2019-08-14,78.94,80.39,78.73,79.05,965300,"ALNY","NASDAQ"
2019-08-15,79.08,79.73,77.68,78.37,382200,"ALNY","NASDAQ"
2019-08-16,78.77,81.01,78.77,80.69,481300,"ALNY","NASDAQ"
2019-08-19,81.98,82.5,80.46,82.2,723900,"ALNY","NASDAQ"
2019-08-20,81.94,84.3,81.51,82.14,619000,"ALNY","NASDAQ"
2019-08-21,83.43,84.23,81.97,83.37,552100,"ALNY","NASDAQ"
2019-08-22,83.99,84.25,81.03,82.16,706200,"ALNY","NASDAQ"
2019-08-23,81.72,83.98,81.3,81.89,792200,"ALNY","NASDAQ"
2019-08-26,83.56,83.92,81.58,82.24,700100,"ALNY","NASDAQ"
2019-08-27,82.96,83.95,81.5,82.21,1557500,"ALNY","NASDAQ"
2019-08-28,81.99,82.83,81.28,82.32,362600,"ALNY","NASDAQ"
2019-08-29,83,83.43,80.11,82.39,593200,"ALNY","NASDAQ"
2019-08-30,82.61,83.09,80.41,80.69,422500,"ALNY","NASDAQ"
2019-09-03,82.5,84.95,80.17,81.76,1004700,"ALNY","NASDAQ"
2019-09-04,82.26,83.46,80.69,82.33,746100,"ALNY","NASDAQ"
2019-09-05,82.97,83.73,81.67,83.14,470700,"ALNY","NASDAQ"
2019-09-06,83.14,83.44,79.74,79.82,648400,"ALNY","NASDAQ"
2019-09-09,79.41,83.13,78.52,82.69,780200,"ALNY","NASDAQ"
2019-09-10,82.22,84.48,81.58,84.27,754400,"ALNY","NASDAQ"
2019-09-11,84.7,86.98,84.35,86.17,642100,"ALNY","NASDAQ"
2019-09-12,86.66,86.98,83.08,83.17,613900,"ALNY","NASDAQ"
2019-09-13,83.14,85.69,83.04,83.69,862200,"ALNY","NASDAQ"
2019-09-16,83.47,86.54,83.3,84.77,554000,"ALNY","NASDAQ"
2019-09-17,85.03,88,84.99,87.82,946100,"ALNY","NASDAQ"
2019-09-18,87.95,87.97,84.54,85.49,738200,"ALNY","NASDAQ"
2019-09-19,85.84,86.38,84.3,84.6,654600,"ALNY","NASDAQ"
2019-09-20,84.9,87.19,84.77,86.5,1275400,"ALNY","NASDAQ"
2019-09-23,86.69,87.1,84.5,84.74,550900,"ALNY","NASDAQ"
2019-09-24,85.18,85.51,83.02,83.48,627500,"ALNY","NASDAQ"
2019-09-25,83.04,84.52,81.8,83.69,338700,"ALNY","NASDAQ"
2019-09-26,83.63,84.61,79.97,80.06,732700,"ALNY","NASDAQ"
2019-09-27,80.13,82.1,79.5,81.1,603400,"ALNY","NASDAQ"
2019-09-30,81.1,81.72,78.02,80.42,824600,"ALNY","NASDAQ"
2019-10-01,80.07,80.42,74.3,74.51,907600,"ALNY","NASDAQ"
2019-10-02,74.15,78.09,73.32,75.76,1020300,"ALNY","NASDAQ"
2019-10-03,75.58,76.99,74.26,76.7,514800,"ALNY","NASDAQ"
2019-10-04,76.54,78.71,75.01,77.02,517500,"ALNY","NASDAQ"
2019-10-07,76.98,78.44,76.22,76.98,460000,"ALNY","NASDAQ"
2019-10-08,76.41,77.31,74.19,75.49,622300,"ALNY","NASDAQ"
2019-10-09,76.52,77.55,75.87,77,444100,"ALNY","NASDAQ"
2019-10-10,76.74,78.54,76.73,77.64,304400,"ALNY","NASDAQ"
2019-10-11,78.8,79.57,77.51,78.97,407800,"ALNY","NASDAQ"
2019-10-14,78.53,80.5,78.27,79.14,332300,"ALNY","NASDAQ"
2019-10-15,79.53,81.43,79.49,80.85,537500,"ALNY","NASDAQ"
2019-10-16,80.96,82.66,80.39,81.67,793200,"ALNY","NASDAQ"
2019-10-17,81.99,83,80.94,81.88,495100,"ALNY","NASDAQ"
2019-10-18,81.91,85.1,81.34,84.78,601600,"ALNY","NASDAQ"
