"times","open","high","low","close","volume","symbol","market"
2019-05-30,26.04,26.43,25.95,26.43,21900,"ALOT","NASDAQ"
2019-05-31,26.2,26.318,25.26,25.61,24100,"ALOT","NASDAQ"
2019-06-03,26.1,26.66,25.77,26.08,88000,"ALOT","NASDAQ"
2019-06-04,26.65,26.71,25.8,25.95,70200,"ALOT","NASDAQ"
2019-06-05,26.97,26.97,25.82,25.93,110100,"ALOT","NASDAQ"
2019-06-06,25.97,26.4,25.81,25.96,34500,"ALOT","NASDAQ"
2019-06-07,26.14,26.45,25.87,26.12,50600,"ALOT","NASDAQ"
2019-06-10,25.97,26.1501,25.12,25.5,90000,"ALOT","NASDAQ"
2019-06-11,25.18,25.71,24.37,25.67,68500,"ALOT","NASDAQ"
2019-06-12,25.4099,26.08,25.37,25.99,65600,"ALOT","NASDAQ"
2019-06-13,26.1,26.355,25.81,25.9,38900,"ALOT","NASDAQ"
2019-06-14,25.85,26,25.495,25.68,21400,"ALOT","NASDAQ"
2019-06-17,25.61,25.83,24.44,24.5,41200,"ALOT","NASDAQ"
2019-06-18,24.58,25.68,24.543,25.22,27100,"ALOT","NASDAQ"
2019-06-19,25.38,26.34,25.335,25.81,42200,"ALOT","NASDAQ"
2019-06-20,25.99,26.15,25.71,25.97,69400,"ALOT","NASDAQ"
2019-06-21,25.8,26.13,25.1509,26.12,37600,"ALOT","NASDAQ"
2019-06-24,26.12,26.34,25.615,25.62,48400,"ALOT","NASDAQ"
2019-06-25,25.7,25.92,25.36,25.64,28300,"ALOT","NASDAQ"
2019-06-26,25.64,26.04,25.6,25.97,23700,"ALOT","NASDAQ"
2019-06-27,25.94,26.04,25.7,25.71,49400,"ALOT","NASDAQ"
2019-06-28,25.81,26.04,25.42,25.84,808500,"ALOT","NASDAQ"
2019-07-01,25.94,26,25.855,26,101900,"ALOT","NASDAQ"
2019-07-02,26,26.19,25.83,26,58100,"ALOT","NASDAQ"
2019-07-03,25.98,26.08,25.81,26,36800,"ALOT","NASDAQ"
2019-07-05,25.94,26.07,25.8,25.95,25400,"ALOT","NASDAQ"
2019-07-08,25.87,26.57,25.43,25.8,142300,"ALOT","NASDAQ"
2019-07-09,25.62,26.07,25.5,26,40600,"ALOT","NASDAQ"
2019-07-10,26.0016,26.08,25.59,25.79,28800,"ALOT","NASDAQ"
2019-07-11,25.78,25.78,24.76,25.16,48900,"ALOT","NASDAQ"
2019-07-12,25.16,25.38,24.5473,25.14,37400,"ALOT","NASDAQ"
2019-07-15,25.25,25.32,24.56,24.94,86300,"ALOT","NASDAQ"
2019-07-16,24.9,25.23,24.82,25.1,30900,"ALOT","NASDAQ"
2019-07-17,25.03,25.23,24.1927,24.9,43700,"ALOT","NASDAQ"
2019-07-18,24.92,24.92,24.54,24.64,22400,"ALOT","NASDAQ"
2019-07-19,24.58,24.6699,24.24,24.54,33300,"ALOT","NASDAQ"
2019-07-22,24.6102,24.61,23.62,23.72,43700,"ALOT","NASDAQ"
2019-07-23,23.66,24.17,23.4,23.92,35800,"ALOT","NASDAQ"
2019-07-24,24.05,24.54,23.52,24.14,38200,"ALOT","NASDAQ"
2019-07-25,23.95,24.36,23.6,23.61,33600,"ALOT","NASDAQ"
2019-07-26,23.63,24.07,23.63,23.86,24800,"ALOT","NASDAQ"
2019-07-29,23.99,23.99,23.15,23.49,124000,"ALOT","NASDAQ"
2019-07-30,23.21,24.53,23.08,23.79,39400,"ALOT","NASDAQ"
