"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.01,1.05,0.916,0.999,148500,"ALRN","NASDAQ"
2019-05-31,0.97,1.019,0.96,1,78300,"ALRN","NASDAQ"
2019-06-03,0.96,1.016,0.92,0.99,150200,"ALRN","NASDAQ"
2019-06-04,0.991,1.1,0.95,1,1551600,"ALRN","NASDAQ"
2019-06-05,1.0301,1.03,0.865,0.92,526400,"ALRN","NASDAQ"
2019-06-06,0.947,0.95,0.905,0.917,46900,"ALRN","NASDAQ"
2019-06-07,0.91,0.95,0.8,0.887,159600,"ALRN","NASDAQ"
2019-06-10,0.9,0.96,0.875,0.94,66000,"ALRN","NASDAQ"
2019-06-11,0.94,0.94,0.91,0.911,15800,"ALRN","NASDAQ"
2019-06-12,0.875,0.9,0.87,0.89,31000,"ALRN","NASDAQ"
2019-06-13,0.875,0.911,0.865,0.88,46400,"ALRN","NASDAQ"
2019-06-14,0.88,0.91,0.84,0.865,53200,"ALRN","NASDAQ"
2019-06-17,0.85,0.9,0.85,0.89,46700,"ALRN","NASDAQ"
2019-06-18,0.9,0.94,0.85,0.9,45700,"ALRN","NASDAQ"
2019-06-19,0.9,0.94,0.86,0.86,59300,"ALRN","NASDAQ"
2019-06-20,0.88,0.9,0.835,0.84,108000,"ALRN","NASDAQ"
2019-06-21,0.85,0.865,0.767,0.82,100300,"ALRN","NASDAQ"
2019-06-24,0.82,0.85,0.774,0.784,104200,"ALRN","NASDAQ"
2019-06-25,0.8,0.82,0.75,0.76,155700,"ALRN","NASDAQ"
2019-06-26,0.78,0.8,0.75,0.76,122200,"ALRN","NASDAQ"
2019-06-27,0.83,0.887,0.64,0.72,2593800,"ALRN","NASDAQ"
2019-06-28,0.725,0.725,0.605,0.72,429400,"ALRN","NASDAQ"
2019-07-01,0.749,0.749,0.65,0.685,140400,"ALRN","NASDAQ"
2019-07-02,0.66,0.692,0.63,0.692,161000,"ALRN","NASDAQ"
2019-07-03,0.695,0.696,0.66,0.69,32200,"ALRN","NASDAQ"
2019-07-05,0.702,0.72,0.66,0.7,252600,"ALRN","NASDAQ"
2019-07-08,0.72,0.83,0.682,0.7,724300,"ALRN","NASDAQ"
2019-07-09,0.7091,0.71,0.66,0.68,198400,"ALRN","NASDAQ"
2019-07-10,0.688,0.7,0.611,0.65,236600,"ALRN","NASDAQ"
2019-07-11,0.67,0.687,0.621,0.65,958900,"ALRN","NASDAQ"
2019-07-12,0.659,0.7,0.63,0.646,379000,"ALRN","NASDAQ"
2019-07-15,0.66,0.665,0.522,0.6,470700,"ALRN","NASDAQ"
2019-07-16,0.57,0.6,0.55,0.57,244500,"ALRN","NASDAQ"
2019-07-17,0.55,0.593,0.55,0.55,152400,"ALRN","NASDAQ"
2019-07-18,0.55,0.588,0.52,0.523,280100,"ALRN","NASDAQ"
2019-07-19,0.527,0.57,0.507,0.542,1193600,"ALRN","NASDAQ"
2019-07-22,0.548,0.575,0.445,0.507,603100,"ALRN","NASDAQ"
2019-07-23,0.56,0.56,0.49,0.5,282800,"ALRN","NASDAQ"
2019-07-24,0.51,0.51,0.455,0.5,200500,"ALRN","NASDAQ"
2019-07-25,0.5,0.5,0.48,0.49,126300,"ALRN","NASDAQ"
2019-07-26,0.49,0.5,0.48,0.485,362200,"ALRN","NASDAQ"
2019-07-29,0.48,0.552,0.48,0.538,268100,"ALRN","NASDAQ"
2019-07-30,0.51,0.545,0.5,0.51,194900,"ALRN","NASDAQ"
2019-07-31,0.523,0.539,0.5,0.5,106600,"ALRN","NASDAQ"
2019-08-01,0.502,0.6,0.502,0.571,795100,"ALRN","NASDAQ"
2019-08-02,0.58,0.58,0.532,0.553,129000,"ALRN","NASDAQ"
2019-08-05,0.553,0.553,0.529,0.533,195600,"ALRN","NASDAQ"
2019-08-06,0.54,0.553,0.52,0.54,147000,"ALRN","NASDAQ"
2019-08-07,0.52,0.553,0.5,0.51,231900,"ALRN","NASDAQ"
2019-08-08,0.51,0.553,0.51,0.51,105300,"ALRN","NASDAQ"
2019-08-09,0.52,0.533,0.506,0.522,79200,"ALRN","NASDAQ"
2019-08-12,0.55,0.65,0.525,0.599,621300,"ALRN","NASDAQ"
2019-08-13,0.645,0.648,0.61,0.61,313900,"ALRN","NASDAQ"
2019-08-14,0.61,0.61,0.586,0.598,132900,"ALRN","NASDAQ"
2019-08-15,0.63,0.63,0.579,0.581,187300,"ALRN","NASDAQ"
2019-08-16,0.62,0.63,0.571,0.59,240800,"ALRN","NASDAQ"
2019-08-19,0.6,0.69,0.595,0.679,409000,"ALRN","NASDAQ"
2019-08-20,0.669,0.72,0.662,0.72,313500,"ALRN","NASDAQ"
2019-08-21,0.73,0.775,0.72,0.769,473700,"ALRN","NASDAQ"
2019-08-22,0.78,0.82,0.686,0.698,516400,"ALRN","NASDAQ"
2019-08-23,0.709,0.75,0.66,0.73,241000,"ALRN","NASDAQ"
2019-08-26,0.736,0.801,0.736,0.801,575700,"ALRN","NASDAQ"
2019-08-27,0.802,0.83,0.78,0.795,766100,"ALRN","NASDAQ"
2019-08-28,0.79,0.83,0.76,0.791,457600,"ALRN","NASDAQ"
2019-08-29,0.807,0.81,0.7,0.795,379100,"ALRN","NASDAQ"
2019-08-30,0.79,0.79,0.7,0.73,203100,"ALRN","NASDAQ"
2019-09-03,0.73,0.75,0.68,0.695,160300,"ALRN","NASDAQ"
2019-09-04,0.688,0.75,0.666,0.75,246300,"ALRN","NASDAQ"
2019-09-05,0.745,0.78,0.702,0.776,180900,"ALRN","NASDAQ"
2019-09-06,0.75,0.84,0.75,0.82,264700,"ALRN","NASDAQ"
2019-09-09,0.84,0.842,0.77,0.802,190400,"ALRN","NASDAQ"
2019-09-10,0.803,0.84,0.8,0.805,228400,"ALRN","NASDAQ"
2019-09-11,0.811,0.879,0.8,0.85,377900,"ALRN","NASDAQ"
2019-09-12,0.85,1.05,0.85,0.965,1486000,"ALRN","NASDAQ"
2019-09-13,0.965,1.01,0.93,0.96,362900,"ALRN","NASDAQ"
2019-09-16,0.95,0.99,0.853,0.979,374500,"ALRN","NASDAQ"
2019-09-17,1.03,1.05,0.97,1.04,530000,"ALRN","NASDAQ"
2019-09-18,1.04,1.04,0.92,0.95,384000,"ALRN","NASDAQ"
2019-09-19,0.952,0.978,0.92,0.923,253000,"ALRN","NASDAQ"
2019-09-20,1.02,1.02,0.87,0.894,352200,"ALRN","NASDAQ"
2019-09-23,0.935,0.962,0.9,0.932,150600,"ALRN","NASDAQ"
2019-09-24,0.935,0.935,0.8,0.815,331500,"ALRN","NASDAQ"
2019-09-25,0.82,0.861,0.64,0.81,600300,"ALRN","NASDAQ"
2019-09-26,0.802,0.9,0.75,0.873,164500,"ALRN","NASDAQ"
2019-09-27,0.87,0.873,0.78,0.828,287500,"ALRN","NASDAQ"
2019-09-30,0.847,0.85,0.651,0.67,692600,"ALRN","NASDAQ"
2019-10-01,0.688,0.697,0.496,0.496,646700,"ALRN","NASDAQ"
2019-10-02,0.6,0.6,0.48,0.49,409300,"ALRN","NASDAQ"
2019-10-03,0.493,0.53,0.45,0.491,344500,"ALRN","NASDAQ"
2019-10-04,0.492,0.539,0.49,0.496,613600,"ALRN","NASDAQ"
2019-10-07,0.49,0.507,0.45,0.471,634300,"ALRN","NASDAQ"
2019-10-08,0.46,0.475,0.45,0.457,316300,"ALRN","NASDAQ"
2019-10-09,0.46,0.471,0.45,0.47,158300,"ALRN","NASDAQ"
2019-10-10,0.465,0.475,0.44,0.445,215700,"ALRN","NASDAQ"
2019-10-11,0.45,0.46,0.426,0.433,344400,"ALRN","NASDAQ"
2019-10-14,0.426,0.444,0.42,0.43,246400,"ALRN","NASDAQ"
2019-10-15,0.44,0.47,0.42,0.439,1764100,"ALRN","NASDAQ"
2019-10-16,0.52,0.52,0.412,0.445,4082700,"ALRN","NASDAQ"
2019-10-17,0.441,0.445,0.405,0.414,855500,"ALRN","NASDAQ"
2019-10-18,0.4137,0.425,0.4002,0.419,512118,"ALRN","NASDAQ"
