"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.66,1.69,1.65,1.65,12800,"ALSK","NASDAQ"
2019-05-31,1.65,1.67,1.645,1.65,23600,"ALSK","NASDAQ"
2019-06-03,1.64,1.7,1.63,1.7,55700,"ALSK","NASDAQ"
2019-06-04,1.7,1.7,1.68,1.68,12800,"ALSK","NASDAQ"
2019-06-05,1.68,1.69,1.68,1.685,9000,"ALSK","NASDAQ"
2019-06-06,1.69,1.69,1.68,1.68,33500,"ALSK","NASDAQ"
2019-06-07,1.68,1.69,1.68,1.68,16400,"ALSK","NASDAQ"
2019-06-10,1.68,1.69,1.68,1.68,56000,"ALSK","NASDAQ"
2019-06-11,1.69,1.69,1.68,1.69,42100,"ALSK","NASDAQ"
2019-06-12,1.68,1.69,1.61,1.65,235000,"ALSK","NASDAQ"
2019-06-13,1.66,1.672,1.63,1.64,28500,"ALSK","NASDAQ"
2019-06-14,1.62,1.7897,1.62,1.78,144200,"ALSK","NASDAQ"
2019-06-17,1.8,1.8,1.73,1.745,146100,"ALSK","NASDAQ"
2019-06-18,1.74,1.8,1.68,1.7,71600,"ALSK","NASDAQ"
2019-06-19,1.7,1.74,1.68,1.68,29800,"ALSK","NASDAQ"
2019-06-20,1.6801,1.72,1.68,1.68,64500,"ALSK","NASDAQ"
2019-06-21,1.79,1.8,1.7,1.7,82800,"ALSK","NASDAQ"
2019-06-24,1.7,1.742,1.68,1.69,58800,"ALSK","NASDAQ"
2019-06-25,1.69,1.721,1.68,1.68,44500,"ALSK","NASDAQ"
2019-06-26,1.68,1.74,1.68,1.68,51500,"ALSK","NASDAQ"
2019-06-27,1.7,1.755,1.7,1.74,139900,"ALSK","NASDAQ"
2019-06-28,1.75,1.75,1.7,1.71,73000,"ALSK","NASDAQ"
2019-07-01,1.72,1.72,1.69,1.69,136500,"ALSK","NASDAQ"
2019-07-02,1.68,1.73,1.6799,1.68,59600,"ALSK","NASDAQ"
2019-07-03,1.69,1.71,1.68,1.68,35200,"ALSK","NASDAQ"
2019-07-05,1.6899,1.77,1.69,1.69,60400,"ALSK","NASDAQ"
2019-07-08,1.7,1.75,1.7,1.73,71400,"ALSK","NASDAQ"
2019-07-09,1.75,1.78,1.7101,1.72,59800,"ALSK","NASDAQ"
2019-07-10,1.72,1.78,1.7,1.73,84000,"ALSK","NASDAQ"
2019-07-11,1.75,1.81,1.74,1.8,79300,"ALSK","NASDAQ"
2019-07-12,1.8,1.81,1.7799,1.78,80800,"ALSK","NASDAQ"
2019-07-15,1.77,1.82,1.77,1.82,47500,"ALSK","NASDAQ"
2019-07-16,1.82,1.85,1.8,1.83,51900,"ALSK","NASDAQ"
2019-07-17,1.81,1.8699,1.8,1.8,70700,"ALSK","NASDAQ"
2019-07-18,1.8,1.83,1.76,1.82,51300,"ALSK","NASDAQ"
2019-07-19,1.78,1.88,1.78,1.87,54800,"ALSK","NASDAQ"
2019-07-22,1.9,1.94,1.87,1.91,127900,"ALSK","NASDAQ"
2019-07-23,1.9,1.92,1.87,1.89,49100,"ALSK","NASDAQ"
2019-07-24,1.88,1.94,1.88,1.92,59500,"ALSK","NASDAQ"
2019-07-25,1.9,1.95,1.9,1.94,78200,"ALSK","NASDAQ"
2019-07-26,1.93,1.97,1.91,1.94,65600,"ALSK","NASDAQ"
2019-07-29,1.98,1.98,1.87,1.87,95000,"ALSK","NASDAQ"
2019-07-30,1.84,1.94,1.84,1.85,76300,"ALSK","NASDAQ"
2019-07-31,1.87,1.95,1.85,1.85,68200,"ALSK","NASDAQ"
2019-08-01,1.87,1.95,1.8099,1.85,95000,"ALSK","NASDAQ"
2019-08-02,1.85,1.9,1.85,1.85,32500,"ALSK","NASDAQ"
2019-08-05,1.85,1.9,1.78,1.78,70700,"ALSK","NASDAQ"
2019-08-06,1.8,1.85,1.79,1.84,250400,"ALSK","NASDAQ"
2019-08-07,1.85,1.93,1.802,1.9,73000,"ALSK","NASDAQ"
2019-08-08,1.8301,1.93,1.71,1.79,152800,"ALSK","NASDAQ"
2019-08-09,1.79,1.85,1.75,1.79,710000,"ALSK","NASDAQ"
2019-08-12,1.78,1.86,1.7399,1.76,77600,"ALSK","NASDAQ"
2019-08-13,1.75,1.79,1.71,1.731,65100,"ALSK","NASDAQ"
2019-08-14,1.7,1.72,1.68,1.68,104100,"ALSK","NASDAQ"
2019-08-15,1.69,1.76,1.68,1.76,107100,"ALSK","NASDAQ"
2019-08-16,1.75,1.78,1.72,1.74,42500,"ALSK","NASDAQ"
2019-08-19,1.74,1.79,1.73,1.75,104700,"ALSK","NASDAQ"
2019-08-20,1.73,1.81,1.73,1.76,64400,"ALSK","NASDAQ"
2019-08-21,1.76,1.82,1.76,1.79,45500,"ALSK","NASDAQ"
2019-08-22,1.78,1.87,1.78,1.84,47500,"ALSK","NASDAQ"
2019-08-23,1.83,1.86,1.78,1.79,56900,"ALSK","NASDAQ"
2019-08-26,1.78,1.89,1.77,1.81,67200,"ALSK","NASDAQ"
2019-08-27,1.81,1.88,1.75,1.76,83000,"ALSK","NASDAQ"
2019-08-28,1.75,1.79,1.73,1.73,78500,"ALSK","NASDAQ"
2019-08-29,1.73,1.77,1.69,1.71,125100,"ALSK","NASDAQ"
