"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.49,2.5,2.42,2.43,124500,"ALT","NASDAQ"
2019-05-31,2.42,2.45,2.36,2.43,152200,"ALT","NASDAQ"
2019-06-03,2.41,2.54,2.41,2.48,115900,"ALT","NASDAQ"
2019-06-04,2.47,2.49,2.44,2.445,128500,"ALT","NASDAQ"
2019-06-05,2.5,2.56,2.32,2.44,361800,"ALT","NASDAQ"
2019-06-06,2.44,2.4601,2.27,2.32,186300,"ALT","NASDAQ"
2019-06-07,2.31,2.39,2.238,2.36,247500,"ALT","NASDAQ"
2019-06-10,2.4101,2.53,2.34,2.34,219200,"ALT","NASDAQ"
2019-06-11,2.42,2.42,2.317,2.35,82900,"ALT","NASDAQ"
2019-06-12,2.362,2.41,2.32,2.35,110300,"ALT","NASDAQ"
2019-06-13,2.38,2.48,2.35,2.48,199200,"ALT","NASDAQ"
2019-06-14,2.46,2.62,2.44,2.58,378400,"ALT","NASDAQ"
2019-06-17,2.58,2.6,2.45,2.46,236200,"ALT","NASDAQ"
2019-06-18,2.5,2.58,2.3502,2.36,327100,"ALT","NASDAQ"
2019-06-19,2.39,2.44,2.3,2.33,160300,"ALT","NASDAQ"
2019-06-20,2.36,2.402,2.3,2.31,128000,"ALT","NASDAQ"
2019-06-21,2.31,2.3401,2.23,2.3,111800,"ALT","NASDAQ"
2019-06-24,2.28,2.31,2.1999,2.2,140300,"ALT","NASDAQ"
2019-06-25,2.2,2.236,2.135,2.19,194800,"ALT","NASDAQ"
2019-06-26,2.24,2.27,2.21,2.23,107400,"ALT","NASDAQ"
2019-06-27,2.23,2.38,2.219,2.31,218400,"ALT","NASDAQ"
2019-06-28,2.31,2.38,2.31,2.38,116100,"ALT","NASDAQ"
2019-07-01,2.36,2.49,2.3539,2.38,146700,"ALT","NASDAQ"
2019-07-02,2.37,2.45,2.35,2.36,99900,"ALT","NASDAQ"
2019-07-03,2.33,2.43,2.33,2.38,70900,"ALT","NASDAQ"
2019-07-05,2.4,2.44,2.378,2.42,72700,"ALT","NASDAQ"
2019-07-08,2.43,2.54,2.41,2.5,159600,"ALT","NASDAQ"
2019-07-09,2.85,2.95,2.52,2.66,5558200,"ALT","NASDAQ"
2019-07-10,2.54,2.57,2.4,2.45,593000,"ALT","NASDAQ"
2019-07-11,2.43,2.4503,2.36,2.4,323100,"ALT","NASDAQ"
2019-07-12,2.43,2.49,2.35,2.45,269200,"ALT","NASDAQ"
2019-07-15,2.48,2.49,2.4,2.47,116000,"ALT","NASDAQ"
2019-07-16,2.46,2.53,2.44,2.49,162800,"ALT","NASDAQ"
2019-07-17,2.48,2.48,2.41,2.45,73900,"ALT","NASDAQ"
2019-07-18,2.43,2.438,2.32,2.33,166900,"ALT","NASDAQ"
2019-07-19,2.41,2.54,2.31,2.35,1198000,"ALT","NASDAQ"
2019-07-22,2.36,2.373,2.23,2.34,472100,"ALT","NASDAQ"
2019-07-23,2.32,2.37,2.26,2.31,298800,"ALT","NASDAQ"
