"times","open","high","low","close","volume","symbol","market"
2019-05-30,37.44,38.54,37.43,38.44,549200,"AMBA","NASDAQ"
2019-05-31,37.85,38.51,37.45,37.91,361900,"AMBA","NASDAQ"
2019-06-03,37.73,39.109,37.12,38.11,843100,"AMBA","NASDAQ"
2019-06-04,39.04,39.86,38.056,39.75,917500,"AMBA","NASDAQ"
2019-06-05,42.55,43.75,38.95,39.78,3584800,"AMBA","NASDAQ"
2019-06-06,39.75,40.025,37.87,38.97,1036300,"AMBA","NASDAQ"
2019-06-07,39.2,39.8,38.23,38.96,1191800,"AMBA","NASDAQ"
2019-06-10,39.25,41.84,39.25,41.47,821700,"AMBA","NASDAQ"
2019-06-11,41.93,42.435,41.44,42.3,619800,"AMBA","NASDAQ"
2019-06-12,40.66,42.54,40.66,42.15,356200,"AMBA","NASDAQ"
2019-06-13,42.28,42.85,41.89,42.09,494400,"AMBA","NASDAQ"
2019-06-14,41.72,41.72,41,41.38,295200,"AMBA","NASDAQ"
2019-06-17,41.57,42.26,41.376,41.7,325500,"AMBA","NASDAQ"
2019-06-18,41.93,44.11,41.5,43.38,743500,"AMBA","NASDAQ"
2019-06-19,43.77,43.799,43.1,43.72,270200,"AMBA","NASDAQ"
2019-06-20,44.2,44.73,43.78,43.97,336600,"AMBA","NASDAQ"
2019-06-21,43.78,44.64,43.3,44.45,759700,"AMBA","NASDAQ"
2019-06-24,44.2622,44.505,43.39,43.87,338000,"AMBA","NASDAQ"
2019-06-25,43.54,44.83,43.54,44,391300,"AMBA","NASDAQ"
2019-06-26,44.47,45.59,44.19,44.27,422200,"AMBA","NASDAQ"
2019-06-27,44.3325,45,44.04,44.31,323100,"AMBA","NASDAQ"
2019-06-28,44.53,44.64,43.81,44.13,500900,"AMBA","NASDAQ"
2019-07-01,45.53,46.2291,44.34,44.97,457300,"AMBA","NASDAQ"
2019-07-02,45.2,45.2,44.26,44.46,332600,"AMBA","NASDAQ"
2019-07-03,44.29,44.57,43.66,44.45,239000,"AMBA","NASDAQ"
2019-07-05,44.04,44.51,43.4,44.5,306400,"AMBA","NASDAQ"
2019-07-08,44.25,44.93,43.62,44.88,385500,"AMBA","NASDAQ"
2019-07-09,44.6,45.97,44,45.23,426000,"AMBA","NASDAQ"
2019-07-10,45.24,46.17,44.82,45.19,340400,"AMBA","NASDAQ"
