"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.41,15.635,15.04,15.19,334400,"AMBC","NASDAQ"
2019-05-31,15.15,15.22,14.98,15.2,343600,"AMBC","NASDAQ"
2019-06-03,15.18,15.24,14.77,15.14,377100,"AMBC","NASDAQ"
2019-06-04,15.42,15.55,15.25,15.48,265000,"AMBC","NASDAQ"
2019-06-05,15.47,15.47,15.03,15.12,249200,"AMBC","NASDAQ"
2019-06-06,15.06,15.095,14.77,14.97,292600,"AMBC","NASDAQ"
2019-06-07,14.9807,14.98,14.78,14.88,219600,"AMBC","NASDAQ"
2019-06-10,14.91,15.07,14.67,14.71,300700,"AMBC","NASDAQ"
2019-06-11,14.85,14.91,14.7,14.87,334700,"AMBC","NASDAQ"
2019-06-12,14.5,14.81,14.44,14.54,433900,"AMBC","NASDAQ"
2019-06-13,14.56,15.221,14.5589,15.18,475200,"AMBC","NASDAQ"
2019-06-14,15.18,15.27,14.99,15.08,294700,"AMBC","NASDAQ"
2019-06-17,15.1,15.17,14.94,15.1,163000,"AMBC","NASDAQ"
2019-06-18,15.11,16.05,15.11,15.91,479400,"AMBC","NASDAQ"
2019-06-19,15.92,16.9704,15.92,16.6,740400,"AMBC","NASDAQ"
2019-06-20,16.71,17.01,16.71,16.74,416600,"AMBC","NASDAQ"
2019-06-21,16.68,17.06,16.51,16.94,562100,"AMBC","NASDAQ"
2019-06-24,16.99,17.09,16.8,16.8,333800,"AMBC","NASDAQ"
2019-06-25,16.76,17.03,16.51,16.9,340700,"AMBC","NASDAQ"
2019-06-26,16.9904,17.04,16.5,16.51,240700,"AMBC","NASDAQ"
2019-06-27,16.5,16.88,16.499,16.79,182100,"AMBC","NASDAQ"
2019-06-28,16.8,16.9477,16.71,16.85,385100,"AMBC","NASDAQ"
2019-07-01,17.07,17.1,16.81,16.92,219600,"AMBC","NASDAQ"
2019-07-02,16.84,17.06,16.69,16.91,188000,"AMBC","NASDAQ"
2019-07-03,16.99,17.26,16.755,17.11,359800,"AMBC","NASDAQ"
2019-07-05,17.09,17.16,16.94,17.08,250300,"AMBC","NASDAQ"
2019-07-08,17.06,17.53,16.84,17.52,240300,"AMBC","NASDAQ"
2019-07-09,17.4,17.89,17.4,17.69,322100,"AMBC","NASDAQ"
2019-07-10,17.8,17.92,17.61,17.69,185800,"AMBC","NASDAQ"
2019-07-11,17.74,17.75,17.42,17.51,189900,"AMBC","NASDAQ"
2019-07-12,17.58,17.69,17.45,17.58,157100,"AMBC","NASDAQ"
2019-07-15,17.55,17.66,17.36,17.43,158300,"AMBC","NASDAQ"
2019-07-16,17.45,17.59,17.32,17.35,222400,"AMBC","NASDAQ"
2019-07-17,17.35,17.47,17.121,17.2,220300,"AMBC","NASDAQ"
2019-07-18,17.16,17.34,17.16,17.31,196400,"AMBC","NASDAQ"
2019-07-19,17.21,17.95,17.21,17.52,316100,"AMBC","NASDAQ"
2019-07-22,17.55,17.69,17.32,17.55,114700,"AMBC","NASDAQ"
2019-07-23,17.55,17.69,17.43,17.65,156600,"AMBC","NASDAQ"
2019-07-24,17.54,18.05,17.5403,18,267200,"AMBC","NASDAQ"
2019-07-25,17.93,18.03,17.74,17.8,116600,"AMBC","NASDAQ"
2019-07-26,17.81,17.96,17.69,17.93,155600,"AMBC","NASDAQ"
2019-07-29,17.92,17.99,17.67,17.78,161500,"AMBC","NASDAQ"
2019-07-30,17.71,18.23,17.68,18.22,200300,"AMBC","NASDAQ"
