"times","open","high","low","close","volume","symbol","market"
2019-05-30,27.29,27.3072,27.29,27.307,600,"AMCA","NASDAQ"
2019-05-31,27.307,27.307,27.307,27.307,100,"AMCA","NASDAQ"
2019-06-03,27.09,27.176,27.06,27.17,2800,"AMCA","NASDAQ"
2019-06-04,27.58,27.58,27.58,27.58,600,"AMCA","NASDAQ"
2019-06-05,27.67,27.88,27.67,27.85,7600,"AMCA","NASDAQ"
2019-06-06,27.88,27.889,27.88,27.889,800,"AMCA","NASDAQ"
2019-06-07,28.2,28.2,28.1,28.1,200,"AMCA","NASDAQ"
2019-06-10,28.2,28.2,28.2,28.2,200,"AMCA","NASDAQ"
2019-06-11,28.14,28.14,28.1,28.1,800,"AMCA","NASDAQ"
2019-06-12,28,28,27.994,27.994,200,"AMCA","NASDAQ"
2019-06-13,28.06,28.11,28.055,28.055,700,"AMCA","NASDAQ"
2019-06-14,28.0423,28.12,28.04,28.12,900,"AMCA","NASDAQ"
2019-06-17,28.05,28.05,28.05,28.05,100,"AMCA","NASDAQ"
2019-06-18,28.23,28.24,28.23,28.24,500,"AMCA","NASDAQ"
2019-06-19,28.2,28.2,28.16,28.16,300,"AMCA","NASDAQ"
2019-06-20,28.52,28.52,28.19,28.19,1700,"AMCA","NASDAQ"
2019-06-21,28.435,28.435,28.38,28.38,700,"AMCA","NASDAQ"
2019-06-24,28.322,28.3217,28.17,28.17,700,"AMCA","NASDAQ"
2019-06-25,28.12,28.12,28.05,28.051,700,"AMCA","NASDAQ"
2019-06-26,27.97,27.97,27.88,27.88,3000,"AMCA","NASDAQ"
2019-06-27,27.97,28.07,27.93,28.07,600,"AMCA","NASDAQ"
2019-06-28,28.14,28.24,28.14,28.24,200,"AMCA","NASDAQ"
2019-07-01,28.37,28.48,28.3726,28.38,400,"AMCA","NASDAQ"
2019-07-02,28.44,28.44,28.38,28.4,900,"AMCA","NASDAQ"
2019-07-03,28.68,28.68,28.68,28.68,100,"AMCA","NASDAQ"
2019-07-05,28.57,28.63,28.57,28.63,1100,"AMCA","NASDAQ"
2019-07-08,28.74,28.74,28.61,28.61,300,"AMCA","NASDAQ"
2019-07-09,28.6,28.67,28.6,28.616,600,"AMCA","NASDAQ"
2019-07-10,28.71,28.71,28.71,28.71,100,"AMCA","NASDAQ"
2019-07-11,28.82,28.82,28.8199,28.82,100,"AMCA","NASDAQ"
2019-07-12,28.9,28.9694,28.9,28.97,400,"AMCA","NASDAQ"
2019-07-15,29.23,29.23,29.04,29.04,400,"AMCA","NASDAQ"
2019-07-16,29.1108,29.11,28.934,28.934,700,"AMCA","NASDAQ"
2019-07-17,28.7904,28.8,28.75,28.75,600,"AMCA","NASDAQ"
2019-07-18,28.73,28.78,28.73,28.78,500,"AMCA","NASDAQ"
2019-07-19,28.7758,28.78,28.751,28.751,300,"AMCA","NASDAQ"
2019-07-22,28.75,28.75,28.54,28.54,400,"AMCA","NASDAQ"
2019-07-23,28.5407,28.665,28.54,28.665,1200,"AMCA","NASDAQ"
2019-07-24,28.56,28.69,28.56,28.69,500,"AMCA","NASDAQ"
2019-07-25,28.6897,28.69,28.69,28.69,0,"AMCA","NASDAQ"
2019-07-26,28.925,28.925,28.925,28.925,100,"AMCA","NASDAQ"
2019-07-29,28.9,29,28.9,28.942,1200,"AMCA","NASDAQ"
2019-07-30,28.9,29,28.9,28.942,100,"AMCA","NASDAQ"
2019-07-31,29.07,29.07,28.69,28.69,1500,"AMCA","NASDAQ"
2019-08-01,28.72,28.72,28.46,28.46,2900,"AMCA","NASDAQ"
