"times","open","high","low","close","volume","symbol","market"
2019-05-30,53.02,54.34,52.9,53.56,647300,"AMCX","NASDAQ"
2019-05-31,53.13,53.8,52.51,52.77,838700,"AMCX","NASDAQ"
2019-06-03,53.79,54.51,52.7811,54.38,769200,"AMCX","NASDAQ"
2019-06-04,54.76,55.56,54.31,55.29,455700,"AMCX","NASDAQ"
2019-06-05,55.38,55.87,54.22,54.6,677800,"AMCX","NASDAQ"
2019-06-06,54.43,55.02,54.05,54.82,511200,"AMCX","NASDAQ"
2019-06-07,55.12,55.55,54.58,55.24,354200,"AMCX","NASDAQ"
2019-06-10,55.53,55.89,54.27,54.63,307800,"AMCX","NASDAQ"
2019-06-11,54.96,55.1818,54.08,54.59,627400,"AMCX","NASDAQ"
2019-06-12,54.49,55.13,54.18,54.42,420800,"AMCX","NASDAQ"
2019-06-13,54.5,55.41,54.1,55.3,417800,"AMCX","NASDAQ"
2019-06-14,55.2,55.22,54.56,54.78,366000,"AMCX","NASDAQ"
2019-06-17,54.75,55.61,54.555,55.08,389800,"AMCX","NASDAQ"
2019-06-18,55.23,56.04,54.9,55.03,407600,"AMCX","NASDAQ"
2019-06-19,55.12,56.13,54.81,55.95,343900,"AMCX","NASDAQ"
2019-06-20,56.25,56.44,55.54,55.78,365100,"AMCX","NASDAQ"
2019-06-21,55.69,56.3,55.05,56.03,790400,"AMCX","NASDAQ"
2019-06-24,55.81,55.92,54.51,55,296900,"AMCX","NASDAQ"
2019-06-25,55.07,55.07,54.05,54.18,512400,"AMCX","NASDAQ"
2019-06-26,54.2688,54.8,53.67,53.82,543100,"AMCX","NASDAQ"
2019-06-27,54.09,54.31,53.491,54,524900,"AMCX","NASDAQ"
2019-06-28,54.04,55.12,54.0417,54.49,638800,"AMCX","NASDAQ"
2019-07-01,55.3,55.74,54.47,54.8,403400,"AMCX","NASDAQ"
2019-07-02,54.91,55.245,54.26,55.06,334600,"AMCX","NASDAQ"
2019-07-03,55.2358,55.875,55.01,55.48,206700,"AMCX","NASDAQ"
2019-07-05,55.48,56.29,55.37,56.16,250000,"AMCX","NASDAQ"
2019-07-08,56.02,56.24,55.38,55.88,268500,"AMCX","NASDAQ"
2019-07-09,55.74,56.3,55.54,55.95,316900,"AMCX","NASDAQ"
2019-07-10,56.01,56.61,55.61,55.96,317800,"AMCX","NASDAQ"
2019-07-11,56.09,56.68,55.94,56.42,279000,"AMCX","NASDAQ"
2019-07-12,56.39,57.04,56.19,56.7,380000,"AMCX","NASDAQ"
2019-07-15,56.65,56.9602,55.67,56.18,367600,"AMCX","NASDAQ"
2019-07-16,56.18,56.89,56.12,56.17,383200,"AMCX","NASDAQ"
2019-07-17,56.19,56.36,55.13,55.17,262300,"AMCX","NASDAQ"
2019-07-18,55.31,55.4,54.36,54.6,260900,"AMCX","NASDAQ"
2019-07-19,54.57,54.96,54.27,54.3,302500,"AMCX","NASDAQ"
2019-07-22,54.39,54.76,52.17,52.36,704500,"AMCX","NASDAQ"
2019-07-23,52.38,52.93,51.13,52.06,780100,"AMCX","NASDAQ"
2019-07-24,52.22,52.7,51.47,52.51,588900,"AMCX","NASDAQ"
2019-07-25,52.69,53.04,52.3084,52.57,521900,"AMCX","NASDAQ"
2019-07-26,52.74,53,52.57,52.81,435200,"AMCX","NASDAQ"
2019-07-29,52.83,52.98,52.22,52.87,634200,"AMCX","NASDAQ"
2019-07-30,53.35,54.68,53.19,54.57,1065700,"AMCX","NASDAQ"
2019-07-31,52.77,54.45,51.26,53.38,1505700,"AMCX","NASDAQ"
2019-08-01,52.92,54.17,52.63,53.46,883600,"AMCX","NASDAQ"
2019-08-02,53.37,53.46,52.02,53.18,494500,"AMCX","NASDAQ"
