"times","open","high","low","close","volume","symbol","market"
2019-05-30,108.9891,113.69,108.41,112.34,503300,"AMED","NASDAQ"
2019-05-31,110.7,112.69,110.7,112.31,423200,"AMED","NASDAQ"
2019-06-03,112.11,113.46,108.655,110.63,449400,"AMED","NASDAQ"
2019-06-04,111.77,114.14,110.92,113.49,337200,"AMED","NASDAQ"
2019-06-05,114.65,115.56,113.675,114.43,325000,"AMED","NASDAQ"
2019-06-06,114.67,115.92,113.065,113.33,302100,"AMED","NASDAQ"
2019-06-07,113.52,116.08,113,115.72,345400,"AMED","NASDAQ"
2019-06-10,115.99,118.98,115.94,117.41,236800,"AMED","NASDAQ"
2019-06-11,118.35,118.63,115.27,117.6,559600,"AMED","NASDAQ"
2019-06-12,116.92,118.62,115.19,118.04,306200,"AMED","NASDAQ"
2019-06-13,118.21,119.02,117.3,118.65,317700,"AMED","NASDAQ"
2019-06-14,118.3,119.64,118.06,118.47,190900,"AMED","NASDAQ"
2019-06-17,118.78,120.74,118.78,119.53,236100,"AMED","NASDAQ"
2019-06-18,119.75,121.69,119.165,120.71,203400,"AMED","NASDAQ"
2019-06-19,120.46,121.56,119.84,121.42,215800,"AMED","NASDAQ"
2019-06-20,121.64,122.84,118.24,120.65,338300,"AMED","NASDAQ"
2019-06-21,119.93,123.245,118.7,123.07,555100,"AMED","NASDAQ"
2019-06-24,122.66,123.008,120.875,121.92,267700,"AMED","NASDAQ"
2019-06-25,122.52,123.073,121.04,121.51,209100,"AMED","NASDAQ"
2019-06-26,122.43,123.3337,118.59,118.7,221200,"AMED","NASDAQ"
2019-06-27,119,120.47,118.55,119.67,254300,"AMED","NASDAQ"
2019-06-28,119.6297,122.85,118.98,121.41,1159700,"AMED","NASDAQ"
2019-07-01,122.33,122.33,116.68,117.97,298900,"AMED","NASDAQ"
2019-07-02,117.88,120.18,115.41,119.57,216600,"AMED","NASDAQ"
2019-07-03,119.76,121.76,119.59,120.06,148200,"AMED","NASDAQ"
2019-07-05,118.95,122.28,118.95,122.01,231500,"AMED","NASDAQ"
2019-07-08,121.96,123.22,120.9488,122.71,258800,"AMED","NASDAQ"
2019-07-09,121.93,123.39,118.7996,120.58,221900,"AMED","NASDAQ"
2019-07-10,121.14,122.21,120.15,120.79,214600,"AMED","NASDAQ"
2019-07-11,121.91,123.9965,120.77,123,438500,"AMED","NASDAQ"
2019-07-12,122.5786,123.38,121.39,123,302500,"AMED","NASDAQ"
2019-07-15,123.4,127.56,123.16,124.1,385900,"AMED","NASDAQ"
2019-07-16,124.33,125.42,123.62,123.79,436600,"AMED","NASDAQ"
2019-07-17,123.6,126.7,122.76,126.07,378200,"AMED","NASDAQ"
2019-07-18,125.87,130,125.7684,127.56,386200,"AMED","NASDAQ"
2019-07-19,127.28,128.11,126.1331,127.75,235300,"AMED","NASDAQ"
2019-07-22,127.72,128.99,125.51,126.21,354000,"AMED","NASDAQ"
2019-07-23,126.6,128.49,124.63,128.09,224000,"AMED","NASDAQ"
2019-07-24,127.63,130.31,126.07,130.16,235300,"AMED","NASDAQ"
2019-07-25,129.98,133.48,128.32,132.41,477100,"AMED","NASDAQ"
2019-07-26,132.88,136.11,132.08,135.83,371400,"AMED","NASDAQ"
2019-07-29,135.4385,137.22,134.09,137.05,464900,"AMED","NASDAQ"
2019-07-30,136.3,137.72,135.19,137.68,397800,"AMED","NASDAQ"
2019-07-31,137.95,140.23,136.52,137.89,496600,"AMED","NASDAQ"
2019-08-01,141.59,141.98,133.11,135.06,696300,"AMED","NASDAQ"
2019-08-02,133.78,136.7389,133.2,135.01,419400,"AMED","NASDAQ"
2019-08-05,130.11,133.11,128.19,130.83,569300,"AMED","NASDAQ"
2019-08-06,130.62,133.09,130.2,132.82,451000,"AMED","NASDAQ"
2019-08-07,131.57,134.025,130.62,133.08,254300,"AMED","NASDAQ"
2019-08-08,133.1,136.5,132.69,135.99,392000,"AMED","NASDAQ"
2019-08-09,135.2501,136.77,134.46,135.63,186900,"AMED","NASDAQ"
2019-08-12,134.66,134.66,130.99,131.11,305700,"AMED","NASDAQ"
2019-08-13,130.9144,134.72,130.61,134.64,188200,"AMED","NASDAQ"
2019-08-14,132.49,133,131.49,131.62,161400,"AMED","NASDAQ"
2019-08-15,131.97,132.02,129.63,129.88,169100,"AMED","NASDAQ"
2019-08-16,130.53,133.59,130.01,133.02,130000,"AMED","NASDAQ"
2019-08-19,134.31,134.69,132.42,132.56,199800,"AMED","NASDAQ"
2019-08-20,132.65,133.3,131.25,131.62,154600,"AMED","NASDAQ"
2019-08-21,132.49,134.15,132.4,133.9,220700,"AMED","NASDAQ"
2019-08-22,134.6,134.6,132.36,133.01,136100,"AMED","NASDAQ"
2019-08-23,132.82,133.48,129.72,130.26,257000,"AMED","NASDAQ"
2019-08-26,131.02,131.24,129.03,130.09,182300,"AMED","NASDAQ"
2019-08-27,130.35,131.29,126.34,126.44,185300,"AMED","NASDAQ"
2019-08-28,126.06,128.07,122,127.36,197500,"AMED","NASDAQ"
2019-08-29,129.22,130.8,128.69,129.25,169400,"AMED","NASDAQ"
2019-08-30,129.97,130.75,128.57,128.71,188400,"AMED","NASDAQ"
