"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.28,19.46,18.39,18.5,45900,"AMEH","NASDAQ"
2019-05-31,18.55,18.55,17.53,17.84,92500,"AMEH","NASDAQ"
2019-06-03,17.72,17.96,15.91,16.14,214600,"AMEH","NASDAQ"
2019-06-04,16.3,16.75,15.75,15.82,108400,"AMEH","NASDAQ"
2019-06-05,16.25,16.25,14.86,15.77,198400,"AMEH","NASDAQ"
2019-06-06,16,16.0096,14.14,14.41,160800,"AMEH","NASDAQ"
2019-06-07,14.61,15.39,13.95,14.24,247900,"AMEH","NASDAQ"
2019-06-10,14.21,14.66,13.62,13.75,146900,"AMEH","NASDAQ"
2019-06-11,13.8,14.89,13.36,14.52,227900,"AMEH","NASDAQ"
2019-06-12,14.5,14.84,13.932,14.71,108400,"AMEH","NASDAQ"
2019-06-13,14.74,15.13,14.02,15.03,124200,"AMEH","NASDAQ"
2019-06-14,15.28,16.7504,15.07,16.11,194000,"AMEH","NASDAQ"
2019-06-17,16.22,16.61,16.05,16.34,108200,"AMEH","NASDAQ"
2019-06-18,16.43,16.43,15.36,15.43,70300,"AMEH","NASDAQ"
2019-06-19,15.57,16.01,15.13,15.95,51500,"AMEH","NASDAQ"
2019-06-20,16.05,16.795,15.94,16.32,67800,"AMEH","NASDAQ"
2019-06-21,16.23,16.8053,15.16,16.04,215700,"AMEH","NASDAQ"
2019-06-24,15.9,16.58,15.685,16.01,68700,"AMEH","NASDAQ"
2019-06-25,16.06,16.06,15.7497,15.81,35900,"AMEH","NASDAQ"
2019-06-26,15.63,15.98,15.59,15.74,39200,"AMEH","NASDAQ"
2019-06-27,15.74,16.36,15.52,16.2,70800,"AMEH","NASDAQ"
2019-06-28,16.42,17.19,16.07,16.71,393400,"AMEH","NASDAQ"
2019-07-01,16.81,16.83,15.75,15.9,93500,"AMEH","NASDAQ"
2019-07-02,15.901,16.06,15.75,15.88,116400,"AMEH","NASDAQ"
2019-07-03,15.97,15.97,15.56,15.82,75600,"AMEH","NASDAQ"
2019-07-05,15.82,16.41,15.03,15.84,71700,"AMEH","NASDAQ"
2019-07-08,15.83,15.9,14.8212,15.19,66100,"AMEH","NASDAQ"
2019-07-09,15.16,15.34,14.63,14.9,83400,"AMEH","NASDAQ"
2019-07-10,15.01,15.3,14.6,14.83,67800,"AMEH","NASDAQ"
2019-07-11,14.74,15.6,14.5498,15.09,43500,"AMEH","NASDAQ"
2019-07-12,15.15,15.57,15.08,15.16,36800,"AMEH","NASDAQ"
2019-07-15,15.11,15.111,14.55,14.84,77000,"AMEH","NASDAQ"
2019-07-16,14.87,15.55,14.87,15.2,44800,"AMEH","NASDAQ"
2019-07-17,15.4,15.44,15.03,15.31,21600,"AMEH","NASDAQ"
2019-07-18,15.35,15.67,15.14,15.32,24500,"AMEH","NASDAQ"
2019-07-19,15.25,15.48,14.88,15.33,26900,"AMEH","NASDAQ"
2019-07-22,15.4198,15.49,15.09,15.28,21800,"AMEH","NASDAQ"
2019-07-23,15.3899,15.39,14.82,15,27100,"AMEH","NASDAQ"
2019-07-24,15.07,15.37,14.88,15.04,92500,"AMEH","NASDAQ"
2019-07-25,15.11,15.2,14.82,14.9,56400,"AMEH","NASDAQ"
2019-07-26,15.09,15.22,14.74,14.76,40400,"AMEH","NASDAQ"
2019-07-29,14.83,15.29,14.68,15.12,42000,"AMEH","NASDAQ"
2019-07-30,15.1,15.48,14.91,15.3,36200,"AMEH","NASDAQ"
2019-07-31,15.29,16.119,15.18,15.3,51200,"AMEH","NASDAQ"
2019-08-01,15.37,15.84,15.04,15.27,43200,"AMEH","NASDAQ"
2019-08-02,15.24,15.24,14.82,14.86,25300,"AMEH","NASDAQ"
2019-08-05,14.73,14.93,14.35,14.52,36100,"AMEH","NASDAQ"
2019-08-06,14.56,14.57,14.17,14.53,18200,"AMEH","NASDAQ"
2019-08-07,14.39,15.23,14.39,14.84,15800,"AMEH","NASDAQ"
2019-08-08,14.78,15.54,14.74,15.42,46200,"AMEH","NASDAQ"
2019-08-09,15.34,15.5787,15.01,15.05,32800,"AMEH","NASDAQ"
2019-08-12,15.27,15.61,14.56,14.65,57300,"AMEH","NASDAQ"
2019-08-13,14.81,15.38,14.53,14.77,61800,"AMEH","NASDAQ"
2019-08-14,15.01,17.84,15.01,16.16,249800,"AMEH","NASDAQ"
2019-08-15,16.2,16.49,15.23,16.36,81800,"AMEH","NASDAQ"
2019-08-16,16.36,16.61,15.82,16.21,65900,"AMEH","NASDAQ"
2019-08-19,16.32,16.32,15.66,15.75,33600,"AMEH","NASDAQ"
2019-08-20,15.75,16.28,15.53,15.75,41200,"AMEH","NASDAQ"
2019-08-21,15.85,16.36,15.48,15.78,51200,"AMEH","NASDAQ"
2019-08-22,15.78,16.71,15.54,16.59,67800,"AMEH","NASDAQ"
2019-08-23,16.51,17.01,16.02,16.77,69700,"AMEH","NASDAQ"
2019-08-26,16.64,19.62,16.64,19.4,590900,"AMEH","NASDAQ"
2019-08-27,19.02,21.01,18.92,19.85,489400,"AMEH","NASDAQ"
2019-08-28,19.49,20.5,19.3,20.41,176500,"AMEH","NASDAQ"
2019-08-29,20.44,20.9,19.85,20.38,206200,"AMEH","NASDAQ"
2019-08-30,20.35,20.89,19.51,19.58,156200,"AMEH","NASDAQ"
2019-09-03,19.61,20,19.07,19.51,147900,"AMEH","NASDAQ"
2019-09-04,19.45,20.45,19.11,19.13,147900,"AMEH","NASDAQ"
2019-09-05,19.19,20.47,19.14,20.29,181800,"AMEH","NASDAQ"
2019-09-06,20,21.16,20,20.22,171200,"AMEH","NASDAQ"
2019-09-09,20.22,21.18,19.49,20.17,165300,"AMEH","NASDAQ"
2019-09-10,20.28,21.05,20.03,20.55,132500,"AMEH","NASDAQ"
2019-09-11,20.54,21.48,19.87,20,169400,"AMEH","NASDAQ"
2019-09-12,20.41,20.68,19.54,19.97,99300,"AMEH","NASDAQ"
2019-09-13,20.07,20.53,19.37,19.47,99400,"AMEH","NASDAQ"
2019-09-16,19.47,20.47,19.47,20.25,182600,"AMEH","NASDAQ"
2019-09-17,20.35,21.25,19.83,20.78,199600,"AMEH","NASDAQ"
2019-09-18,20.79,21.41,20.52,20.77,158700,"AMEH","NASDAQ"
2019-09-19,20.83,21.39,20.09,20.21,117100,"AMEH","NASDAQ"
2019-09-20,20.16,21.5,20.05,21.41,2668200,"AMEH","NASDAQ"
2019-09-23,21.2,23.26,20.85,21,364300,"AMEH","NASDAQ"
2019-09-24,21.04,21.06,19.3,19.61,230300,"AMEH","NASDAQ"
2019-09-25,19.58,20.05,19.37,19.54,142200,"AMEH","NASDAQ"
2019-09-26,19.51,19.61,18.24,18.69,157500,"AMEH","NASDAQ"
2019-09-27,18.75,18.79,17.29,17.66,254000,"AMEH","NASDAQ"
2019-09-30,17.6,17.88,17.25,17.62,129300,"AMEH","NASDAQ"
2019-10-01,17.72,17.84,17.03,17.17,73200,"AMEH","NASDAQ"
2019-10-02,16.9,16.9,16.23,16.49,105000,"AMEH","NASDAQ"
2019-10-03,16.46,16.62,15.9,16.45,111700,"AMEH","NASDAQ"
2019-10-04,16.5,16.69,16.34,16.5,139100,"AMEH","NASDAQ"
2019-10-07,16.52,16.52,15.75,15.83,112700,"AMEH","NASDAQ"
2019-10-08,15.78,15.95,13.02,14.47,3650600,"AMEH","NASDAQ"
2019-10-09,14.57,15.42,14.14,15,454200,"AMEH","NASDAQ"
2019-10-10,15.12,15.94,14.9,15.41,181500,"AMEH","NASDAQ"
2019-10-11,15.61,16.15,15.12,15.35,211400,"AMEH","NASDAQ"
2019-10-14,15.35,15.49,14.74,15.17,78100,"AMEH","NASDAQ"
2019-10-15,15.3,15.96,15.22,15.37,129300,"AMEH","NASDAQ"
2019-10-16,15.39,15.53,15.01,15.13,90100,"AMEH","NASDAQ"
2019-10-17,15.21,15.3,14.81,15.02,105100,"AMEH","NASDAQ"
2019-10-18,14.98,14.98,14.56,14.8,65004,"AMEH","NASDAQ"
