"times","open","high","low","close","volume","symbol","market"
2019-05-30,34.79,35.02,34.56,35.01,38200,"AMNB","NASDAQ"
2019-05-31,34.74,35.859,34.6463,34.88,19400,"AMNB","NASDAQ"
2019-06-03,35.14,35.39,34.88,35.39,23000,"AMNB","NASDAQ"
2019-06-04,35.63,35.75,35.13,35.5,12000,"AMNB","NASDAQ"
2019-06-05,35.3198,35.55,34.956,35.06,16700,"AMNB","NASDAQ"
2019-06-06,35.05,35.23,34.63,35.09,12500,"AMNB","NASDAQ"
2019-06-07,35.12,35.68,34.995,35.15,15400,"AMNB","NASDAQ"
2019-06-10,34.99,35.4,34.99,35.07,18700,"AMNB","NASDAQ"
2019-06-11,35.28,35.875,35,35.7,11600,"AMNB","NASDAQ"
2019-06-12,35.33,35.97,35.33,35.75,5900,"AMNB","NASDAQ"
2019-06-13,35.79,36.15,35.13,35.82,8300,"AMNB","NASDAQ"
2019-06-14,35.73,35.95,35.25,35.52,8600,"AMNB","NASDAQ"
2019-06-17,35.5205,35.98,35.135,35.63,5300,"AMNB","NASDAQ"
2019-06-18,35.75,36.59,35.69,36.01,9400,"AMNB","NASDAQ"
2019-06-19,36.04,36.2144,35.794,36.08,5500,"AMNB","NASDAQ"
2019-06-20,36.27,36.27,35.77,36.22,7000,"AMNB","NASDAQ"
2019-06-21,36.03,36.88,35.58,36.11,61300,"AMNB","NASDAQ"
2019-06-24,36.11,36.751,35.13,35.8,19200,"AMNB","NASDAQ"
2019-06-25,35.48,36.4797,34.99,35.64,21000,"AMNB","NASDAQ"
2019-06-26,35.59,36.165,35.05,35.21,12400,"AMNB","NASDAQ"
2019-06-27,35.29,35.975,35,35.65,30800,"AMNB","NASDAQ"
2019-06-28,35.68,41.5,35.5012,38.75,138200,"AMNB","NASDAQ"
2019-07-01,38.56,38.56,36.64,37.86,29300,"AMNB","NASDAQ"
2019-07-02,37.77,37.89,36.745,37.21,10700,"AMNB","NASDAQ"
2019-07-03,37.34,37.88,36.326,37.46,6300,"AMNB","NASDAQ"
2019-07-05,37.41,37.97,37.0283,37.87,8300,"AMNB","NASDAQ"
2019-07-08,37.43,38.05,37.43,37.67,26400,"AMNB","NASDAQ"
2019-07-09,37.99,38.07,37.5987,37.76,18400,"AMNB","NASDAQ"
2019-07-10,37.88,38.37,37.52,37.77,11600,"AMNB","NASDAQ"
2019-07-11,37.78,37.78,36.78,37.4,10800,"AMNB","NASDAQ"
2019-07-12,37.4,37.86,36.04,37.2,18400,"AMNB","NASDAQ"
2019-07-15,37.45,37.8,36.15,36.33,14200,"AMNB","NASDAQ"
2019-07-16,36.42,36.77,36.38,36.56,7300,"AMNB","NASDAQ"
2019-07-17,36.72,37.1917,36.55,36.8,7100,"AMNB","NASDAQ"
2019-07-18,36.71,37.19,36.5,36.86,10600,"AMNB","NASDAQ"
2019-07-19,36.28,36.86,36.06,36.36,14100,"AMNB","NASDAQ"
2019-07-22,36.31,36.5313,35.02,35.2,17300,"AMNB","NASDAQ"
2019-07-23,35.15,35.43,35,35.08,23600,"AMNB","NASDAQ"
2019-07-24,35.07,36.85,35.07,35.84,19900,"AMNB","NASDAQ"
2019-07-25,36.06,36.83,35.69,36.26,17800,"AMNB","NASDAQ"
2019-07-26,36.27,36.7694,36.27,36.58,10900,"AMNB","NASDAQ"
2019-07-29,36.73,36.73,35.08,35.31,28100,"AMNB","NASDAQ"
2019-07-30,35.22,37.05,35.22,36.85,12800,"AMNB","NASDAQ"
2019-07-31,36.82,37.43,36.82,36.99,35600,"AMNB","NASDAQ"
2019-08-01,36.78,37.25,35.98,36.21,16000,"AMNB","NASDAQ"
2019-08-02,36.11,36.11,35.58,35.61,7700,"AMNB","NASDAQ"
2019-08-05,35.2,35.86,35,35.01,25200,"AMNB","NASDAQ"
2019-08-06,35.32,35.65,34.6,34.78,17800,"AMNB","NASDAQ"
2019-08-07,34.8,34.8193,34.08,34.5,9100,"AMNB","NASDAQ"
2019-08-08,34.91,36.7,34.8329,35.81,20200,"AMNB","NASDAQ"
2019-08-09,35.78,36.37,33.98,34.94,29200,"AMNB","NASDAQ"
2019-08-12,34.75,35.5,34.25,34.385,8000,"AMNB","NASDAQ"
2019-08-13,34.955,35.64,34.74,35.39,10200,"AMNB","NASDAQ"
2019-08-14,34.16,35.02,33.82,34.36,10000,"AMNB","NASDAQ"
2019-08-15,34.4997,34.56,34.1,34.52,13400,"AMNB","NASDAQ"
2019-08-16,34.64,35.58,34.64,35.3,11700,"AMNB","NASDAQ"
2019-08-19,35.63,35.67,35.04,35.47,10800,"AMNB","NASDAQ"
