"times","open","high","low","close","volume","symbol","market"
2019-05-30,20.27,20.44,19.72,19.87,114400,"AMPH","NASDAQ"
2019-05-31,19.65,19.803,18.95,19.25,405400,"AMPH","NASDAQ"
2019-06-03,19.3,19.51,18.61,18.92,308700,"AMPH","NASDAQ"
2019-06-04,18.99,19.74,18.6,19.65,910200,"AMPH","NASDAQ"
2019-06-05,19.8,19.86,19.34,19.71,253200,"AMPH","NASDAQ"
2019-06-06,19.73,20.2,19.71,20.11,249500,"AMPH","NASDAQ"
2019-06-07,20.05,20.21,19.89,20.11,318200,"AMPH","NASDAQ"
2019-06-10,20.12,20.29,20.05,20.17,141700,"AMPH","NASDAQ"
2019-06-11,20.25,20.35,19.49,19.55,141800,"AMPH","NASDAQ"
2019-06-12,19.44,20.07,19.44,20.03,140700,"AMPH","NASDAQ"
2019-06-13,20.0795,20.14,19.72,20,129700,"AMPH","NASDAQ"
2019-06-14,19.97,20.05,19.75,19.82,99300,"AMPH","NASDAQ"
2019-06-17,19.94,20.65,19.9,20.27,173800,"AMPH","NASDAQ"
2019-06-18,20.4,21.1,20.4,20.56,100200,"AMPH","NASDAQ"
2019-06-19,20.6,20.84,20.5,20.82,84300,"AMPH","NASDAQ"
2019-06-20,20.98,21.3,20.74,20.81,85200,"AMPH","NASDAQ"
2019-06-21,20.7,20.755,20.309,20.64,217900,"AMPH","NASDAQ"
2019-06-24,20.63,20.83,20.17,20.22,183300,"AMPH","NASDAQ"
2019-06-25,20.36,20.734,20.31,20.47,127900,"AMPH","NASDAQ"
2019-06-26,20.49,20.65,20.19,20.43,145400,"AMPH","NASDAQ"
2019-06-27,20.51,20.86,20.51,20.85,106800,"AMPH","NASDAQ"
2019-06-28,20.83,21.21,20.766,21.11,1012200,"AMPH","NASDAQ"
2019-07-01,21.34,21.57,20.9,21.43,212200,"AMPH","NASDAQ"
2019-07-02,21.4097,21.49,20.75,21.08,201000,"AMPH","NASDAQ"
2019-07-03,21.15,21.2186,20.54,21.13,79800,"AMPH","NASDAQ"
2019-07-05,21.06,21.1,20.75,20.88,87700,"AMPH","NASDAQ"
2019-07-08,20.81,20.8601,20.16,20.33,185800,"AMPH","NASDAQ"
2019-07-09,20.24,20.58,19.61,20.29,129800,"AMPH","NASDAQ"
2019-07-10,20.34,20.48,20.15,20.42,119800,"AMPH","NASDAQ"
2019-07-11,20.4,20.4,19.69,20.01,105500,"AMPH","NASDAQ"
2019-07-12,19.97,20.3202,19.93,20.2,132400,"AMPH","NASDAQ"
2019-07-15,20.04,20.27,20,20.19,70600,"AMPH","NASDAQ"
2019-07-16,20.18,20.51,20.08,20.09,142300,"AMPH","NASDAQ"
2019-07-17,20.11,20.11,19.78,20.03,81300,"AMPH","NASDAQ"
2019-07-18,20,20.12,19.83,19.95,91200,"AMPH","NASDAQ"
2019-07-19,19.88,19.9398,19.36,19.38,141600,"AMPH","NASDAQ"
2019-07-22,19.3999,19.53,19.22,19.23,99200,"AMPH","NASDAQ"
2019-07-23,19.3,19.34,19,19.12,149100,"AMPH","NASDAQ"
2019-07-24,19.03,19.57,18.66,19.56,252300,"AMPH","NASDAQ"
2019-07-25,19.63,19.89,19.07,19.81,199700,"AMPH","NASDAQ"
2019-07-26,19.8424,19.91,19.48,19.72,160400,"AMPH","NASDAQ"
2019-07-29,19.79,19.95,19.62,19.91,112300,"AMPH","NASDAQ"
2019-07-30,19.88,20.42,19.7,20.32,209200,"AMPH","NASDAQ"
2019-07-31,20.36,20.61,20.06,20.15,213000,"AMPH","NASDAQ"
2019-08-01,20.12,20.43,19.78,20.07,178600,"AMPH","NASDAQ"
2019-08-02,19.9911,20.11,19.5,19.87,140600,"AMPH","NASDAQ"
2019-08-05,19.53,20.24,19.09,19.36,146300,"AMPH","NASDAQ"
2019-08-06,19.51,19.71,19.18,19.57,134400,"AMPH","NASDAQ"
2019-08-07,19.22,19.85,19.095,19.69,135300,"AMPH","NASDAQ"
2019-08-08,20.98,21.17,19.72,21.07,294900,"AMPH","NASDAQ"
2019-08-09,20.83,21.09,20.39,20.64,210200,"AMPH","NASDAQ"
2019-08-12,20.62,20.66,20.065,20.64,224000,"AMPH","NASDAQ"
2019-08-13,20.6,21.19,20.6,20.85,169100,"AMPH","NASDAQ"
2019-08-14,20.68,20.92,20.3483,20.85,274400,"AMPH","NASDAQ"
2019-08-15,20.93,21.18,20.63,20.9,222500,"AMPH","NASDAQ"
2019-08-16,21.14,21.52,20.76,21.38,294600,"AMPH","NASDAQ"
2019-08-19,21.51,22.2,21.45,22.11,280800,"AMPH","NASDAQ"
2019-08-20,21.91,22.29,21.91,22.19,303400,"AMPH","NASDAQ"
2019-08-21,22.32,22.63,22.21,22.62,210300,"AMPH","NASDAQ"
2019-08-22,22.68,22.68,22.19,22.56,191300,"AMPH","NASDAQ"
2019-08-23,22.56,22.68,22.13,22.24,261300,"AMPH","NASDAQ"
2019-08-26,22.38,22.85,22.18,22.5,194300,"AMPH","NASDAQ"
2019-08-27,22.55,22.74,21.84,21.85,166200,"AMPH","NASDAQ"
2019-08-28,21.91,22,21.6,21.69,141500,"AMPH","NASDAQ"
2019-08-29,21.88,22.06,21.84,22,101300,"AMPH","NASDAQ"
2019-08-30,22.32,22.58,22.16,22.46,377500,"AMPH","NASDAQ"
2019-09-03,22.28,22.7,21.85,21.95,403700,"AMPH","NASDAQ"
2019-09-04,22.17,22.32,21.59,21.72,792000,"AMPH","NASDAQ"
2019-09-05,21.92,21.92,21.02,21.24,378000,"AMPH","NASDAQ"
2019-09-06,21.36,22.02,21.27,21.62,230000,"AMPH","NASDAQ"
2019-09-09,21.75,21.75,21.04,21.29,179000,"AMPH","NASDAQ"
2019-09-10,21.22,21.98,20.8,21.95,284600,"AMPH","NASDAQ"
2019-09-11,21.99,22.28,21.82,22.15,209500,"AMPH","NASDAQ"
2019-09-12,20.9,21.75,20.87,21.62,262500,"AMPH","NASDAQ"
2019-09-13,21.72,21.98,21.36,21.52,181000,"AMPH","NASDAQ"
2019-09-16,21.49,22.03,21.45,21.81,248500,"AMPH","NASDAQ"
2019-09-17,21.81,22.01,21.58,21.74,176900,"AMPH","NASDAQ"
2019-09-18,21.75,21.76,21.1,21.22,192200,"AMPH","NASDAQ"
2019-09-19,21.23,21.45,20.96,20.97,180600,"AMPH","NASDAQ"
2019-09-20,21.01,21.21,20.57,20.73,733200,"AMPH","NASDAQ"
2019-09-23,20.65,20.87,20.35,20.43,186700,"AMPH","NASDAQ"
