"times","open","high","low","close","volume","symbol","market"
2019-05-30,12.289,12.5,12.289,12.5,19000,"AMRB","NASDAQ"
2019-05-31,12.388,12.5,12.388,12.5,8700,"AMRB","NASDAQ"
2019-06-03,12.55,12.55,12.5,12.55,2000,"AMRB","NASDAQ"
2019-06-04,12.551,12.8,12.551,12.8,700,"AMRB","NASDAQ"
2019-06-05,12.8,12.9,12.08,12.08,5200,"AMRB","NASDAQ"
2019-06-06,12.37,12.8,12.37,12.4,2300,"AMRB","NASDAQ"
2019-06-07,12.7,12.775,12.7,12.775,300,"AMRB","NASDAQ"
2019-06-10,12.6,12.81,12.35,12.43,8300,"AMRB","NASDAQ"
2019-06-11,12.35,12.5,12.34,12.34,600,"AMRB","NASDAQ"
2019-06-12,12.4,12.528,12.35,12.35,9700,"AMRB","NASDAQ"
2019-06-13,12.5,12.625,12.41,12.45,6900,"AMRB","NASDAQ"
2019-06-14,12.39,12.805,12.35,12.37,1700,"AMRB","NASDAQ"
2019-06-17,12.45,12.74,12.33,12.74,4900,"AMRB","NASDAQ"
2019-06-18,12.46,12.65,12.46,12.65,900,"AMRB","NASDAQ"
2019-06-19,12.5,12.55,12.4,12.46,42300,"AMRB","NASDAQ"
2019-06-20,12.49,12.8104,12.17,12.18,42700,"AMRB","NASDAQ"
2019-06-21,12.39,12.6,12.25,12.45,7200,"AMRB","NASDAQ"
2019-06-24,12.5,12.65,12.3,12.3,62600,"AMRB","NASDAQ"
2019-06-25,12.21,12.59,12.21,12.58,10100,"AMRB","NASDAQ"
2019-06-26,12.35,12.56,12.35,12.35,1800,"AMRB","NASDAQ"
2019-06-27,12.26,12.49,12.26,12.27,1300,"AMRB","NASDAQ"
2019-06-28,12.32,12.5,12.26,12.26,41900,"AMRB","NASDAQ"
2019-07-01,12.5,12.5,12.04,12.04,39400,"AMRB","NASDAQ"
2019-07-02,12.15,12.16,12.12,12.12,2100,"AMRB","NASDAQ"
2019-07-03,12.1,12.38,12.1,12.28,600,"AMRB","NASDAQ"
2019-07-05,12.16,12.3,12.12,12.3,3500,"AMRB","NASDAQ"
2019-07-08,12.36,12.36,12.2,12.2,400,"AMRB","NASDAQ"
2019-07-09,12.2,12.2,12.2,12.2,100,"AMRB","NASDAQ"
2019-07-10,12.14,12.33,12.12,12.33,1500,"AMRB","NASDAQ"
2019-07-11,12.31,12.48,12.13,12.24,2500,"AMRB","NASDAQ"
2019-07-12,12.49,12.49,12.3,12.35,59400,"AMRB","NASDAQ"
2019-07-15,12.38,12.42,12.3,12.36,14300,"AMRB","NASDAQ"
2019-07-16,12.3597,12.58,12.36,12.58,20300,"AMRB","NASDAQ"
2019-07-17,12.58,12.93,12.58,12.9,3500,"AMRB","NASDAQ"
2019-07-18,13,13.31,13,13.18,11200,"AMRB","NASDAQ"
2019-07-19,13.15,13.22,13.15,13.17,6400,"AMRB","NASDAQ"
2019-07-22,13.1501,13.56,13.15,13.32,4200,"AMRB","NASDAQ"
2019-07-23,13.32,13.32,13.32,13.32,200,"AMRB","NASDAQ"
2019-07-24,13.25,13.49,13.25,13.35,1000,"AMRB","NASDAQ"
2019-07-25,13.22,13.47,13.16,13.41,800,"AMRB","NASDAQ"
2019-07-26,13.5,13.6,13.2,13.26,3800,"AMRB","NASDAQ"
2019-07-29,13.15,13.5,13.15,13.15,1800,"AMRB","NASDAQ"
2019-07-30,13.4,13.5,13.25,13.5,1800,"AMRB","NASDAQ"
2019-07-31,13.41,13.5002,13.15,13.15,5200,"AMRB","NASDAQ"
2019-08-01,13.26,13.5005,13.03,13.03,28700,"AMRB","NASDAQ"
2019-08-02,13.25,13.38,13.25,13.38,2400,"AMRB","NASDAQ"
2019-08-05,13.35,13.68,12.71,12.82,52400,"AMRB","NASDAQ"
2019-08-06,12.6204,13.1,12.47,12.65,5200,"AMRB","NASDAQ"
2019-08-07,13.098,13.18,12.65,13.18,1600,"AMRB","NASDAQ"
2019-08-08,12.81,13.16,12.55,12.55,7200,"AMRB","NASDAQ"
2019-08-09,12.75,12.92,12.52,12.6,29700,"AMRB","NASDAQ"
2019-08-12,12.5,12.8693,12.5,12.87,2000,"AMRB","NASDAQ"
2019-08-13,13,13,12.67,12.67,11800,"AMRB","NASDAQ"
2019-08-14,12.92,13.7,12.77,13.7,7100,"AMRB","NASDAQ"
2019-08-15,13.23,13.3,13.1,13.1,1800,"AMRB","NASDAQ"
2019-08-16,13.16,13.16,13.1597,13.16,600,"AMRB","NASDAQ"
2019-08-19,13.38,13.53,13.04,13.53,8100,"AMRB","NASDAQ"
2019-08-20,13.65,13.65,13.65,13.65,400,"AMRB","NASDAQ"
2019-08-21,13.65,13.65,13.65,13.65,0,"AMRB","NASDAQ"
2019-08-22,13.65,13.65,13.65,13.65,0,"AMRB","NASDAQ"
2019-08-23,13.65,13.65,13.65,13.65,400,"AMRB","NASDAQ"
2019-08-26,13.39,13.7,13.39,13.44,1400,"AMRB","NASDAQ"
2019-08-27,13.44,13.44,13.44,13.44,0,"AMRB","NASDAQ"
2019-08-28,13.44,13.44,13.44,13.44,0,"AMRB","NASDAQ"
2019-08-29,13.03,13.26,13.03,13.26,1400,"AMRB","NASDAQ"
2019-08-30,13.4,13.4,13.33,13.4,1800,"AMRB","NASDAQ"
2019-09-03,13.4,13.4,13.4,13.4,43600,"AMRB","NASDAQ"
2019-09-04,13.42,13.45,13.4,13.4,4200,"AMRB","NASDAQ"
2019-09-05,13.4,13.4,13.4,13.4,0,"AMRB","NASDAQ"
2019-09-06,13.39,13.41,13.39,13.4,700,"AMRB","NASDAQ"
