"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.295,0.325,0.281,0.307,2659600,"AMRH","NASDAQ"
2019-05-31,0.396,0.455,0.3,0.31,40928900,"AMRH","NASDAQ"
2019-06-03,0.31,0.33,0.291,0.311,5283900,"AMRH","NASDAQ"
2019-06-04,0.3,0.33,0.281,0.308,3355600,"AMRH","NASDAQ"
2019-06-05,0.3,0.38,0.3,0.352,12105200,"AMRH","NASDAQ"
2019-06-06,0.357,0.37,0.33,0.339,3831600,"AMRH","NASDAQ"
2019-06-07,0.322,0.339,0.31,0.327,2488200,"AMRH","NASDAQ"
2019-06-10,0.337,0.35,0.325,0.332,2864700,"AMRH","NASDAQ"
2019-06-11,0.33,0.333,0.315,0.315,1423400,"AMRH","NASDAQ"
2019-06-12,0.32,0.32,0.301,0.312,1536700,"AMRH","NASDAQ"
2019-06-13,0.32,0.32,0.29,0.305,2048800,"AMRH","NASDAQ"
2019-06-14,0.295,0.348,0.291,0.325,6221200,"AMRH","NASDAQ"
2019-06-17,0.332,0.389,0.319,0.368,12470100,"AMRH","NASDAQ"
2019-06-18,0.358,0.38,0.341,0.345,3538700,"AMRH","NASDAQ"
2019-06-19,0.34,0.36,0.32,0.348,2567200,"AMRH","NASDAQ"
2019-06-20,0.335,0.345,0.332,0.342,1008200,"AMRH","NASDAQ"
2019-06-21,0.332,0.37,0.332,0.35,2546000,"AMRH","NASDAQ"
2019-06-24,0.37,0.385,0.342,0.35,3227100,"AMRH","NASDAQ"
2019-06-25,0.35,0.362,0.335,0.338,1827600,"AMRH","NASDAQ"
2019-06-26,0.34,0.355,0.33,0.351,2453300,"AMRH","NASDAQ"
2019-06-27,0.341,0.353,0.34,0.343,921900,"AMRH","NASDAQ"
2019-06-28,0.331,0.354,0.331,0.35,1279900,"AMRH","NASDAQ"
2019-07-01,0.35,0.352,0.335,0.35,1467900,"AMRH","NASDAQ"
2019-07-02,0.35,0.35,0.339,0.34,776300,"AMRH","NASDAQ"
2019-07-03,0.345,0.367,0.339,0.35,2595600,"AMRH","NASDAQ"
2019-07-05,0.36,0.365,0.35,0.359,2237100,"AMRH","NASDAQ"
2019-07-08,0.359,0.36,0.338,0.353,1880200,"AMRH","NASDAQ"
2019-07-09,0.36,0.42,0.36,0.367,15559300,"AMRH","NASDAQ"
2019-07-10,0.378,0.39,0.352,0.366,4652000,"AMRH","NASDAQ"
2019-07-11,0.37,0.37,0.35,0.358,2591800,"AMRH","NASDAQ"
2019-07-12,0.355,0.36,0.35,0.351,1502500,"AMRH","NASDAQ"
2019-07-15,0.355,0.36,0.35,0.359,1495100,"AMRH","NASDAQ"
2019-07-16,0.351,0.36,0.35,0.354,1405500,"AMRH","NASDAQ"
2019-07-17,0.362,0.38,0.355,0.359,2847000,"AMRH","NASDAQ"
2019-07-18,0.351,0.365,0.342,0.355,1546000,"AMRH","NASDAQ"
2019-07-19,0.346,0.357,0.345,0.349,590100,"AMRH","NASDAQ"
2019-07-22,0.35,0.355,0.335,0.345,972000,"AMRH","NASDAQ"
2019-07-23,0.355,0.36,0.327,0.33,4541900,"AMRH","NASDAQ"
2019-07-24,0.319,0.332,0.305,0.324,1764200,"AMRH","NASDAQ"
2019-07-25,0.325,0.334,0.31,0.318,748300,"AMRH","NASDAQ"
2019-07-26,0.31,0.33,0.308,0.311,818300,"AMRH","NASDAQ"
2019-07-29,0.315,0.318,0.301,0.302,769000,"AMRH","NASDAQ"
2019-07-30,0.309,0.32,0.285,0.302,1271400,"AMRH","NASDAQ"
2019-07-31,0.301,0.304,0.29,0.29,697700,"AMRH","NASDAQ"
2019-08-01,0.305,0.305,0.29,0.294,605600,"AMRH","NASDAQ"
2019-08-02,0.293,0.293,0.281,0.288,803800,"AMRH","NASDAQ"
2019-08-05,0.282,0.294,0.28,0.285,509800,"AMRH","NASDAQ"
2019-08-06,0.285,0.288,0.28,0.282,520400,"AMRH","NASDAQ"
2019-08-07,0.282,0.29,0.251,0.277,1516200,"AMRH","NASDAQ"
2019-08-08,0.268,0.285,0.266,0.28,673000,"AMRH","NASDAQ"
2019-08-09,0.28,0.31,0.28,0.3,1280900,"AMRH","NASDAQ"
2019-08-12,0.301,0.33,0.298,0.323,1353100,"AMRH","NASDAQ"
2019-08-13,0.33,0.34,0.32,0.33,1658400,"AMRH","NASDAQ"
2019-08-14,0.29,0.297,0.262,0.275,2629600,"AMRH","NASDAQ"
2019-08-15,0.277,0.28,0.259,0.261,895400,"AMRH","NASDAQ"
2019-08-16,0.27,0.275,0.26,0.27,903600,"AMRH","NASDAQ"
2019-08-19,0.273,0.273,0.253,0.259,1086800,"AMRH","NASDAQ"
2019-08-20,0.255,0.29,0.241,0.252,1311600,"AMRH","NASDAQ"
2019-08-21,0.264,0.27,0.252,0.258,615000,"AMRH","NASDAQ"
2019-08-22,0.26,0.261,0.25,0.251,658200,"AMRH","NASDAQ"
2019-08-23,0.251,0.255,0.24,0.243,482700,"AMRH","NASDAQ"
2019-08-26,0.24,0.25,0.22,0.223,1367000,"AMRH","NASDAQ"
2019-08-27,0.23,0.235,0.19,0.201,1810500,"AMRH","NASDAQ"
2019-08-28,0.2,0.21,0.182,0.19,1154400,"AMRH","NASDAQ"
2019-08-29,0.2,0.205,0.19,0.191,864400,"AMRH","NASDAQ"
2019-08-30,0.196,0.218,0.191,0.214,891000,"AMRH","NASDAQ"
2019-09-03,0.21,0.21,0.193,0.199,520700,"AMRH","NASDAQ"
2019-09-04,0.195,0.206,0.195,0.202,316700,"AMRH","NASDAQ"
2019-09-05,0.2,0.21,0.198,0.202,306400,"AMRH","NASDAQ"
2019-09-06,0.19,0.239,0.19,0.236,2006000,"AMRH","NASDAQ"
2019-09-09,0.231,0.235,0.22,0.226,508600,"AMRH","NASDAQ"
2019-09-10,0.225,0.273,0.22,0.25,2696600,"AMRH","NASDAQ"
2019-09-11,0.264,0.272,0.251,0.256,723300,"AMRH","NASDAQ"
2019-09-12,0.262,0.262,0.25,0.258,615000,"AMRH","NASDAQ"
2019-09-13,0.268,0.29,0.252,0.29,2215000,"AMRH","NASDAQ"
2019-09-16,0.29,0.29,0.262,0.284,911400,"AMRH","NASDAQ"
2019-09-17,0.287,0.294,0.26,0.27,1328700,"AMRH","NASDAQ"
2019-09-18,0.262,0.272,0.251,0.254,588500,"AMRH","NASDAQ"
2019-09-19,0.253,0.27,0.25,0.253,359800,"AMRH","NASDAQ"
2019-09-20,0.242,0.248,0.213,0.22,5136900,"AMRH","NASDAQ"
2019-09-23,0.22,0.22,0.195,0.201,3719000,"AMRH","NASDAQ"
2019-09-24,0.2,0.2,0.083,0.174,2910800,"AMRH","NASDAQ"
2019-09-25,0.175,0.175,0.127,0.15,9670000,"AMRH","NASDAQ"
2019-09-26,0.167,0.219,0.155,0.197,10096500,"AMRH","NASDAQ"
2019-09-27,0.209,0.21,0.176,0.176,3482300,"AMRH","NASDAQ"
2019-09-30,0.18,0.195,0.165,0.17,1744900,"AMRH","NASDAQ"
2019-10-01,0.171,0.19,0.165,0.173,1943600,"AMRH","NASDAQ"
2019-10-02,0.184,0.184,0.16,0.164,1617400,"AMRH","NASDAQ"
2019-10-03,0.163,0.163,0.144,0.154,2106900,"AMRH","NASDAQ"
2019-10-04,0.154,0.17,0.141,0.16,2471100,"AMRH","NASDAQ"
2019-10-07,0.16,0.164,0.15,0.152,1051900,"AMRH","NASDAQ"
2019-10-08,0.147,0.165,0.145,0.154,1537800,"AMRH","NASDAQ"
2019-10-09,0.16,0.16,0.15,0.151,674300,"AMRH","NASDAQ"
2019-10-10,0.15,0.151,0.145,0.146,975800,"AMRH","NASDAQ"
2019-10-11,0.14,0.15,0.14,0.142,939300,"AMRH","NASDAQ"
2019-10-14,0.147,0.148,0.126,0.134,1381000,"AMRH","NASDAQ"
2019-10-15,0.13,0.134,0.121,0.128,1122600,"AMRH","NASDAQ"
2019-10-16,0.13,0.149,0.13,0.144,1476300,"AMRH","NASDAQ"
2019-10-17,0.151,0.151,0.14,0.142,767300,"AMRH","NASDAQ"
2019-10-18,0.1491,0.157,0.1389,0.1424,1528900,"AMRH","NASDAQ"
