"times","open","high","low","close","volume","symbol","market"
2019-05-30,59.83,60.66,59.22,59.58,66200,"AMSF","NASDAQ"
2019-05-31,59.28,59.82,58.702,59.57,65000,"AMSF","NASDAQ"
2019-06-03,59.71,60.33,58.96,59.95,62800,"AMSF","NASDAQ"
2019-06-04,60.48,60.71,59.36,60.57,53000,"AMSF","NASDAQ"
2019-06-05,60.57,60.72,60,60.57,50900,"AMSF","NASDAQ"
2019-06-06,60.44,60.77,59.91,60.6,45600,"AMSF","NASDAQ"
2019-06-07,60.76,61.7,60.48,60.91,48800,"AMSF","NASDAQ"
2019-06-10,60.8,61.45,60.45,60.97,46000,"AMSF","NASDAQ"
2019-06-11,61.11,61.11,59.72,60.15,137500,"AMSF","NASDAQ"
2019-06-12,60.15,60.63,60.12,60.12,39000,"AMSF","NASDAQ"
2019-06-13,60.4401,61.24,59.83,60.8,40200,"AMSF","NASDAQ"
2019-06-14,60.9,62.756,60.9,61.34,47900,"AMSF","NASDAQ"
2019-06-17,61.44,62.17,60.6,61.24,35200,"AMSF","NASDAQ"
2019-06-18,61.35,62.14,60.96,61.18,40900,"AMSF","NASDAQ"
2019-06-19,61.4,61.53,60.65,61.02,36000,"AMSF","NASDAQ"
2019-06-20,61.4933,64.38,61.15,63.33,100900,"AMSF","NASDAQ"
2019-06-21,63.09,64.23,61.52,63.53,102400,"AMSF","NASDAQ"
2019-06-24,63.63,64.16,63.29,63.3,74600,"AMSF","NASDAQ"
2019-06-25,63.47,63.47,61.97,62.43,81900,"AMSF","NASDAQ"
2019-06-26,62.42,62.82,60.42,60.61,96300,"AMSF","NASDAQ"
2019-06-27,60.71,62.32,60.25,62.32,54000,"AMSF","NASDAQ"
2019-06-28,62.21,64.16,62.05,63.77,147300,"AMSF","NASDAQ"
2019-07-01,63.89,64.13,62.93,63.48,76100,"AMSF","NASDAQ"
2019-07-02,63.58,63.81,62.77,63.28,46500,"AMSF","NASDAQ"
2019-07-03,63.41,64.14,63.29,64.13,30800,"AMSF","NASDAQ"
2019-07-05,63.9195,64.57,63.39,64.38,30000,"AMSF","NASDAQ"
2019-07-08,64.29,64.77,63.56,63.74,72000,"AMSF","NASDAQ"
2019-07-09,63.55,64.02,63.22,63.79,66700,"AMSF","NASDAQ"
2019-07-10,63.96,65.04,63.96,64.58,70100,"AMSF","NASDAQ"
2019-07-11,64.62,64.87,63.87,63.94,53700,"AMSF","NASDAQ"
2019-07-12,64.18,64.89,63.95,64.75,55100,"AMSF","NASDAQ"
2019-07-15,64.66,65.48,64.23,65.12,150300,"AMSF","NASDAQ"
2019-07-16,65.37,66.05,64.89,65.58,101300,"AMSF","NASDAQ"
2019-07-17,65.4263,66.26,65.17,66.14,78500,"AMSF","NASDAQ"
2019-07-18,66.01,66.83,65.87,66.33,80600,"AMSF","NASDAQ"
2019-07-19,66.4,66.85,64.84,65.03,118100,"AMSF","NASDAQ"
2019-07-22,64.99,65.43,64.24,65.16,69600,"AMSF","NASDAQ"
2019-07-23,65.26,65.26,64.2,64.53,48000,"AMSF","NASDAQ"
2019-07-24,64.32,65.7,64.08,65.31,102000,"AMSF","NASDAQ"
2019-07-25,65.46,65.49,64.56,64.88,54700,"AMSF","NASDAQ"
2019-07-26,64.83,65.78,64.68,65.55,62400,"AMSF","NASDAQ"
2019-07-29,65.56,66.04,64.5028,64.5,77500,"AMSF","NASDAQ"
2019-07-30,64.53,65.91,64.53,65.61,78200,"AMSF","NASDAQ"
2019-07-31,65.62,66.67,64.91,65.06,104800,"AMSF","NASDAQ"
2019-08-01,66.99,66.99,64.8,65.52,136700,"AMSF","NASDAQ"
2019-08-02,65.68,65.93,64.9616,65.51,55600,"AMSF","NASDAQ"
