"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.11,1.1399,1.04,1.09,63600,"AMTX","NASDAQ"
2019-05-31,1.05,1.08,1.03,1.03,45400,"AMTX","NASDAQ"
2019-06-03,1.18,1.2,0.96,0.96,49900,"AMTX","NASDAQ"
2019-06-04,0.95,0.998,0.91,0.96,37100,"AMTX","NASDAQ"
2019-06-05,0.931,0.985,0.91,0.91,35200,"AMTX","NASDAQ"
2019-06-06,1.05,1.093,0.912,0.92,18000,"AMTX","NASDAQ"
2019-06-07,0.91,0.96,0.88,0.88,50200,"AMTX","NASDAQ"
2019-06-10,0.88,0.978,0.88,0.93,31500,"AMTX","NASDAQ"
2019-06-11,0.88,0.969,0.88,0.902,4500,"AMTX","NASDAQ"
2019-06-12,0.92,0.95,0.87,0.9,7800,"AMTX","NASDAQ"
2019-06-13,1.05,1.14,0.93,0.96,224700,"AMTX","NASDAQ"
2019-06-14,0.92,0.975,0.9,0.9,41700,"AMTX","NASDAQ"
2019-06-17,0.945,0.96,0.9,0.95,21300,"AMTX","NASDAQ"
2019-06-18,0.9,0.98,0.9,0.949,80100,"AMTX","NASDAQ"
2019-06-19,0.903,0.96,0.903,0.92,9100,"AMTX","NASDAQ"
2019-06-20,0.91,0.96,0.89,0.93,18700,"AMTX","NASDAQ"
2019-06-21,0.907,0.946,0.907,0.946,8000,"AMTX","NASDAQ"
2019-06-24,0.92,0.931,0.88,0.89,35100,"AMTX","NASDAQ"
2019-06-25,0.935,0.946,0.85,0.85,15900,"AMTX","NASDAQ"
2019-06-26,0.893,0.93,0.86,0.92,32700,"AMTX","NASDAQ"
2019-06-27,0.892,0.924,0.85,0.88,22300,"AMTX","NASDAQ"
2019-06-28,0.904,0.92,0.85,0.85,76400,"AMTX","NASDAQ"
2019-07-01,0.86,0.9,0.85,0.85,31800,"AMTX","NASDAQ"
2019-07-02,0.85,0.9,0.85,0.871,8700,"AMTX","NASDAQ"
2019-07-03,0.851,0.907,0.851,0.905,10100,"AMTX","NASDAQ"
2019-07-05,0.899,0.905,0.85,0.902,29000,"AMTX","NASDAQ"
2019-07-08,0.92,0.92,0.87,0.87,3000,"AMTX","NASDAQ"
2019-07-09,0.92,0.92,0.87,0.87,9000,"AMTX","NASDAQ"
2019-07-10,0.875,0.9,0.87,0.87,16700,"AMTX","NASDAQ"
2019-07-11,0.88,0.884,0.86,0.865,16300,"AMTX","NASDAQ"
2019-07-12,0.87,0.87,0.82,0.82,23600,"AMTX","NASDAQ"
2019-07-15,0.86,1.27,0.86,0.96,2406200,"AMTX","NASDAQ"
2019-07-16,0.936,0.99,0.855,0.97,157000,"AMTX","NASDAQ"
2019-07-17,0.9601,1,0.92,0.96,73300,"AMTX","NASDAQ"
2019-07-18,0.93,1.02,0.93,1.02,119400,"AMTX","NASDAQ"
2019-07-19,1.01,1.01,0.965,1,23200,"AMTX","NASDAQ"
2019-07-22,0.97,1.05,0.97,1,73600,"AMTX","NASDAQ"
2019-07-23,1.02,1.04,1,1.03,52400,"AMTX","NASDAQ"
2019-07-24,1.02,1.05,0.95,0.996,40800,"AMTX","NASDAQ"
2019-07-25,1.03,1.03,0.95,0.975,22500,"AMTX","NASDAQ"
2019-07-26,1.01,1.02,0.965,0.99,10900,"AMTX","NASDAQ"
2019-07-29,0.967,1,0.96,0.98,16100,"AMTX","NASDAQ"
2019-07-30,0.96,1,0.9,0.9,28200,"AMTX","NASDAQ"
2019-07-31,0.945,0.99,0.945,0.95,17000,"AMTX","NASDAQ"
