"times","open","high","low","close","volume","symbol","market"
2019-05-30,78.09,79.09,73.99,74.81,328000,"ANAB","NASDAQ"
2019-05-31,73.73,74.755,72.76,72.81,145900,"ANAB","NASDAQ"
2019-06-03,73.13,76.005,72.32,73.55,287800,"ANAB","NASDAQ"
2019-06-04,74.78,75.44,71.33,73.98,222300,"ANAB","NASDAQ"
2019-06-05,74.0305,76.63,73.52,75.26,189200,"ANAB","NASDAQ"
2019-06-06,75.5034,76.67,71.73,72.43,164600,"ANAB","NASDAQ"
2019-06-07,72.76,77.285,71.34,75.98,177700,"ANAB","NASDAQ"
2019-06-10,76.31,76.86,72.1538,72.22,180800,"ANAB","NASDAQ"
2019-06-11,73.28,74.2684,72.46,73.53,165500,"ANAB","NASDAQ"
2019-06-12,73.53,75.14,73.22,74.07,315800,"ANAB","NASDAQ"
2019-06-13,74.13,74.81,70.21,71,243800,"ANAB","NASDAQ"
2019-06-14,70.84,71.53,69.155,69.64,258400,"ANAB","NASDAQ"
2019-06-17,70.36,72.52,66.69,67.22,393300,"ANAB","NASDAQ"
2019-06-18,67.71,69.65,66.12,67.37,260400,"ANAB","NASDAQ"
2019-06-19,67.55,67.824,65.77,66.56,203400,"ANAB","NASDAQ"
2019-06-20,67.6688,68,65.37,67.02,249800,"ANAB","NASDAQ"
2019-06-21,57.25,60.3678,56,59.24,2248000,"ANAB","NASDAQ"
2019-06-24,58.98,59.1,53.45,53.81,656000,"ANAB","NASDAQ"
2019-06-25,53.94,56.16,52.93,54.9,510600,"ANAB","NASDAQ"
2019-06-26,55.12,55.9,53.05,53.76,289500,"ANAB","NASDAQ"
2019-06-27,54.08,55.52,53.64,54.52,254300,"ANAB","NASDAQ"
2019-06-28,55.08,56.65,53.9,56.42,837600,"ANAB","NASDAQ"
2019-07-01,57.0408,57.82,54.83,55.2,240900,"ANAB","NASDAQ"
2019-07-02,55.28,55.96,54.57,54.91,165700,"ANAB","NASDAQ"
2019-07-03,54.84,55.49,54.35,55.06,105200,"ANAB","NASDAQ"
2019-07-05,55.07,55.525,53.62,53.76,185300,"ANAB","NASDAQ"
2019-07-08,53.65,54.93,52.71,54.57,241600,"ANAB","NASDAQ"
2019-07-09,54.18,55.6,54.16,54.64,150300,"ANAB","NASDAQ"
2019-07-10,54.9041,55.36,53.72,55.02,201600,"ANAB","NASDAQ"
2019-07-11,54.91,55.357,53.33,54.11,182100,"ANAB","NASDAQ"
2019-07-12,54.19,55.1,53.25,54.54,188400,"ANAB","NASDAQ"
2019-07-15,54.86,56.53,54.41,55.66,218800,"ANAB","NASDAQ"
