"times","open","high","low","close","volume","symbol","market"
2019-05-30,114.65,115.68,113.66,114.06,51400,"ANAT","NASDAQ"
2019-05-31,113.21,114.25,112.48,113.37,65400,"ANAT","NASDAQ"
2019-06-03,113.04,115.74,112.69,113.76,68900,"ANAT","NASDAQ"
2019-06-04,114.64,116.398,114.11,115.73,47000,"ANAT","NASDAQ"
2019-06-05,115.85,115.86,114.36,115.06,42600,"ANAT","NASDAQ"
2019-06-06,114.45,116.425,113.374,114.6,75500,"ANAT","NASDAQ"
2019-06-07,114.66,116.21,114.5159,115.17,52600,"ANAT","NASDAQ"
2019-06-10,115.37,115.575,113.545,114.04,47700,"ANAT","NASDAQ"
2019-06-11,114.4,115.645,114.01,114.34,48500,"ANAT","NASDAQ"
2019-06-12,114.11,115.37,114.06,114.94,47900,"ANAT","NASDAQ"
2019-06-13,115.14,116.51,114.978,115.71,36500,"ANAT","NASDAQ"
2019-06-14,115.37,115.97,114.945,115.46,31300,"ANAT","NASDAQ"
2019-06-17,115.43,115.9,113.52,113.72,62000,"ANAT","NASDAQ"
2019-06-18,114.1648,116.045,113.49,115.52,44200,"ANAT","NASDAQ"
2019-06-19,115.35,116.9017,115.35,115.68,48400,"ANAT","NASDAQ"
2019-06-20,116.41,117.9,115.335,116.76,66000,"ANAT","NASDAQ"
2019-06-21,116.66,117.33,111.21,112.74,129800,"ANAT","NASDAQ"
2019-06-24,113.26,114.52,113.17,113.51,59500,"ANAT","NASDAQ"
2019-06-25,113.41,114.3948,112.22,113.65,56600,"ANAT","NASDAQ"
2019-06-26,113.74,114.32,112.75,112.75,55200,"ANAT","NASDAQ"
2019-06-27,112.52,114.7,112.52,113.72,41500,"ANAT","NASDAQ"
2019-06-28,114.12,117.09,113.9,116.47,123400,"ANAT","NASDAQ"
2019-07-01,117.6,118.91,115.89,118.7,52700,"ANAT","NASDAQ"
2019-07-02,118.91,119.36,117.46,119.06,84400,"ANAT","NASDAQ"
2019-07-03,119.65,122.43,119.65,122.28,49700,"ANAT","NASDAQ"
2019-07-05,122.7,124.41,122.25,124.02,43500,"ANAT","NASDAQ"
2019-07-08,123.67,124.41,120.1009,121.03,103200,"ANAT","NASDAQ"
2019-07-09,120.2,121.73,119.65,120.53,46300,"ANAT","NASDAQ"
2019-07-10,120.86,123.72,120.86,121.82,68800,"ANAT","NASDAQ"
2019-07-11,122.2348,123.52,120.75,121.71,59900,"ANAT","NASDAQ"
2019-07-12,121.9828,123.16,121.44,122.5,44600,"ANAT","NASDAQ"
2019-07-15,122.05,122.15,120.06,121.44,64700,"ANAT","NASDAQ"
2019-07-16,121.35,122.3491,120.04,121.23,51000,"ANAT","NASDAQ"
2019-07-17,121.22,122.54,120.32,122.31,52100,"ANAT","NASDAQ"
2019-07-18,122.26,123.6,122.26,123.01,45500,"ANAT","NASDAQ"
2019-07-19,123.34,123.6,121.85,123.07,42700,"ANAT","NASDAQ"
2019-07-22,123.31,123.8,121.42,121.63,50100,"ANAT","NASDAQ"
2019-07-23,121.8,122.73,120.59,121.55,34000,"ANAT","NASDAQ"
2019-07-24,121.5,123.74,121.2,123.43,37400,"ANAT","NASDAQ"
2019-07-25,123.76,123.76,120.92,121.6,42000,"ANAT","NASDAQ"
2019-07-26,121.89,123.91,121.89,123.25,18200,"ANAT","NASDAQ"
2019-07-29,123.33,123.48,120.94,121.3,78800,"ANAT","NASDAQ"
2019-07-30,121.0585,122.72,121,121.57,15100,"ANAT","NASDAQ"
2019-07-31,121.8,123.3204,120.25,121.02,110000,"ANAT","NASDAQ"
2019-08-01,121.4,121.64,118.74,119.03,39800,"ANAT","NASDAQ"
2019-08-02,118.8,119.92,116.84,118.4,23300,"ANAT","NASDAQ"
2019-08-05,117.07,117.1355,113.52,115.35,42500,"ANAT","NASDAQ"
2019-08-06,116.41,117.06,114.72,116.1,33500,"ANAT","NASDAQ"
2019-08-07,114.89,116.03,113.5888,114.95,30400,"ANAT","NASDAQ"
2019-08-08,115.51,118.37,115.51,118.2,41900,"ANAT","NASDAQ"
2019-08-09,117.49,117.95,114.85,115.8,44600,"ANAT","NASDAQ"
2019-08-12,115.29,116.18,113.83,114.81,37300,"ANAT","NASDAQ"
2019-08-13,115,116.4,114.53,114.65,39400,"ANAT","NASDAQ"
2019-08-14,113.91,113.91,111.19,111.99,53300,"ANAT","NASDAQ"
2019-08-15,112.1643,112.49,111.01,111.22,38100,"ANAT","NASDAQ"
2019-08-16,112.34,114.11,112.1078,113.04,27200,"ANAT","NASDAQ"
2019-08-19,113.93,116.9,113.61,113.61,34500,"ANAT","NASDAQ"
2019-08-20,114.18,114.38,112.13,113.11,33900,"ANAT","NASDAQ"
2019-08-21,113.51,115.4,112.81,114.26,56800,"ANAT","NASDAQ"
2019-08-22,114.66,115.71,114.41,115.49,40400,"ANAT","NASDAQ"
2019-08-23,115,115.7,112.16,112.56,60600,"ANAT","NASDAQ"
2019-08-26,113.37,114.82,113.37,114.66,40800,"ANAT","NASDAQ"
2019-08-27,115.02,115.02,112.62,112.76,29000,"ANAT","NASDAQ"
2019-08-28,112.24,114.43,112.24,113.1,23000,"ANAT","NASDAQ"
2019-08-29,113.91,114.1,112.51,113.24,18900,"ANAT","NASDAQ"
2019-08-30,113.61,114.23,112.81,114.07,26200,"ANAT","NASDAQ"
2019-09-03,112.91,115.67,112.08,115.67,68500,"ANAT","NASDAQ"
2019-09-04,116.24,116.79,115.25,116.21,22800,"ANAT","NASDAQ"
2019-09-05,116.98,118.8,116.13,118.01,41300,"ANAT","NASDAQ"
2019-09-06,118.41,119.48,117.68,118.49,28900,"ANAT","NASDAQ"
2019-09-09,117.71,119.53,117.36,118.52,22500,"ANAT","NASDAQ"
2019-09-10,118.61,120.21,118.55,120.08,22400,"ANAT","NASDAQ"
2019-09-11,119.82,122.15,118,122.1,20700,"ANAT","NASDAQ"
2019-09-12,122.43,123.13,120.58,122.58,26500,"ANAT","NASDAQ"
2019-09-13,123.18,123.65,121.8,123.01,24100,"ANAT","NASDAQ"
2019-09-16,122.91,123.85,122,123.1,41500,"ANAT","NASDAQ"
2019-09-17,123.02,123.94,121.77,123.55,71600,"ANAT","NASDAQ"
2019-09-18,123.36,124.35,123,123.41,33100,"ANAT","NASDAQ"
2019-09-19,123.81,124.9,123,123.31,40000,"ANAT","NASDAQ"
2019-09-20,123.54,126.97,122.46,123.08,165300,"ANAT","NASDAQ"
2019-09-23,122.38,124.13,122.38,123,48000,"ANAT","NASDAQ"
2019-09-24,123.29,124.3,122.25,122.53,30700,"ANAT","NASDAQ"
2019-09-25,122.07,124.08,122.07,122.72,52300,"ANAT","NASDAQ"
2019-09-26,122.53,123.02,120.71,121.6,30800,"ANAT","NASDAQ"
2019-09-27,121.96,122.77,121.26,121.87,14400,"ANAT","NASDAQ"
2019-09-30,122.17,123.94,120.95,123.73,45500,"ANAT","NASDAQ"
2019-10-01,123.97,124.6,120.51,121.95,39500,"ANAT","NASDAQ"
2019-10-02,121.61,121.74,116.18,117.03,41900,"ANAT","NASDAQ"
2019-10-03,116.78,117.58,116,116.48,47100,"ANAT","NASDAQ"
2019-10-04,116.82,118.85,116.38,118.7,38800,"ANAT","NASDAQ"
2019-10-07,118.72,119.45,118,118,21100,"ANAT","NASDAQ"
2019-10-08,117.24,118.01,115.13,115.26,21600,"ANAT","NASDAQ"
2019-10-09,115.74,117.6,115.68,116.8,20400,"ANAT","NASDAQ"
2019-10-10,116.66,120.07,116.19,116.7,27600,"ANAT","NASDAQ"
2019-10-11,116.79,118.5,115.86,115.89,27100,"ANAT","NASDAQ"
2019-10-14,115.79,118.13,115.7,116.81,12900,"ANAT","NASDAQ"
2019-10-15,116.94,118.42,116.92,117.54,11200,"ANAT","NASDAQ"
2019-10-16,117.23,118.15,116.33,116.71,21900,"ANAT","NASDAQ"
2019-10-17,116.95,117.5,116.61,116.9,32800,"ANAT","NASDAQ"
2019-10-18,116.9,117.58,116,116.4,26082,"ANAT","NASDAQ"
