"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.67,5.02,4.495,4.98,23500,"ANCN","NASDAQ"
2019-05-31,5,5,4.9998,5,200,"ANCN","NASDAQ"
2019-06-03,4.6919,4.967,4.692,4.9,2300,"ANCN","NASDAQ"
2019-06-04,4.933,4.933,4.62,4.8,6400,"ANCN","NASDAQ"
2019-06-05,5,5,4.7,4.97,4900,"ANCN","NASDAQ"
2019-06-06,4.554,4.6578,4.554,4.64,1900,"ANCN","NASDAQ"
2019-06-07,4.221,4.59,4.221,4.59,3000,"ANCN","NASDAQ"
2019-06-10,4.485,4.66,4.485,4.65,1700,"ANCN","NASDAQ"
2019-06-11,4.45,4.4502,4.3,4.31,4900,"ANCN","NASDAQ"
2019-06-12,4.2102,4.21,3.77,3.86,19100,"ANCN","NASDAQ"
2019-06-13,4.59,4.59,4.3,4.379,7800,"ANCN","NASDAQ"
2019-06-14,4.69,4.71,4.25,4.25,3400,"ANCN","NASDAQ"
2019-06-17,4.27,4.3,4.26,4.3,700,"ANCN","NASDAQ"
2019-06-18,4.54,4.818,4.09,4.6,4100,"ANCN","NASDAQ"
2019-06-19,4.5997,4.6,4.6,4.6,0,"ANCN","NASDAQ"
2019-06-20,4.75,4.9,4.5,4.5,10300,"ANCN","NASDAQ"
2019-06-21,4.5,4.558,4.3997,4.5,1100,"ANCN","NASDAQ"
2019-06-24,4.19,4.459,4.15,4.45,1700,"ANCN","NASDAQ"
2019-06-25,4.7196,4.72,4.24,4.25,400,"ANCN","NASDAQ"
2019-06-26,4.29,4.45,4.29,4.29,4000,"ANCN","NASDAQ"
2019-06-27,4.15,4.49,3.85,4.44,8700,"ANCN","NASDAQ"
2019-06-28,4.405,4.4799,4.351,4.48,1600,"ANCN","NASDAQ"
2019-07-01,4.55,4.5503,4.39,4.48,1000,"ANCN","NASDAQ"
2019-07-02,3.852,4.55,3.852,4.26,2600,"ANCN","NASDAQ"
2019-07-03,4.26,4.492,4.2604,4.476,3200,"ANCN","NASDAQ"
2019-07-05,4.406,4.46,4.406,4.452,1000,"ANCN","NASDAQ"
2019-07-08,4.452,4.452,4.452,4.452,100,"ANCN","NASDAQ"
2019-07-09,4.5498,4.55,4.2,4.42,5400,"ANCN","NASDAQ"
2019-07-10,4.74,4.74,4.56,4.56,7600,"ANCN","NASDAQ"
2019-07-11,4.51,4.65,4.4,4.55,12000,"ANCN","NASDAQ"
2019-07-12,4.52,4.64,4.52,4.64,800,"ANCN","NASDAQ"
2019-07-15,4.64,4.64,4.3,4.3,1000,"ANCN","NASDAQ"
2019-07-16,4.5,4.5,4.205,4.23,1100,"ANCN","NASDAQ"
2019-07-17,4.23,4.23,4.23,4.23,100,"ANCN","NASDAQ"
2019-07-18,4.2499,4.34,4.18,4.3,2000,"ANCN","NASDAQ"
2019-07-19,4.23,4.25,4.04,4.25,5300,"ANCN","NASDAQ"
2019-07-22,4.35,4.53,4.25,4.53,1000,"ANCN","NASDAQ"
